Afrikaans	Afrikaans	probability
χ_#>	#>	1.0
ˈʊə̯_χ	ˈaɪ̯	1.0
ˈɪø̯	ˈʌ	1.0
ˈɛː_#>	#>	1.0
ˈəɪ̯_#>	ˈi_#>	1.0
ˈɔː	-	1.0
ˈœu̯	ˈoʊ̯_ɫ	1.0
ˈyː_r	ɚ	1.0
ˈoː	ˈɛ	1.0
ˈi_χ	ˈaɪ̯	1.0
ˈa_ɫ	ˈæ	1.0
ˈa_n	ˈu	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_ŋ	n	1.0
ə_r	ɚ	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥_#>	v_#>	1.0
v̥	f	1.0
v_ˈa	w_ˈɔ	1.0
t_ə	ɾ	1.0
s_k	ʃ	1.0
n_#>	#>	1.0
m_ˈɑː	m	1.0
m	m	1.0
i	i	1.0
d_ˈʊə̯	d_ˈɛ	1.0
d_ˈi	d_ˈi	1.0
d_ə	ð	1.0
d_r	d_ɹ	1.0
b	b	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
#>	v_#>	1.0
v	w	0.862
n	n	0.83
p	p	0.8
d̥	d	0.781
s	s	0.754
ˈœ	ˈɪ	0.714
t	ʔ	0.677
ˈœɪ̯	ˈaʊ̯	0.667
ˈæ	-	0.667
d	θ	0.609
j	j	0.6
r	ɹ	0.571
ˈə	ˈɪ	0.542
ɫ	ɫ	0.522
ˈɛ	ˈɪ	0.5
ˈɛ	ˈɛ	0.5
ˈæː	ˈɑ	0.5
ˈæː	-	0.5
ˈa_χ	ˈʌɪ̯_ʔ	0.5
ˈa_χ	ˈeɪ̯	0.5
ə	-	0.5
χ	ɡ	0.48
ɫ	l	0.478
ˈi	ˈi	0.467
k	k	0.433
ˈɔ	ˈʌ	0.417
ˈəɪ̯	ˈaɪ̯	0.4
ˈu	ˈi	0.4
j	d	0.4
d	d	0.391
ˈa	ˈæ	0.368
ˈʊə̯	ˈi	0.364
ˈʊə̯	-	0.364
ˈəɪ̯	-	0.333
ˈœɪ̯	ˈʌ	0.333
ˈæ	ˈɛ	0.333
t	t	0.323
r	ɚ	0.321
ˈa	ˈɛə̯	0.316
ˈɔ	-	0.292
ˈɑː	ˈi	0.292
ˈœ	-	0.286
ˈəɪ̯	ˈoʊ̯	0.267
ˈu	-	0.267
ˈi	-	0.267
k	kʰ	0.267
ˈɑː	ˈeɪ̯	0.25
ˈɪə̯	ˈɛ	0.238
ˈɪə̯	ˈoʊ̯	0.238
k	ʧ	0.233
d̥	θ	0.219
ə	ə	0.214
ˈɑː	ˈɛ	0.208
ˈu	ˈʌ	0.2
p	pʰ	0.2
ˈʊə̯	ˈɔ	0.182
ˈə	ˈʌɪ̯	0.167
ˈə	ˈaɪ̯	0.167
ˈɔ	ˈɑ	0.167
χ	ʤ	0.16
ˈɪə̯	ˈɪ	0.143
ˈɪə̯	ˈi	0.143
ˈɪə̯	-	0.143
ə	ɡ	0.143
ə	i	0.143
v	-	0.138
ˈu	ˈu	0.133
ˈi	ˈɪ	0.133
ˈi	ˈɛ	0.133
ˈə	-	0.125
ˈɔ	ˈʊ	0.125
ˈɑː	ˈɑ	0.125
ˈɑː	-	0.125
χ	ʔ	0.12
r	ˈɝ	0.107
ˈa	ˈɛ	0.105
ˈa	ˈɑ	0.105
ˈa	ˈeɪ̯	0.105
ˈɪə̯	ˈɛ_ð	0.095
n	-	0.094
ˈʊə̯	ˈɛ	0.091
s	ʃ	0.082
χ	oʊ̯	0.08
χ	j	0.08
χ	f	0.08
k	-	0.067
s	z	0.066
