Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaː_#>	ˈɛɪ̯_n_#>	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɐ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɐ_n	ɐ_n	1.0
ç_#>	k_#>	1.0
ç	ç	1.0
z̥_n	t_n	1.0
z̥	t	1.0
v̥_n	b_m	1.0
v_ˈɔ	v	1.0
t	t	1.0
r	r	1.0
n_d̥	n	1.0
l	l	1.0
j	j	1.0
i	ɪ_ç	1.0
h	h	1.0
eː	ɒː	1.0
d̥_ˈɪ	d_ˈɪ	1.0
d̥_ˈiː	d_ˈɛɪ̯	1.0
b̥͡v̥	p	1.0
b̥_#>	f_#>	1.0
<#_ʦ	<#_t	1.0
<#_n	<#_n	1.0
b̥	b	0.944
ɐ	ɐ	0.943
m	m	0.931
f	f	0.926
ŋ	ŋ	0.846
n	n	0.822
v	v	0.8
ˈɒ	ˈa	0.76
ˈɪ	ˈɪ	0.696
ˈaɪ̯	ˈiː	0.632
ʃ	ʃ	0.6
x	k	0.6
n_a	n_n	0.6
f_#>	p_#>	0.6
ɡ̊	k	0.586
a	ə	0.533
ˈʊ	ˈʊ	0.5
ˈoː	ˈɒː	0.5
ˈeː	-	0.5
ˈaː	ˈɛɪ̯	0.5
s	z	0.5
ˈiː	ˈɛɪ̯	0.429
d̥	d̥	0.429
ˈuː	ˈaʊ̯	0.421
ʃ	s	0.4
x	x	0.4
n_a	n	0.4
f_#>	p_ə_#>	0.4
ˈɔ	ˈɔ	0.385
ˈɛ	ˈɛ	0.368
ˈuː	ˈeo̯	0.368
d̥	d	0.365
ɡ̊	ɣ	0.276
a	n	0.267
ˈʊ	ˈɔ	0.25
ˈeː	ˈɛɪ̯	0.25
ˈeː	ˈeː	0.25
s	t	0.235
ˈɔ	ˈʊ	0.231
ˈɔ	-	0.231
ˈɪ	ˈʏ	0.217
ˈaː	ˈeo̯	0.214
ˈaː	-	0.214
v	w	0.2
a	-	0.2
ˈiː	ˈɪ	0.19
ˈiː	ˈɔʏ̯	0.19
n	ə	0.178
d̥	t	0.159
ˈɛ	ˈœ	0.158
ˈɛ	ˈeː	0.158
ˈaɪ̯	ˈʏ	0.158
ˈɔ	ˈoː	0.154
ŋ	ɡ_n	0.154
ˈoː	ˈɛː	0.15
ˈoː	ˈa	0.15
ˈʊ	ˈoː	0.125
ˈʊ	-	0.125
ˈɒ	ˈɔ	0.12
s	z̥	0.118
ˈɛ	ˈɛː	0.105
ˈɛ	ˈa	0.105
ˈɛ	-	0.105
ˈuː	ˈoː	0.105
ˈuː	-	0.105
ˈaɪ̯	ˈɪ	0.105
ˈaɪ̯	ˈyː	0.105
ɡ̊	j	0.103
ˈoː	ˈaː	0.1
ˈoː	-	0.1
ˈiː	ˈeː	0.095
ˈiː	-	0.095
s	t_ə	0.088
ˈɪ	ˈɛ	0.087
ˈɒ	ˈɒː	0.08
f	-	0.074
ˈaː	ˈaɪ̯	0.071
m	v_n	0.069
s	-	0.059
ɐ	-	0.057
b̥	v̥	0.056
