Swiss German	Swabian	probability
b̥	b	0.988
d̥	d	1.0
f	f	1.0
fː	f	1.0
h	h	0.897
h	-	0.103
i	ɪ	0.343
i	ʌ	0.265
i	i	0.198
i	-	0.118
i	a	0.077
j	j	1.0
k	ɡ	0.925
k	kʰ	0.075
kː	ɡ	1.0
l	l	1.0
lː	e	0.67
lː	l	0.33
m	m	1.0
mː	m	1.0
n	n	0.937
n	-	0.063
nː	n	1.0
p	b	0.694
p	b̥͡f	0.306
p͡f	p͡f	0.546
p͡f	f	0.295
p͡f	b̥͡f	0.16
r	ʁ	0.396
r	ʕ	0.377
r	ʌ	0.174
r	-	0.053
rː	ʕ	1.0
s	s	1.0
sː	s	1.0
t	d	0.965
tː	d	0.92
tː	t	0.08
æ	eə̯	1.0
ŋ	ŋ	0.797
ŋ	n	0.144
ŋ	-	0.059
ə	a	0.685
ə	ʌ	0.29
ɡ̊	ɡ	0.913
ɡ̊	-	0.087
ɡ̊ː	ɡ	1.0
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʋ	ʋ	1.0
ʦ	ʦ	0.944
ʦ	ʣ	0.056
ˈau̯	ˈao̯	0.804
ˈau̯	ˈɔ	0.099
ˈau̯	ˈoː	0.097
ˈe	ˈɛ	0.661
ˈe	ˈa	0.339
ˈeː	ˈeː	0.763
ˈeː	ˈae̯	0.237
ˈi	ˈɪ	0.258
ˈi	ˈi	0.218
ˈi	ˈe	0.198
ˈi	ˈeː	0.096
ˈi	ˈɛ	0.096
ˈi	ˈiː	0.078
ˈi	ˈʌ	0.057
ˈiə̯	ˈiː	0.388
ˈiə̯	ˈi	0.307
ˈiə̯	ˈəi̯	0.157
ˈiə̯	ˈiə̯	0.148
ˈiː	ˈəi̯	0.838
ˈiː	ˈae̯	0.119
ˈo	ˈɔ	0.523
ˈo	ˈo	0.342
ˈo	ˈoː	0.134
ˈoː	ˈoː	0.756
ˈoː	ˈo	0.096
ˈoː	ˈao̯	0.075
ˈoː	ˈɔː	0.055
ˈu	ˈo	0.594
ˈu	ˈu	0.393
ˈuə̯	ˈuə̯	0.637
ˈuə̯	ˈuː	0.194
ˈuə̯	ˈu	0.094
ˈuə̯	ˈɔə̯	0.075
ˈuː	ˈao̯	1.0
ˈy	ˈae̯	0.3
ˈy	ˈi	0.294
ˈy	ˈe	0.166
ˈy	ˈɪ	0.105
ˈy	ˈu	0.092
ˈyə̯	ˈuə̯	0.405
ˈyə̯	ˈiə̯	0.353
ˈyə̯	ˈeə̯	0.242
ˈyː	ˈəi̯	0.333
ˈyː	ˈae̯	0.253
ˈyː	ˈiː	0.171
ˈyː	ˈiə̯	0.14
ˈyː	ˈɛ	0.07
ˈæ	ˈɛ	0.716
ˈæ	ˈɛː	0.153
ˈæ	ˈa	0.063
ˈæi̯	ˈɔe̯	0.83
ˈæi̯	ˈae̯	0.17
ˈæː	ˈeə̯	0.331
ˈæː	ˈɛː	0.291
ˈæː	ˈɛ	0.251
ˈæː	ˈeː	0.126
ˈø	ˈɛ	0.498
ˈø	ˈa	0.363
ˈø	ˈe	0.139
ˈøi̯	ˈəi̯	0.322
ˈøi̯	ˈɔe̯	0.318
ˈøi̯	ˈo	0.257
ˈøi̯	ˈae̯	0.103
ˈøː	ˈeː	1.0
ˈɒ	ˈa	0.773
ˈɒ	ˈaː	0.187
ˈɒː	ˈɔː	0.533
ˈɒː	ˈaː	0.274
ˈɒː	ˈa	0.193
χ	ç	0.365
χ	kʰ	0.338
χ	x	0.207
χ	ɡ	0.09
