Štokavian	Štokavian	probability
̌_d	d	1.0
̂_ɡ	ˀ_ɡ	1.0
̂_#>	#>	1.0
ʨ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ_e	l_ɛː	1.0
ʎ	ʎ	1.0
ʋ_#>	v_ŭ_#>	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ_#>	ɡ_ŭ_#>	1.0
ɡ	ɡ	1.0
x	x	1.0
uː_̌	õː	1.0
t_a	t_a	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r̩ː	-	1.0
r̩_̂	r	1.0
r̩	ĭ	1.0
r_aː	oː	1.0
r_a	o	1.0
p	p	1.0
oː_̂	o_̂	1.0
o_#>	o_#>	1.0
m	m	1.0
l_aː	o_l	1.0
l_a	l_a	1.0
k	k	1.0
j_eː	ɛː	1.0
j	ɛː	1.0
eː_̂	̂	1.0
e_̂	ˀ	1.0
b	b	1.0
aː_̂	̂	1.0
aː	aː	1.0
a_r	r_ŭ	1.0
a_n	n	1.0
<#_ʋ	<#_v	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
d	d	0.938
r	r	0.933
̌	-	0.897
t	t	0.882
z	z	0.875
n	n	0.875
l	l	0.867
i_#>	i_#>	0.818
e	e	0.774
o	o	0.714
<#_j	<#	0.714
#>	ŭ_#>	0.685
o_̂	o_̌	0.667
<#_r	<#_r	0.667
a	a	0.608
oː	oː	0.6
t_#>	t_ĭ_#>	0.562
i	ɨ	0.538
a_̂	ŭ_̌	0.5
a_̂	ĭ_̌	0.5
uː	uː	0.462
i	i	0.462
t_#>	t_ŭ_#>	0.438
̂	̂	0.427
oː	o	0.4
uː	õː	0.385
iː	i	0.364
eː	ẽː	0.357
o_̂	o	0.333
<#_r	<#	0.333
#>	̌_#>	0.315
u	v_ŭ	0.286
u	õː	0.286
u	ĭ	0.286
eː	ẽ	0.286
<#_j	<#_j	0.286
iː	iː	0.273
̂	̌	0.24
e	-	0.226
eː	e	0.214
iː	ɨː	0.182
iː	ŭ	0.182
i_#>	#>	0.182
̂	ˀ	0.173
uː	ĭ	0.154
u	u	0.143
o	o_̌	0.143
o	l_ŭ	0.143
eː	-	0.143
l	d_l	0.133
z	-	0.125
n	-	0.125
t	̌_t	0.118
̌	̌	0.103
a	ĭ	0.098
a	-	0.098
a	o	0.078
̂	̂_l	0.067
r	rʲ	0.067
d	ʤ	0.062
a	ŭ	0.059
a	a_ˀ	0.059
̂	̂_r	0.053
