Old West Norse	West Frisian	probability
ˈɛi̯_k	k	1.0
ˈɔː	ˈoː	1.0
ˈɔ	-	1.0
ˈɒu̯	ˈɪə̯	1.0
ˈɑu̯	ˈɪə̯	1.0
ˈɑ_ɣ	ˈɛi̯	1.0
ˈɑ_r	ˈɛː	1.0
ˈɑ_l	ˈɔː	1.0
ˈøy̯	ˈɪə̯	1.0
ˈy_r	ˈoə̯	1.0
ˈoː_ð	ˈuə̯	1.0
ˈo_r	ˈoə̯	1.0
ˈe_ɣ	ˈɛi̯	1.0
ˈa	-	1.0
ʦ	ˈy_t	1.0
ʝː	z	1.0
ɾ	ə_t	1.0
ɡː	-	1.0
ɡ_r̥	ə_r	1.0
ɑː	j_ɪ	1.0
ð_r̥	d̥	1.0
ç	h	1.0
x	ʋ	1.0
w_ˈɑ	ˈa	1.0
v_r̥	f	1.0
tʰ	t	1.0
sː	s	1.0
r̥ː	r	1.0
pː	p	1.0
pʰ	-	1.0
p	p	1.0
n̥	n	1.0
nː	n	1.0
n_d	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
j_ˈɔ	ˈɪə̯	1.0
i_r̥	ə_r	1.0
i_r	r	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d_r̥	d̥	1.0
cː	k	1.0
cʰ	k	1.0
c	k	1.0
b	b	1.0
t	t	0.964
s	s	0.932
d	d	0.931
ŋ	ŋ	0.866
ɑ	ə	0.837
r	r	0.823
n	n	0.812
ɣ	χ	0.773
ɡ	-	0.733
a	ə	0.714
j_ˈoː	ˈiə̯	0.699
θ	ʦ	0.64
ˈeː	j_ˈɪ	0.632
ˈi	ˈɪ	0.59
u	ə	0.577
ˈoː	-	0.548
ˈuː	ˈuː	0.547
i	ə	0.535
ˈiː	ˈi	0.53
ˈy	-	0.523
ɟ	-	0.518
ˈɛi̯	ˈiə̯	0.512
ˈɛː	ˈøə̯	0.5
ˈɛː	ˈai̯	0.5
j_ˈuː	ˈɪə̯	0.5
j_ˈuː	ˈiː	0.5
tː	χ	0.49
ɟ	ɡ	0.482
ˈy	ˈɔ	0.477
v	v	0.475
i	-	0.465
ˈuː	-	0.453
ˈoː	ˈuə̯	0.452
ˈøː	ˈiə̯	0.444
ˈøː	-	0.444
ð	-	0.442
u	-	0.423
ˈo	ˈoə̯	0.41
j	j	0.405
j	-	0.397
ˈyː	j	0.387
ˈyː	-	0.383
v	ʋ	0.375
ˈɛ	ˈɛ	0.374
ˈeː	ˈɪ	0.368
θ	d	0.36
ˈɑ	ˈa	0.353
ˈɛ	ˈaː	0.347
r̥	ə	0.335
ˈɑː	ˈiə̯	0.323
ˈu	ˈɔ	0.314
ð	d	0.302
j_ˈoː	j	0.301
ˈe	ˈa	0.299
a	-	0.286
ˈi	ˈiː	0.285
ˈo	-	0.282
r̥	t	0.28
ˈɛ	-	0.279
ˈiː	ˈiː	0.273
ð	d̥	0.256
tː	t	0.256
tː	χ_t	0.254
ˈɑ	ˈɛ	0.253
ˈe	ˈɛ	0.243
ˈyː	ˈɛ_j	0.23
ɣ	-	0.227
ˈɑ	ˈɪə̯	0.215
ˈu	ˈu	0.215
ˈe	ˈɪ	0.207
r̥	χ	0.198
j	ˈeː	0.198
ˈiː	j	0.197
ˈɛi̯	ˈaː	0.196
ˈu	ˈuː	0.193
r̥	ə_r	0.187
ˈɑː	ˈoə̯	0.18
ˈu	ˈɪ	0.162
ˈɑː	ˈa	0.157
ˈo	ˈyː	0.155
ˈo	ˈɔ	0.153
ˈe	ˈɛi̯	0.152
r	-	0.147
ˈɛi̯	ˈɪ	0.146
ˈɛi̯	-	0.146
ɡ	ɣ	0.135
ŋ	ɪ	0.134
ˈɑː	n	0.133
ɡ	ŋ	0.132
ˈɑ	ˈaː	0.131
ˈi	ˈi	0.125
ˈu	-	0.116
ˈøː	ˈu̯o	0.112
ɑ	j_ə	0.109
ˈɑː	-	0.105
ˈɑː	ˈaː	0.101
ˈe	-	0.099
n	-	0.096
n	ˈɔː	0.092
v	-	0.081
v	s	0.069
d	n	0.069
ɑ	-	0.054
s	ɕ	0.05
