Belarusian	Belarusian	probability
ˈʉ	ˈʉ	1.0
ˈɵ	ˈɵ	1.0
ˈɨ	ˈɨ	1.0
ˈɛ	ˈɛ	1.0
ˈæ	ˈæ	1.0
ˈu	ˈu	1.0
ˈo_r	ˈo_r	1.0
ˈo	ˈo	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʦʲ	ʦʲ	1.0
ʦ	ʦ	1.0
ʤ̥	ʤ̥	1.0
ʣʲ	ʣʲ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ʌ	ʌ	1.0
ʉ	ʉ	1.0
ʃ	ʃ	1.0
ʂ	ʂ	1.0
ɫ	ɫ	1.0
ɨ	ɨ	1.0
ɣʲ	ɣʲ	1.0
ɣ	ɣ	1.0
æ	æ	1.0
z̥	z̥	1.0
zʲ	zʲ	1.0
z	z	1.0
xʲ	xʲ	1.0
x	x	1.0
w	w	1.0
vʲ	vʲ	1.0
v	v	1.0
u	u	1.0
t	t	1.0
sʲ	sʲ	1.0
s	s	1.0
r	r	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ	lʲ	1.0
kʲ	kʲ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
e	e	1.0
d̥ʲ	d̥ʲ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
a	a	1.0
