Limburgish	Gothic	probability
ˈʏː	-	1.0
ˈɪː_n	ˈi_n	1.0
ˈɪː	ˈi	1.0
ˈɛːi̯	ˈiː_s	1.0
ˈɒː	ˈeː	1.0
ˈɑː_n	ˈa_n	1.0
ˈɑ	ˈa	1.0
ˈœi̯	i	1.0
ˈœ	β	1.0
ˈøː	-	1.0
ˈæ	-	1.0
ˈuː	ˈuː	1.0
ˈeː_ʀ	r	1.0
ˈeː_ɣ	ˈiu̯	1.0
ˈaː	ˈa	1.0
ʃ	s_k	1.0
ʀ_ə	r	1.0
ʀ_#>	#>	1.0
ʀ	r	1.0
ɦ	h	1.0
ɣ	ɡ	1.0
ə_ʀ	r_u	1.0
ə_m	m_s	1.0
ə_l	l_s	1.0
ə_#>	n_#>	1.0
z̥	-	1.0
z	s_ˈɛ	1.0
t	t	1.0
p	p	1.0
n_ə	n_s	1.0
m	m	1.0
d̥_#>	t_#>	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_ɣ	<#_ɡ	1.0
<#_z	<#_s	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_θ	1.0
<#	<#_h	1.0
β	w	0.9
n	n	0.864
d	d	0.857
l	l	0.85
v	f	0.824
ŋ	ŋ	0.778
s	s	0.769
k	k	0.7
ə	a	0.675
ˈu	ˈɔː	0.667
ˈiː	ˈiː	0.625
ˈɛː	ˈɛː	0.6
ˈɛ	ˈi	0.6
ˈɔː	-	0.6
#>	s_#>	0.585
ˈɪ	ˈi	0.5
ˈɪ	ˈa	0.5
ˈɔ	ˈu	0.5
ˈɔ	-	0.5
ˈæː	ˈi	0.5
ˈæː	ˈa	0.5
ˈi	ˈɛː_w	0.5
ˈi	ˈi	0.5
ˈeː	ˈi	0.462
ˈɛː	ˈi	0.4
ˈɛ	-	0.4
ˈɔː	ˈu	0.4
ˈʊː	ˈu	0.389
ˈeː	ˈiu̯	0.385
ˈiː	-	0.375
v̥	f_s	0.375
v̥	f	0.375
j	l	0.375
j	j	0.375
ˈu	ˈɔ	0.333
d̥	θ	0.333
#>	n_#>	0.323
k	ɡ_s	0.3
ˈʊː	ˈoː	0.278
v̥	l_b	0.25
j	-	0.25
x	x	0.231
x	h_t	0.231
x	h	0.231
s	k_s	0.231
ˈʊː	ˈɔ	0.222
ŋ	-	0.222
d̥	θ_s	0.222
d̥	d_s	0.222
v	β	0.176
ˈeː	ˈɛ	0.154
x	ɡ_s	0.154
x	k	0.154
l	lː	0.15
d	θ	0.143
n	nː	0.136
ˈʊː	h	0.111
d̥	θ_u	0.111
d̥	d_u	0.111
β	ʍ	0.1
ə	u	0.1
ə	-	0.1
#>	a_#>	0.092
ə	j_a	0.075
