Portuguese	Portuguese	probability
β	b	1.0
ˈɨ_#>	ˈi_#>	1.0
ˈɛ	ˈɛ	1.0
ˈɐ_n	ˈɐ̃_n	1.0
ˈũ	ˈũ	1.0
ˈõ	ˈõ	1.0
ˈo_ɐ	ˈo_ɐ	1.0
ˈĩ	ˈĩ	1.0
ˈi_ɾ	ˈi_h	1.0
ˈi_u	ˈi_w	1.0
ˈẽ	ˈẽ	1.0
ˈa_t	ˈa_t	1.0
ˈa	ˈa	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ_u	ʃ_u	1.0
ʁ_ɐ	h_a	1.0
ʁ	h	1.0
ɾ_ɐ	ɾ_ɐ	1.0
ɾ_t	h_ʧ	1.0
ɾ_n	ɦ_n	1.0
ɾ_k	h_k	1.0
ɲ	j̃	1.0
ɫ	w	1.0
ɨ_m	e_m	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɐ_β	a_b	1.0
ɐ_ɾ	a_ɾ	1.0
ɐ_ð	a_d	1.0
z	z	1.0
w̃	w̃	1.0
w_ɾ	w_ɾ	1.0
v	v	1.0
ũ	ũ	1.0
u_m	o_m	1.0
s	s	1.0
p_ɾ	p_ɾ	1.0
p	p	1.0
õ	õ	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j̃	j̃	1.0
j_u	j_u	1.0
ĩ	ĩ	1.0
f	f	1.0
ẽ	-	1.0
b	b	1.0
<#_ɔ	<#_o	1.0
ˈɐ̃	ˈɐ̃	0.917
ˈe	ˈe	0.917
ˈo	ˈo	0.913
u	u	0.912
j	j	0.897
ʃ	ʃ	0.857
w	w	0.857
ɐ	ɐ	0.845
ð	d	0.826
t	t	0.82
d	d	0.8
ˈɔ	ˈɔ	0.76
ˈu	ˈu	0.76
ˈɐ_j	ˈe	0.75
ˈɐ	ˈe	0.75
ɨ	i	0.736
ˈi	ˈi	0.71
i	e	0.625
ɾ	h	0.506
ɐ̃	ɐ̃	0.5
ɐ̃	ẽ	0.5
ɾ	ɾ	0.382
i	i	0.375
ˈi	ˈĩ	0.29
ɨ	e	0.264
ˈɐ_j	ˈẽ	0.25
ˈɐ	ˈɐ̃	0.25
ˈu	ˈũ	0.24
d	ʤ	0.2
t	ʧ	0.18
ð	ʤ	0.174
ˈɔ	ˈɔ_j	0.16
ɐ	a	0.155
w	u	0.143
ɾ	ɦ	0.112
j	e	0.103
ʃ	j_ʃ	0.102
u	o	0.088
ˈo	ˈõ	0.087
ˈɐ̃	ˈẽ	0.083
ˈe	ˈẽ	0.083
ˈɔ	-	0.08
