Dutch	Dutch	probability
χ_ə	ɡ	1.0
χ_t	χ_t	1.0
ˈɔ_ɫ	ˈɔ_ɫ	1.0
ˈɑu̯	ˈa_ɫ	1.0
ˈøː	ˈɔ	1.0
ˈyː	ˈaɪ̯_ə	1.0
ˈi_n	ˈɛ_n	1.0
ʋ	v	1.0
ɾ_d̥	ʀ_t	1.0
ɫ	ɫ	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_χ	ɪ_k	1.0
ə_v̥	f	1.0
ə_n	n	1.0
w	-	1.0
v̥_#>	b_#>	1.0
v̥	f	1.0
v_ə	b	1.0
t_ə	s	1.0
s_χ	ʃ	1.0
s_t	s_t	1.0
n_ə	n_ə	1.0
m	m	1.0
j	j	1.0
i	-	1.0
d_ɾ	t_ʀ	1.0
d_ə	ə	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_ɾ	<#_ʀ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
ɾ	ʀ	0.965
v	f	0.926
ˈɪ	ˈɪ	0.909
n	n	0.896
ə	ə	0.893
ˈɛi̯	ˈaɪ̯	0.818
ˈœy̯	ˈɔɪ̯	0.818
p	f	0.786
z	z	0.783
ˈɑ	ˈa	0.781
z̥	z	0.778
s	ʃ	0.737
ˈu	ˈʊ	0.733
χ	ɡ	0.708
ŋ	ŋ_ɡ	0.7
ˈɔ	ˈʊ	0.688
ˈi	ˈɪ	0.636
d̥	t	0.63
k	k	0.613
ˈʏ	ˈɪ	0.6
ˈoː	ˈɔɪ̯	0.567
ˈɛ	ˈɛ	0.556
ˈaː	ˈɔ	0.545
d	t	0.5
d	d	0.5
ˈeː	ˈɛɪ̯	0.48
t	s	0.407
ˈʏ	ˈɛ	0.4
k	χ	0.387
d̥	d	0.37
ˈi	ˈaɪ̯	0.364
ˈeː	ˈɛ	0.36
t	t	0.333
ˈɔ	ˈɔ	0.312
ŋ	ŋ	0.3
ˈu	ˈɪ	0.267
t	ʦ	0.259
ˈaː	ˈɛ	0.227
ˈaː	ˈa	0.227
ˈɛ	ˈɪ	0.222
z̥	d_z	0.222
z	ʃ	0.217
p	p	0.214
ˈɛi̯	ˈɪ_n	0.182
ˈœy̯	ˈaɪ̯	0.182
ˈoː	ˈʊ	0.167
s	k_s	0.158
ˈɑ	ˈɔ	0.156
ˈoː	ˈɔ	0.133
χ	k	0.125
ˈɛ	ˈɔ	0.111
ˈɛ	ˈa	0.111
ə	-	0.107
s	ʧ	0.105
ˈɪ	ˈaɪ̯	0.091
χ	χ	0.083
χ	-	0.083
ˈeː	ˈɪ	0.08
ˈeː	-	0.08
n	-	0.075
v	b	0.074
ˈoː	ˈɛ	0.067
ˈoː	-	0.067
ˈɑ	ˈɛ	0.062
