German	American English	probability
b	b	0.844
b	v	0.155
b_n	v	1.0
d	θ	0.521
d	ð	0.256
d	d	0.194
f	f	0.762
f	p	0.15
f	v	0.076
f_ə	p	1.0
h	h	1.0
j	j	1.0
k	k	0.641
k	-	0.217
k	f	0.115
k_ə	ʤ	1.0
kʰ	kʰ	0.545
kʰ	ʧ	0.304
kʰ	-	0.137
l	l	0.51
l	ɫ	0.413
l	-	0.075
l_ə	ɫ	1.0
m	m	1.0
n	n	0.556
n	-	0.444
n_s	s	1.0
p	f	0.633
p	-	0.254
p	p	0.079
p͡f	pʰ	0.574
p͡f	p	0.158
p͡f	d	0.05
s	s	0.524
s	t	0.375
s	ɾ	0.098
s_ə	t	1.0
t	d	0.576
t	t	0.216
t	θ	0.088
t	ð	0.087
t	-	0.029
t_n	d	0.49
tʰ	d	0.925
tʰ	θ	0.073
v	w	0.83
v	-	0.166
x	k	0.349
x	f	0.265
x	-	0.162
x	ʧ	0.104
x_t	t	1.0
z	s	0.968
z	-	0.042
z_ə	z	1.0
ç	-	0.609
ç	ʧ	0.216
ç	k	0.163
ç_t	t	1.0
ŋ	ŋ	1.0
ɐ	ɚ	0.519
ɐ	ɹ	0.333
ɐ	ˈɝ	0.073
ɐ	-	0.061
ə	-	0.893
ə	ə	0.054
ə	oʊ̯	0.038
ə	ɚ	0.033
ə_l	ɫ	0.24
ɡ	-	0.512
ɡ	ɡ	0.421
ɡ	j	0.061
ɪ	i	0.715
ɪ	ŋ	0.28
ʁ	ɹ	0.874
ʁ	-	0.073
ʁ	z	0.039
ʁ	h	0.035
ʁ_ə	ɚ	1.0
ʃ	s	0.623
ʃ	ʃ	0.372
ʃ_ə	ʃ	1.0
ʦ	tʰ	0.543
ʦ	t	0.344
ʦ	d	0.099
ˈa	ˈæ	0.295
ˈa	ˈɑ	0.209
ˈa	ˈeɪ̯	0.154
ˈa	ˈoʊ̯	0.081
ˈa	ˈʌ	0.071
ˈa	ˈɔ	0.062
ˈa	ˈaɪ̯	0.054
ˈa	ˈɛ	0.046
ˈa	ˈu	0.032
ˈaɪ̯	ˈaɪ̯	0.377
ˈaɪ̯	ˈoʊ̯	0.29
ˈaɪ̯	ˈɪ	0.095
ˈaɪ̯	ˈi	0.083
ˈaɪ̯	ˈɑ	0.054
ˈaɪ̯	ˈu	0.048
ˈaɪ̯	ˈɛ	0.047
ˈaʊ̯	ˈaʊ̯	0.436
ˈaʊ̯	ˈi	0.359
ˈaʊ̯	ˈaɪ̯	0.143
ˈaʊ̯	ˈɛ	0.054
ˈaː	ˈeɪ̯	0.324
ˈaː	ˈi	0.293
ˈaː	ˈæ	0.155
ˈaː	ˈu	0.061
ˈaː	ˈɑ	0.061
ˈaː	ˈoʊ̯	0.05
ˈaː	ˈɛ	0.048
ˈeː	ˈi	0.267
ˈeː	ˈoʊ̯	0.198
ˈeː	ˈeɪ̯	0.172
ˈeː	ˈɛ	0.124
ˈeː	ˈɪ	0.091
ˈeː	ˈɔ	0.066
ˈiː	ˈi	0.576
ˈiː	ˈaɪ̯	0.184
ˈiː	ˈɛ	0.092
ˈiː	ˈɪ	0.073
ˈiː	ˈɔ	0.068
ˈoː	ˈɛ	0.252
ˈoː	ˈʌ	0.232
ˈoː	ˈaʊ̯	0.107
ˈoː	ˈeɪ̯	0.081
ˈoː	ˈaɪ̯	0.079
ˈoː	ˈi	0.079
ˈoː	ˈu	0.079
ˈoː	ˈoʊ̯	0.063
ˈuː	ˈʊ	0.279
ˈuː	ˈu	0.258
ˈuː	ˈʌ	0.258
ˈuː	ˈaʊ̯	0.195
ˈyː	ˈi	0.786
ˈyː	ˈoʊ̯	0.164
ˈøː	ˈi	0.45
ˈøː	ˈɪ	0.297
ˈøː	ˈɛ	0.181
ˈœ	ˈɛ	0.24
ˈɔ	ˈɔ	0.294
ˈɔ	ˈɑ	0.192
ˈɔ	ˈoʊ̯	0.164
ˈɔ	ˈʊ	0.134
ˈɔ	-	0.082
ˈɔ	ˈaɪ̯	0.052
ˈɔ	ˈʌ	0.052
ˈɔ	ˈɛ	0.034
ˈɔʏ̯	ˈaɪ̯	0.439
ˈɔʏ̯	ˈi	0.246
ˈɔʏ̯	ˈaʊ̯	0.114
ˈɔʏ̯	ˈu	0.077
ˈɔʏ̯	ˈɛ	0.054
ˈɛ	ˈɛ	0.388
ˈɛ	ˈɔ	0.146
ˈɛ	ˈɪ	0.11
ˈɛ	ˈɑ	0.102
ˈɛ	ˈi	0.073
ˈɛ	-	0.06
ˈɛ	ˈæ	0.057
ˈɛ	ˈaɪ̯	0.049
ˈɛː	ˈi	0.803
ˈɛː	ˈɛ	0.082
ˈɪ	ˈɪ	0.637
ˈɪ	ˈaɪ̯	0.234
ˈɪ	-	0.053
ˈɪ	ˈɛ	0.046
ˈɪ	ˈi	0.041
ˈʊ	ˈʌ	0.498
ˈʊ	ˈɑ	0.121
ˈʊ	ˈɛ	0.121
ˈʊ	ˈɔ	0.09
ˈʊ	ˈaʊ̯	0.085
ˈʊ	ˈɝ	0.049
ˈʏ	ˈɪ	0.71
ˈʏ	ˈaɪ̯	0.195
