Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ_ɾ	ˈɔː	1.0
ˈʊ	-	1.0
ˈʉː_#>	ˈaʊ̯_#>	1.0
ˈʉ_ɡ	ˈaʊ̯	1.0
ˈɔ_ɾ	ˈɔː	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæʉ̯_ɡ	ˈaɪ̯	1.0
ˈæʉ̯_#>	ˈe_d_#>	1.0
ˈæʉ̯	ˈiː	1.0
ˈæ	ˈæ	1.0
ˈoː_#>	ˈəʊ̯_#>	1.0
ʰpː	p	1.0
ʰkː	ŋ	1.0
ʋ_ɑ	v	1.0
ʋ_#>	f_#>	1.0
ɾ_ɑ	ə	1.0
ɾ_e	ə	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɪ	ɪ	1.0
ɡː	ʤ	1.0
ɡ_#>	#>	1.0
ə_ɾ	ə	1.0
ŋː	ŋ	1.0
v	w	1.0
t	t	1.0
sː	-	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
l_#>	ɫ_#>	1.0
kʰ_ʋ	w	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈʉ	<#_ˈɐ	1.0
<#_ˈɛ	<#	1.0
<#_ɾ	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.917
ɑ	-	0.867
<#_d	<#_d	0.867
n	n	0.862
e	-	0.821
ʋ	w	0.8
k	k	0.769
ʰtː	t	0.75
ˈɑ_ɾ	ˈɑː	0.667
ˈøː	ˈiː	0.667
ˈæɪ̯	ˈəʊ̯	0.667
l	l	0.625
ˈʏ	ˈɪ	0.6
ˈeː_#>	ˈiː_#>	0.6
ʂ	ʃ	0.6
ˈɔ	ˈɐ	0.571
ˈiː	ˈaɪ̯	0.562
#>	θ_#>	0.556
ˈɑː	ˈeɪ̯	0.545
nː	n	0.538
ˈɛ	ˈe	0.533
tʰ	tʰ	0.529
ˈɪ	ˈɪ	0.5
ˈœʏ̯	ˈɪ	0.5
ˈœʏ̯	ˈiː	0.5
ˈyː	ˈɪ	0.5
ˈyː	ˈaɪ̯	0.5
ɡ	ɡ	0.5
ə	ə	0.5
ə	-	0.5
lː	ɫ_d	0.5
lː	ɫ	0.5
<#	<#_w	0.5
<#	<#_j	0.5
ɾ	ɹ	0.472
tʰ	θ	0.471
ˈɑ	ˈæ	0.467
ˈuː	ˈuː	0.462
nː	n_d	0.462
ˈeː	ˈɪ	0.444
j	-	0.444
ˈʉː	ˈaʊ̯	0.429
ˈɔ	-	0.429
ç	ʧ	0.429
ˈeː_#>	#>	0.4
ʂ	s	0.4
ɾ	ə	0.361
ˈɪ	ˈaɪ̯	0.357
ˈʉ	ˈɐ	0.333
ˈɑ_ɾ	ˈɔː	0.333
ˈøː	ˈe	0.333
ˈæɪ̯	-	0.333
ˈeː	-	0.333
j	ɡ	0.333
ˈoː	ˈiː	0.294
l	ɫ	0.292
ˈʉː	-	0.286
ç	θ	0.286
ç	k	0.286
ˈɑː	ˈɑː	0.273
ˈɛ	-	0.267
ˈiː	ˈɪ	0.25
ʰtː	ˈaɪ̯_t	0.25
ˈoː	-	0.235
ˈuː	ˈʊ	0.231
k	-	0.231
ˈeː	ˈiː	0.222
j	h	0.222
#>	ˈiː_#>	0.222
#>	v_#>	0.222
ɡ	-	0.214
ˈʏ	w_ˈɪ	0.2
ˈʏ	-	0.2
ˈɛ	ˈaɪ̯	0.2
ʋ	v	0.2
ˈiː	-	0.188
ˈɑː	-	0.182
e	ə	0.179
ˈoː	ˈəʊ̯	0.176
ˈoː	ˈuː	0.176
ˈʉ	ˈɪ	0.167
ˈʉ	ˈaʊ̯	0.167
ˈʉ	w_ˈʊ	0.167
ˈʉ	-	0.167
ˈuː	ˈɐ_ð	0.154
ˈuː	-	0.154
ˈʉː	ˈɒ	0.143
ˈʉː	ˈiː	0.143
ˈɪ	-	0.143
ɡ	ˈaɪ̯	0.143
ɡ	j	0.143
n	-	0.138
ˈɑ	ˈɔː	0.133
ˈɑ	ˈɒ	0.133
ˈɑ	ˈɑː	0.133
ˈɑ	ˈeɪ̯	0.133
<#_d	<#	0.133
ˈoː	ˈɪ	0.118
ɾ	ˈɔː	0.083
ɾ	-	0.083
m	-	0.083
l	-	0.083
ɑ	ə	0.067
ɑ	k	0.067
