Bulgarian	Slovenian	probability
ˈu	úː	1.0
ˈa_s	èː_s	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_ˈa	l_áː	1.0
ɡ	ɡ	1.0
ɐ_k	k	1.0
z	z	1.0
x	x	1.0
vʲ_ˈa	ʋ_éː	1.0
v	ʋ	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ	l	1.0
l	l	1.0
k	k	1.0
j_ɐ	t_i	1.0
i	ìː	1.0
f_#>	ʋ_#>	1.0
d	d	1.0
b	b	1.0
#>	ɛ_#>	1.0
o	ɔ	0.571
ˈɔ	óː	0.55
ɫ	w	0.526
ɐ	ə	0.476
ɫ	l	0.474
ˈɛ	éː	0.444
ˈɤ	ɔ́ː	0.4
ˈa	a	0.385
ˈi	íː	0.364
ˈi	ìː	0.364
ˈɤ	ə́	0.3
ˈɤ	óː	0.3
ɐ	a	0.286
o	ɔ̀ː	0.286
ˈi	i	0.273
ɛ	ɛ̀ː	0.261
ˈɛ	ɛ	0.222
ɛ	éː	0.217
ˈa	àː	0.192
ɛ	ɛ	0.174
ɛ	ə	0.174
ɛ	èː	0.174
ˈɛ	èː	0.167
ˈɛ	e	0.167
ˈɔ	òː	0.15
ɐ	t_i	0.143
o	o	0.143
ˈa	éː	0.115
ˈa	èː	0.115
ˈa	á	0.115
ˈɔ	ɔ́	0.1
ˈɔ	ɔ̀ː	0.1
ˈɔ	o	0.1
ɐ	-	0.095
ˈa	áː	0.077
