Slovenian	Slovenian	probability
̀_r	rʲ	1.0
ʧ	k_tʲ	1.0
ʦ	-	1.0
ʒ̊	ŋʲ_ɡʲ	1.0
ʒ	ɡʲ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ɛː	iə̯	1.0
ɛ_#>	#>	1.0
ɔː_̀	ɐ	1.0
ɔː	ɪ	1.0
ɔ	-	1.0
z̥	-	1.0
w	ɫ	1.0
u	ɛʊ̯	1.0
r_aː	aː	1.0
p	pʲ	1.0
o	æː	1.0
n_ʦ	aʊ̯	1.0
n_#>	#>	1.0
j	s	1.0
i_#>	ɪ_#>	1.0
eː_̀	ɐɪ̯	1.0
d̥	d_ɐ	1.0
d_e	dʲ	1.0
b̥	b_ɐ	1.0
b_r	bʲ	1.0
<#_ʋ	<#	1.0
<#_ɡ	<#	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_oː	<#_ɐ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_ɐ	1.0
#>	s_#>	0.957
b	b	0.714
l	ɫ	0.615
ʋ	vʲ	0.6
ɛ	ɛ	0.6
z	ʑ	0.583
d	d	0.545
x	s	0.5
x	-	0.5
uː	ʊ	0.5
uː	-	0.5
m	mʲ	0.5
m	m	0.5
i	ɪ	0.5
i	uː	0.5
eː_́	ɪ	0.5
eː_́	ɐ	0.5
aː_̀	̂	0.5
aː_̀	oː	0.5
k	k	0.462
n	s	0.444
z	ʒ	0.417
ʋ	v	0.4
ɛ	aː	0.4
ə	ɪ	0.389
r	r	0.389
̀	̂	0.385
l	lʲ	0.385
oː	aː	0.375
aː	-	0.375
ə	-	0.333
t	t	0.333
n	n_ɐ	0.333
iː	uː	0.333
iː	-	0.333
a	ɐ_ˈ	0.333
a	ɐ	0.333
oː	ɐ	0.312
̀	-	0.308
́	ˈ	0.292
b	bʲ	0.286
t	tʲ	0.278
d	dʲ	0.273
́	̌	0.271
aː	ɐ	0.25
aː	oː	0.25
eː	ɛ	0.235
eː	æː	0.235
k	kʲ	0.231
s	ʃ	0.222
s	ɕ	0.222
s	sʲ	0.222
s	s	0.222
n	n	0.222
iː	iː	0.222
́	̂	0.208
oː	-	0.188
d	-	0.182
eː	-	0.176
ə	r	0.167
t	ɐ_s	0.167
r	ɐ	0.167
r	rʲ	0.167
r	r_ɐ	0.167
k	s	0.154
k	k_ɐ	0.154
a	eː	0.143
́	-	0.125
oː	ɪ	0.125
aː	z	0.125
eː	ɪ	0.118
eː	nʲ	0.118
eː	eː	0.118
̀	ˈ	0.115
̀	æː_̌	0.115
ə	uə̯	0.111
t	t_ɐ	0.111
t	-	0.111
s	ʃ_k	0.111
r	rʲ_ɪ	0.111
iː	ɛɪ̯	0.111
a	eː_̌	0.095
a	-	0.095
̀	̌	0.077
́	ɪ_ˈ	0.062
