Sassarese	Emilian	probability
ˈɛ_dː	ˈɛ_l	1.0
ˈɔ_ɬ	ˈɔː_r	1.0
ˈi_#>	e_r_#>	1.0
ˈe_tː	ˈɛ_t	1.0
ˈa_tː	ˈaː_t	1.0
ˈa_n	ˈa_ŋ	1.0
ˈa_i_#>	ˈɛ_#>	1.0
ˈa_#>	ˈɛ_r_#>	1.0
ʧː	ʧ	1.0
ʧ	ʧ	1.0
ʦː	θ	1.0
ʎː	j	1.0
ʃː	s	1.0
ɮ	-	1.0
ɬ_t	t	1.0
ɬ	s	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
xː	k	1.0
w	w	1.0
v	v	1.0
u_r	u_l	1.0
u_#>	#>	1.0
tː	t	1.0
t	t	1.0
sː_u_#>	s_#>	1.0
s	s	1.0
r_u	e_r	1.0
r_a	a	1.0
pː	-	1.0
nː	n	1.0
n_u_#>	ŋ_#>	1.0
mː	m	1.0
m_u	m_u	1.0
lː	l	1.0
l_ˈɛ	l_ˈa	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
i_ʎː	j	1.0
i_d	ˈa_d	1.0
i_#>	#>	1.0
f	f	1.0
d_u_#>	d_#>	1.0
a_r	r	1.0
<#_ˈu	<#_ˈo	1.0
<#_ˈo	<#_ˈɔː	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ʦ	<#_θ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	r_#>	1.0
p	p	0.923
m	m	0.889
d	d	0.889
a	a	0.887
b	b	0.824
β	v	0.818
ʦ	z	0.778
ʤ	ð	0.778
ɡː	ɡ	0.75
r	r	0.698
ɲː	ɲ	0.6
rː	r	0.6
bː	v	0.6
<#_i	<#_s	0.6
j	-	0.579
n	ŋ	0.56
ˈa	ˈɛ	0.526
ˈi	ˈe	0.519
ʤː	ð	0.5
ʤː	-	0.5
dː	d	0.444
j	j	0.421
ɲː	ŋ_ð	0.4
rː	r_e	0.4
bː	-	0.4
<#_i	<#	0.4
ˈu	ˈuː	0.375
ˈu	ˈo	0.375
ˈɛ	ˈæ	0.368
n	n	0.32
ˈo	ˈʌu̯	0.294
ˈo	ˈɔ	0.294
ˈe	ˈɛ	0.292
ˈɔ	ˈɔː	0.29
dː	t	0.278
dː	l	0.278
ˈɛ	ˈa	0.263
u	u	0.263
i	e	0.263
i	-	0.263
ˈi	ˈiː	0.259
r	l	0.256
ɡː	-	0.25
ˈa	ˈaː	0.237
ˈɔ	ˈɔ	0.226
ʦ	θ	0.222
ʤ	ʤ	0.222
u	l	0.211
u	-	0.211
i	r	0.211
β	-	0.182
ˈo	ˈo	0.176
b	v	0.176
ˈe	ˈɛː	0.167
ˈe	ˈa_j	0.167
ˈe	-	0.167
ˈɔ	ˈʌu̯	0.161
ˈɛ	ˈiː	0.158
i	i	0.158
ˈi	-	0.148
ˈa	ˈa	0.132
ˈɔ	ˈʌ	0.129
ˈu	ˈʌ_s	0.125
ˈu	-	0.125
ˈe	ˈe	0.125
n	ŋ_n	0.12
ˈo	ˈʌ	0.118
ˈo	ˈuː	0.118
m	ŋ	0.111
d	-	0.111
ˈɛ	ˈɛː	0.105
ˈɛ	ˈɛ	0.105
ˈa	-	0.105
u	v	0.105
u	o	0.105
u	n	0.105
i	z	0.105
ˈɔ	ˈuː	0.097
ˈɔ	ˈo	0.097
ˈe	ˈa	0.083
p	-	0.077
ˈi	i	0.074
a	-	0.07
