West Frisian	Yiddish	probability
b	b	0.989
d	t	0.812
d	d	0.188
d̥	t	0.639
d̥	d	0.266
d̥	l_t	0.095
f	f	0.912
f	b	0.088
h	h	0.951
j	-	0.683
j	ˈɪ	0.178
j	ˈaɪ̯	0.088
j	j	0.052
k	χ	0.445
k	k	0.352
k	-	0.203
l	l	0.994
m	m	0.929
n	n	0.88
p	f	0.915
p	p	0.085
r	ʀ	1.0
s	ʃ	0.444
s	z	0.402
s	s	0.102
t	s	0.324
t	ʦ	0.224
t	t	0.22
t	d	0.15
v	v	0.596
v	b	0.233
v	-	0.086
v	f	0.085
z	ɡ	0.62
z	z	0.285
z	-	0.095
ŋ	ŋ	0.79
ŋ	ɡ	0.121
ŋ	k	0.052
ɕ	z	1.0
ə	ə	0.388
ə	n	0.377
ə	-	0.138
ɡ	ɡ	1.0
ɣ	ɡ	0.489
ɣ	k	0.457
ɣ	-	0.054
ɪ	-	0.562
ɪ	ɪ	0.358
ɪ	ə	0.08
ʋ	v	1.0
ʦ	k	0.431
ʦ	ʦ	0.248
ʦ	s	0.172
ʦ	d	0.149
ˈa	ˈa	0.706
ˈa	ˈɔ	0.221
ˈaː	ˈɛ	0.305
ˈaː	ˈa	0.295
ˈaː	ˈɔ	0.22
ˈaː	ˈɛɪ̯	0.142
ˈeː	ˈɛ	0.809
ˈeː	ˈɔɪ̯	0.116
ˈeː	ˈɛɪ̯	0.076
ˈi	ˈaɪ̯	0.467
ˈi	ˈɪ	0.293
ˈi	ˈʊ	0.125
ˈi	ˈɛɪ̯	0.073
ˈiə̯	ˈɛɪ̯	0.405
ˈiə̯	ˈɔ	0.27
ˈiə̯	ˈɛ	0.184
ˈiə̯	ˈɪ	0.141
ˈiː	ˈaɪ̯	0.422
ˈiː	ˈɪ	0.395
ˈiː	ˈɔ	0.106
ˈiː	ˈɛ	0.078
ˈoə̯	ˈɔ	0.557
ˈoə̯	ˈʊ	0.291
ˈoə̯	ˈa	0.152
ˈoː	ˈʊ	0.807
ˈoː	ˈɔɪ̯	0.193
ˈu	ˈʊ	0.917
ˈu	ˈɔɪ̯	0.083
ˈuə̯	ˈʊ	0.467
ˈuə̯	ə	0.443
ˈuː	ˈɔɪ̯	0.683
ˈuː	ˈʊ	0.203
ˈuː	ˈaɪ̯	0.057
ˈuː	-	0.057
ˈu̯o	ˈɪ	1.0
ˈy	ˈɔ	0.831
ˈy	ˈɪ	0.169
ˈyː	ˈʊ	0.49
ˈyː	ˈaɪ̯	0.326
ˈyː	ˈɔɪ̯	0.184
ˈø	ˈɔ	0.558
ˈø	ˈɛ	0.442
ˈøə̯	ˈaɪ̯	1.0
ˈɔ	ˈʊ	0.461
ˈɔ	-	0.18
ˈɔ	ˈɔ	0.136
ˈɔ	ˈɛ	0.107
ˈɔ	ˈɪ	0.104
ˈɔu̯	ˈɪ	0.769
ˈɔu̯	ˈɔ	0.231
ˈɔː	ˈa	0.887
ˈɔː	ˈɪ	0.113
ˈɛ	-	0.402
ˈɛ	ˈɛ	0.365
ˈɛ	ˈa	0.146
ˈɛ	ˈɔɪ̯	0.055
ˈɛi̯	ˈɛ	0.592
ˈɛi̯	ˈɔ	0.239
ˈɛi̯	ˈa	0.169
ˈɛː	ˈa	0.416
ˈɛː	ˈɪ	0.274
ˈɛː	ʀ	0.179
ˈɛː	ˈɛɪ̯	0.131
ˈɪ	ˈɪ	0.567
ˈɪ	ˈɛɪ̯	0.14
ˈɪ	ˈɛ	0.126
ˈɪ	ˈɔ	0.073
ˈɪə̯	ˈɔɪ̯	0.504
ˈɪə̯	ˈɛ	0.208
ˈɪə̯	ˈa	0.089
ˈɪə̯	ə	0.076
ˈɪə̯	ˈɛɪ̯	0.069
ˈɪə̯	ˈɔ	0.055
χ	χ	0.625
χ	ɡ	0.208
χ	k	0.167
