Limburgish	West Frisian	probability
b	b	0.978
d	d	0.662
d	t	0.172
d	-	0.091
d	ʦ_j	0.075
f	f	0.722
f	l	0.192
f	s	0.086
i	ɪ	1.0
j	-	0.535
j	ə	0.221
j	j	0.141
k	k	0.767
k	ʦ	0.102
k	χ	0.075
k	ɣ	0.052
l	l	0.946
m	m	1.0
n	n	0.966
p	p	0.988
s	s	0.983
t	t	0.908
v	f	0.732
v	f_j	0.097
v	v	0.092
v	-	0.079
w	ˈɔu̯	1.0
x	χ	0.811
x	ɣ	0.114
x	k	0.076
z	s	0.905
z	ɕ	0.085
ŋ	ŋ	0.962
ə	ə	0.663
ə	-	0.334
ɡ	z	1.0
ɣ	ɡ	0.597
ɣ	-	0.347
ɣ	ɣ	0.056
ɦ	h	1.0
ɪ	ɪ	1.0
ɪː	ˈɪ	1.0
ʀ	r	0.885
ʀ	-	0.102
ʃ	s_k	0.855
ʃ	s	0.145
ʦ	s	1.0
ˈaː	ˈa	0.246
ˈaː	ˈɔː	0.173
ˈaː	ˈaː	0.172
ˈaː	-	0.108
ˈaː	ˈɛː	0.085
ˈaː	ˈɛ	0.083
ˈaː	ˈɛi̯	0.068
ˈaː	ˈɪə̯	0.064
ˈeː	ˈiə̯	0.178
ˈeː	ˈɪə̯	0.17
ˈeː	ˈa	0.112
ˈeː	j_ˈɪ	0.111
ˈeː	ˈɔu̯	0.064
ˈeː	ˈaː	0.058
ˈeː	ˈɪ	0.058
ˈeː	ˈø	0.052
ˈi	ˈiə̯	0.415
ˈi	ˈɪ	0.176
ˈi	ˈɪə̯	0.13
ˈi	ˈiː	0.088
ˈi	ˈi	0.066
ˈi	ˈaː	0.063
ˈi	ˈeː	0.063
ˈiː	ˈiː	0.384
ˈiː	ˈi	0.273
ˈiː	ˈiə̯	0.187
ˈiː	ˈeː	0.088
ˈiː	ˈuː	0.068
ˈoː	ˈuə̯	0.494
ˈoː	ˈy	0.286
ˈoː	ˈuː	0.092
ˈoː	ˈoː	0.065
ˈoː	ˈu	0.062
ˈu	ˈɪə̯	0.53
ˈu	j	0.233
ˈu	ˈeː	0.137
ˈu	ˈuː	0.099
ˈuː	ˈuː	0.688
ˈuː	ˈuə̯	0.141
ˈuː	ˈoː	0.101
ˈv	f	1.0
ˈyː	ˈɪə̯	0.678
ˈyː	ˈuə̯	0.278
ˈæ	ˈɔ	0.465
ˈæ	ˈɪ	0.341
ˈæ	ˈaː	0.194
ˈæː	ˈɛ	0.838
ˈæː	ˈɪə̯	0.162
ˈøː	ˈuə̯	0.354
ˈøː	ˈiə̯	0.194
ˈøː	ˈoə̯	0.191
ˈøː	ˈeː	0.116
ˈøː	ˈɵ	0.096
ˈœ	ˈɛː	0.259
ˈœ	ˈɪ	0.258
ˈœ	ˈa	0.161
ˈœ	ˈaː	0.161
ˈœ	ˈy	0.161
ˈœi̯	ˈuː	0.63
ˈœi̯	ˈɛ	0.229
ˈœi̯	ˈyː	0.142
ˈœː	ˈoə̯	0.5
ˈœː	ˈɪ	0.5
ˈɑ	ˈa	0.715
ˈɑ	ˈɛː	0.203
ˈɑ	ˈɔː	0.061
ˈɑː	ˈɔː	0.703
ˈɑː	ˈiː	0.147
ˈɑː	ˈa	0.077
ˈɑː	ˈoə̯	0.074
ˈɒː	ˈiə̯	0.443
ˈɒː	ˈoə̯	0.269
ˈɒː	ˈa	0.133
ˈɒː	ˈø	0.081
ˈɒː	ˈaː	0.073
ˈɔ	ˈɔ	0.762
ˈɔ	ˈoː	0.128
ˈɔ	-	0.081
ˈɔu̯	ˈɪə̯	0.654
ˈɔu̯	ˈoː	0.346
ˈɔː	ˈɪə̯	0.519
ˈɔː	ˈɔ	0.346
ˈɔː	ˈɛ	0.077
ˈɔː	-	0.059
ˈɛ	ˈɪ	0.477
ˈɛ	ˈiː	0.253
ˈɛ	ˈɛi̯	0.094
ˈɛ	ˈa	0.091
ˈɛ	ˈɛ	0.085
ˈɛi̯	ˈɛ	1.0
ˈɛː	ˈiə̯	0.3
ˈɛː	ˈɛ	0.149
ˈɛː	ˈiː	0.129
ˈɛː	ˈɪ	0.112
ˈɛː	ˈi	0.074
ˈɛː	ˈɛː	0.074
ˈɛː	ˈɔ	0.058
ˈɛː	ˈɪə̯	0.058
ˈɛːi̯	ˈiə̯	0.421
ˈɛːi̯	ˈaː	0.374
ˈɛːi̯	ˈɛ	0.205
ˈɪ	ˈɪ	0.867
ˈɪ	ˈɔ	0.083
ˈɪː	ˈɪ	0.436
ˈɪː	ˈi	0.198
ˈɪː	ˈiː	0.161
ˈɪː	ˈɛi̯	0.104
ˈɪː	ˈɔ	0.101
ˈʊ	ˈu	1.0
ˈʊː	ˈuə̯	0.278
ˈʊː	ˈɔ	0.187
ˈʊː	ˈu	0.163
ˈʊː	ˈoə̯	0.099
ˈʊː	ˈaː	0.084
ˈʊː	ˈuː	0.083
ˈʊː	-	0.059
ˈʏ	ˈɪ	1.0
ˈʏː	ˈøə̯	0.724
ˈʏː	ˈø	0.147
ˈʏː	ˈyː	0.129
β	ʋ	0.499
β	v	0.401
β	f	0.05
