Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	j_ˈiː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʊ_ɐ	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈø	-	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ɪ	-	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
t	t	1.0
r_ˈɔʏ̯	r	1.0
r	r	1.0
pʰ	p	1.0
p	-	1.0
n_n	n_n	1.0
kʰ	k	1.0
k	k	1.0
j	ˈɑɪ̯	1.0
i	ɐ_ɣ̊	1.0
h	h	1.0
d_ˈa	d_ˈɑ	1.0
d_ɐ	t_ɐ	1.0
d_n	t_n	1.0
b_m	p_n	1.0
aɪ̯	ɑɪ̯	1.0
<#_tʰ	<#_t	1.0
#>	n_#>	1.0
l	l	0.981
n	n	0.959
m	m	0.938
ɐ	ɐ	0.912
f	f	0.844
ˈɪ	ˈɪ	0.828
v	v	0.828
ˈɔ	ˈɔ	0.778
ˈiː	ˈiː	0.75
b	b	0.75
s	s	0.727
ˈɛ	ˈɛ	0.714
ŋ	ŋ	0.714
ˈaː	ˈɑː_ɐ	0.667
ç	ɣ̊	0.643
ˈa	ˈɑ	0.636
ˈyː	ˈyː	0.6
ˈaɪ̯	ˈæɪ̯	0.583
ˈʊ	ˈʊ	0.571
ˈuː	ˈuː	0.562
ʃ	s_k	0.56
ˈʏ	ˈʏ	0.545
ˈeː	ˈeː	0.545
ˈoː	ˈɒː	0.542
ɡ	ɡ	0.5
ɡ	k	0.5
x	χ	0.5
x	ɣ̊	0.5
ˈeː	-	0.455
ˈaʊ̯	ˈoː	0.452
ʃ	s	0.44
d	d	0.43
ˈøː	ˈøː	0.429
ˈyː	-	0.4
ˈɔʏ̯	ˈøː	0.375
d	d̥	0.354
ˈaː	ˈɑ_l	0.333
ˈʊ	-	0.286
ˈɛ	-	0.286
ˈøː	ˈøːø̯	0.286
ˈøː	-	0.286
ŋ	ɡ_n	0.286
ˈʏ	ˈʏə̯	0.273
s	s_t	0.273
ˈaʊ̯	ˈɑʊ̯	0.258
ˈɔʏ̯	ˈɑʊ̯	0.25
ˈɔʏ̯	-	0.25
ˈuː	-	0.25
b	p	0.25
ˈɔ	-	0.222
ç	χ	0.214
ˈaʊ̯	-	0.194
d	t	0.19
ˈuː	ˈuːu̯	0.188
ˈʏ	-	0.182
ˈa	ˈɑːɑ̯	0.182
ˈa	ˈɑː	0.182
v	w	0.172
ˈoː	ˈɒːɒ̯	0.167
ˈoː	ˈoː	0.167
ˈaɪ̯	ˈɛːɪ̯	0.167
ˈaɪ̯	-	0.167
f	v̥	0.156
ˈʊ	ˈɔ	0.143
ç	-	0.143
ˈɔʏ̯	ˈøy̯	0.125
ˈoː	ˈɔː	0.125
ˈiː	ˈɛːɪ̯	0.125
ˈiː	-	0.125
ˈɪ	-	0.103
ɐ	-	0.088
ˈaɪ̯	ˈæː	0.083
ˈɪ	ˈɪə̯	0.069
ˈaʊ̯	ˈɔ	0.065
m	v_n	0.062
