Alsatian	Alsatian	probability
ˈɛ	-	1.0
ˈəi̯	ˈɔe̯	1.0
ˈɔi̯	ˈao̯	1.0
ˈɒ_n	ˈaː	1.0
ˈøː	-	1.0
ˈøi̯	ˈao̯	1.0
ˈø	ˈoː	1.0
ˈyː	ˈao̯	1.0
ˈiː_ʁ	ˈʌ	1.0
ˈei̯	ˈɔe̯	1.0
ˈaː_ʋ	ˈaː_ɡ	1.0
ˈai̯	ˈae̯	1.0
ɡ̊	ɡ	1.0
ə_ʁ	ʌ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
x	x	1.0
w	ʋ	1.0
s	s	1.0
p͡f	b̥͡f	1.0
p	-	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
i_ʃ	ç	1.0
h	h	1.0
f	f	1.0
eː	eə̯	1.0
e	ˈɛ_m	1.0
d̥	d	1.0
b̥	b	1.0
<#_ʁ	<#_ʁ	1.0
#>	ɡ_#>	1.0
t	d	0.95
ə	a	0.943
ʦ	ʦ	0.929
ˈɒ	ˈa	0.917
ʋ	ʋ	0.905
n	n	0.829
ʃ	ʃ	0.786
j	ɡ	0.714
ˈʊː	ˈuə̯	0.7
ˈo	ˈo	0.667
ˈe	ˈɛ	0.6
ˈɒː	ˈaː	0.571
ˈeː	-	0.556
ˈæː	ˈɛː	0.5
ˈæː	-	0.5
ˈæ	ˈɛː	0.5
ˈæ	ˈɛ	0.5
ˈoː	ˈoː	0.5
ʁ	ʁ	0.5
ˈu	ˈo	0.474
ˈeː	ˈeː	0.444
ˈɒː	ˈa	0.429
ˈu	ˈu	0.421
ˈe	-	0.4
i	ɪ	0.4
i	ɡ	0.4
ˈiː	ˈəi̯	0.368
ʁ	ʕ	0.35
ˈo	ˈɔ	0.333
ˈoː	ˈɔː	0.312
j	j	0.286
ˈiː	ˈiə̯	0.263
ˈi	ˈi	0.259
ˈʊː	ˈao̯	0.2
i	i	0.2
ˈoː	-	0.188
ˈi	ˈe	0.185
ˈi	-	0.185
ˈiː	-	0.158
ʁ	ʌ	0.15
ˈi	ˈɪ	0.148
ˈi	ˈae̯	0.148
ʃ	ç	0.143
ˈu	ˈɔ	0.105
ˈiː	ˈi	0.105
ˈiː	ˈae̯	0.105
ˈʊː	ˈɔə̯	0.1
ʋ	-	0.095
ˈɒ	ˈɔː	0.083
ˈi	ˈeː	0.074
n	a	0.073
ʦ	ʣ	0.071
ʃ	-	0.071
ə	-	0.057
