Hessian	Hessian	probability
ˈɛ̃ː	ˈɑː_n	1.0
ˈɛː	-	1.0
ˈɛ_d̥	ˈɪə̯	1.0
ˈɑ̃i̯	ˈəɪ̯_n	1.0
ˈæː	-	1.0
ˈuː	ˈu	1.0
ˈõː	ˈɪø̯_n	1.0
ˈoĩ̯	χ_ə	1.0
ˈĩː	ˈu_n	1.0
ˈẽː	ˈʊə̯_n	1.0
ˈãː	ˈɪə̯_n	1.0
ˈaː_l	ˈœu̯_d̥	1.0
ʦ	t	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʃ_t	χ	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɡ̊_ə	k	1.0
ɡ̊	χ	1.0
ɛː	i	1.0
ə_#>	#>	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
z̥	t	1.0
x_t	χ	1.0
v̥	p	1.0
t_#>	#>	1.0
s_#>	t_#>	1.0
s	s	1.0
pʰ	p	1.0
oː	ˈʊə̯	1.0
n_ə	n_d̥	1.0
m	m	1.0
kʰ	k	1.0
k_s	s	1.0
j	j	1.0
i	ə	1.0
h	ɦ	1.0
f_#>	p_#>	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ʀ	<#_r	1.0
<#_d̥	<#_d	1.0
l	ɫ	0.95
f	v̥	0.926
n	n	0.872
v	v	0.839
ˈiː	ˈi	0.818
ˈɑ	ˈa	0.812
ˈeː	-	0.8
p	b	0.8
d̥_#>	d̥_#>	0.8
ˈo	ˈɔ	0.778
ɐ	r	0.778
ˈau̯	ˈœɪ̯	0.75
k	χ	0.75
ˈe	-	0.714
t	d	0.7
æ̆	ə_r	0.667
ˈi	ˈə	0.625
ˈoː	ˈʊə̯	0.6
ˈai̯	ˈəɪ̯	0.6
ɣ̊	χ	0.6
ˈu	ˈɔ	0.583
ˈɔ	ˈʊə̯	0.571
x	k	0.571
n_#>	ŋ_#>	0.571
ˈaː	ˈʊə̯	0.545
ˈa	ˈa	0.5
ʒ̊	s	0.5
ʒ̊	-	0.5
ˈɔ	-	0.429
ˈoi̯	ˈœɪ̯	0.429
x	χ	0.429
n_#>	#>	0.429
ˈɑː	ˈɑː	0.4
ˈɑː	ˈa	0.4
ˈai̯	-	0.4
ɣ̊	-	0.4
ˈɛ	ˈɪə̯	0.375
ˈɛ	-	0.375
d̥	d̥	0.375
d̥	d	0.375
ʃ	s	0.37
ˈa	ˈɑː	0.357
ˈæ	ˈæː	0.333
ˈæ	ˈæ	0.333
ˈæ	-	0.333
æ̆	r	0.333
#>	t_#>	0.308
t	d̥	0.3
ˈoi̯	ˈyː	0.286
ˈoi̯	ˈi	0.286
ˈe	ˈɛ	0.286
ˈaː	ˈəɪ̯	0.273
ʃ	s_k	0.259
ˈɛ	ˈæ	0.25
ˈu	ˈu	0.25
ˈau̯	-	0.25
k	k	0.25
d̥	t	0.25
#>	n_#>	0.231
ˈo	-	0.222
ɐ	r_ə	0.222
ˈɑː	ˈɑː_r	0.2
ˈoː	ˈɑː	0.2
ˈoː	-	0.2
ˈeː	w	0.2
p	p	0.2
d̥_#>	#>	0.2
ˈɑ	-	0.188
ʃ	χ	0.185
ˈiː	ˈu	0.182
ˈaː	ˈɪə̯	0.182
ˈu	-	0.167
v	-	0.161
ˈi	ˈœ	0.156
#>	ə_#>	0.154
#>	k_#>	0.154
#>	d̥_#>	0.154
ˈa	-	0.143
n	n_d	0.128
ʃ	k	0.111
ˈi	-	0.094
ʃ	ŋ	0.074
f	p	0.074
ˈi	ˈɛ	0.062
ˈi	ˈæ	0.062
