West Flemish	Swedish	probability
b	b	1.0
d	d	0.328
d	tʰ	0.29
d	-	0.265
d	t	0.054
d	ɕ	0.043
f	v	1.0
h	-	0.429
h	tː	0.234
h	ɡ	0.188
h	k	0.128
j	j	0.488
j	-	0.305
k	k	0.411
k	kʰ	0.316
k	-	0.151
k	ɕ	0.074
k	kː	0.036
l	l	0.874
l	lː	0.059
l	-	0.04
l	j	0.035
m	m	0.787
m	mː	0.199
n	n	0.484
n	a	0.241
n	-	0.211
n	nː	0.049
n	ʊ	0.024
n_d	nː	1.0
p	p	0.54
p	pʰ	0.118
p	r	0.118
p	v	0.118
s	s	0.918
s	ɧ	0.047
s	sː	0.042
t	d	0.337
t	t	0.28
t	-	0.128
t	tʰ	0.119
t	tː	0.038
v	f	0.637
v	v	0.116
v	-	0.075
v	v_ɛ	0.071
v	m	0.049
w	l	0.477
w	-	0.196
w	ˈœ	0.126
z	s	0.87
z	ɧ	0.125
ç	ɡ	0.473
ŋ	ŋː	0.724
ŋ	-	0.187
ŋ	ŋ	0.068
ə	a	0.42
ə	-	0.407
ə	ɛ	0.095
ə	ʊ	0.045
ə	ɪ	0.03
ɦ	ɡ	0.552
ɦ	ɡː	0.128
ɦ	-	0.125
ɦ	j	0.107
ɦ	jː	0.046
ɪ	ŋ	1.0
ɾ	r	0.796
ɾ	-	0.148
ɾ	ɳ	0.024
ɾ	ˈɔ	0.024
ɾ_n	ɳ	1.0
ɾ_s	s	1.0
ɾ_t	ʈː	1.0
ʃ	f	0.231
ʃ	s	0.231
ʃ	ɧ	0.231
ʋ	v	0.674
ʋ	-	0.268
ʋ	nː	0.051
ˈeː	ˈɛː	0.303
ˈeː	ˈɛ	0.224
ˈeː	ˈʉː	0.195
ˈeː	ˈeː	0.157
ˈeː	ˈiː	0.047
ˈi	ˈiː	1.0
ˈiə̯	ˈyː	0.324
ˈiə̯	ˈʉː	0.252
ˈiə̯	ˈeː	0.141
ˈiə̯	ˈiː	0.106
ˈiə̯	ˈɛ	0.081
ˈoː	ˈøː	0.43
ˈoː	ˈuː	0.155
ˈoː	ˈœː	0.115
ˈoː	ˈɵ	0.115
ˈoː	rː	0.066
ˈu	ˈɵ	0.422
ˈu	ˈʊ	0.251
ˈu	ˈa	0.19
ˈu	ˈɪ	0.101
ˈuə̯	ˈuː	0.698
ˈuə̯	ˈøː	0.185
ˈuə̯	ˈʊ	0.107
ˈyː	ˈʉː	0.813
ˈyː	ˈʏ	0.126
ˈyː	ˈɵ	0.035
ˈæ	ˈɛ	0.272
ˈæ	-	0.116
ˈæ	ˈɛː	0.116
ˈæ	ˈʏ	0.116
ˈæ	ˈæː	0.085
ˈøː	ˈoː	0.594
ˈøː	ˈɛː	0.392
ˈœ	ˈʏ	0.367
ˈœ	ˈɛ	0.211
ˈœ	ˈɵ	0.2
ˈœ	ˈʉː	0.086
ˈɑ	ˈa	0.491
ˈɑ	ˈɑː	0.173
ˈɑ	ˈoː	0.092
ˈɑ	ˈɛ	0.092
ˈɑ	ˈɛː	0.061
ˈɒː	ˈoː	0.404
ˈɒː	ˈɑː	0.346
ˈɒː	ˈa	0.147
ˈɒː	ˈæː	0.073
ˈɔ	ˈɔ	0.445
ˈɔ	ˈœ	0.2
ˈɔ	ˈʉː	0.152
ˈɔ	-	0.072
ˈɔ	ˈa	0.07
ˈɛ	ˈɪ	0.394
ˈɛ	ˈɛ	0.316
ˈɛ	ˈeː	0.117
ˈɛ	ˈiː	0.109
ˈɛː	ˈeː	0.367
ˈɛː	ˈøː	0.295
ˈɛː	ˈoː	0.194
ˈɛː	ˈɛ	0.056
ˈɛː	j	0.036
ˈɪ	ˈɪ	0.579
ˈɪ	ˈɵ	0.172
ˈɪ	ˈeː	0.13
ˈɪ	ˈiː	0.088
ˈʏ	ˈʏ	0.473
