Proto-Slavic	Czech	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ_ĭ	ʃ	1.0
ʒ	ʒ	1.0
ɲ	ɲ	1.0
ɨ̌	ˈɪ	1.0
ɡ_ŭ_#>	x_#>	1.0
ɡ	ɦ	1.0
ɛ̂ː	ˈɛ	1.0
ɛː	j	1.0
ɛˀ	ˈiː	1.0
z	z	1.0
x	x	1.0
ŭ̂	ˈɛ	1.0
ŭ_j	iː	1.0
ŭ_#>	#>	1.0
ûː	ˈu	1.0
t_i	t	1.0
s_ŭ_#>	s_#>	1.0
s	s	1.0
r_ŭ	r	1.0
p	p	1.0
ôː_l	l_ˈa	1.0
ôː	ˈo	1.0
ô	ˈo	1.0
oˀ	r	1.0
n_ĭ_#>	n_#>	1.0
n	n	1.0
m_ĭ	m̩	1.0
m	m	1.0
k_t	ʦ	1.0
k	k	1.0
j	iː	1.0
ǐ	ˈiː	1.0
ĭ̌	ˈɛ	1.0
ĭ̂_r	ˈr̩	1.0
ĭˀ	-	1.0
ĭ_ʦ	ʦ	1.0
ĭ_#>	#>	1.0
ĭ	-	1.0
i	ˈɪ	1.0
ě	ˈɛ	1.0
ẽ̂ː	ˈɛ	1.0
ẽ	ɛ	1.0
ê	ˈɛ	1.0
e_l	l	1.0
d_ŭ	t	1.0
ǎ	a	1.0
aˀ	ˈa	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_ǒ	<#_ˈo	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
d	d	0.905
t	t	0.821
l	l	0.81
e	ˈɛ	0.778
ŭ	iː	0.765
v	v	0.76
b	b	0.667
ǒ	ˈuː	0.6
l_ŭ	l	0.6
e_#>	ɛ_#>	0.6
o	o	0.55
ɛ̌	ˈɛː	0.5
ɛ̌	ɛ	0.5
<#_ô	<#_ˈo	0.5
<#_ô	<#	0.5
r	r	0.429
ǒ	o	0.4
l_ŭ	l_iː	0.4
e_#>	#>	0.4
o	ˈo	0.35
b	p	0.333
e	ɛ	0.222
r	r̝	0.19
t	c	0.179
v	v_j	0.16
r	ˈr̩	0.143
r	r̝̊	0.143
ŭ	ɛ	0.118
ŭ	-	0.118
o	-	0.1
r	ˈaː	0.095
l	ˈu	0.095
l	ˈl̩	0.095
d	ɟ	0.095
v	f	0.08
