Latin	Lengadocian	probability
<#_a	<#_a	1.0
<#_ae̯	<#_e	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j	<#_ʤ	1.0
<#_kʷ	k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_ʀ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_w	<#_b	1.0
<#_ɔ	<#_u	1.0
<#_ɫ	<#_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɪ	<#_ˈe	1.0
a	a	1.0
a_#>	#>	1.0
aː_r	ˈa	1.0
ãː	-	1.0
ãː_#>	ɔ_#>	1.0
b_ɛ_r	w_ɾ	1.0
d	-	1.0
d_i	ʤ	1.0
d_i_ʊ̃ː	ʧ	1.0
e	e	1.0
eː	e	1.0
f	-	1.0
h	<#	1.0
k_i	s	1.0
k_t	ʧ	1.0
k_ɛ̃ː	ʦ_#>	1.0
k_ʊ̃ː_#>	k_#>	1.0
kː	k	1.0
lʲ	l	1.0
lʲ_i	ʎ	1.0
lʲ_ˈiː	ˈi	1.0
lʲ_ˈɪ	ˈe	1.0
lʲː	l	1.0
n_e	ɲ	1.0
n_i	ɲ	1.0
n_ɛ	n_d	1.0
n_ʊ̃ː_#>	#>	1.0
o	u	1.0
p_ɛ	β	1.0
r_#>	e_#>	1.0
r_k	ʀ_k	1.0
r_m_ˈoː	b_ˈɛ	1.0
r_ˈaː	ɾ_ˈa	1.0
r_ˈeː	ɾ_ˈe	1.0
s_#>	s_#>	1.0
s_k	j_s	1.0
s_p	s_p	1.0
s_t	s_t	1.0
sː	s	1.0
t_i	ʦ	1.0
t_r	j_ɾ	1.0
t_ʊ̃ː_#>	ʧ_#>	1.0
t_ˈaː	t_ˈa	1.0
tː	t	1.0
u	-	1.0
uː	-	1.0
w	β	1.0
w_ɛ̃ː_#>	w_#>	1.0
w_ɪ	w	1.0
w_ʊ̃ː_#>	w_#>	1.0
ŋ	n	1.0
ŋ_k_t_ʊ̃ː	n	1.0
ŋ_kʷ	ŋ_k	1.0
ŋ_n	ɲ	1.0
ŋ_ɡ	ŋ	1.0
ŋ_ɡʷ	ŋ	1.0
ɔ	u	1.0
ɛ_#>	e_#>	1.0
ɛ_n	e_n	1.0
ɛ_r	ɾ	1.0
ɛ_r_ɛ	e	1.0
ɛ̃_#>	#>	1.0
ɪ_d	t	1.0
ɪ_k	ʤ_e	1.0
ɫ_ˈaː	l_ˈa	1.0
ɫ_ˈoː_r	l_ˈu	1.0
ʊ_ɫ	l	1.0
ˈa_n	ˈa	1.0
ˈa_p	ˈa_β	1.0
ˈa_r	ˈa	1.0
