Latin	Lengadocian	probability
<#_a	<#_a	1.0
<#_ae̯	<#_e	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j	<#_ʤ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_ʀ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_w	<#_b	1.0
<#_ɔ	<#_u	1.0
<#_ɫ	<#_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɪ	<#_ˈe	1.0
a_#>	ɔ	1.0
ae̯	s	1.0
ãː_#>	ɔ_#>	1.0
b	β	1.0
b_ɛ_r	w_ɾ	1.0
d_ɛ	j	1.0
e	e	1.0
h	<#	1.0
k_t	ʧ	1.0
k_ʊ_ɫ	ʎ	1.0
k_ʊ̃ː_#>	k_#>	1.0
kː_ãː	k_ɔ	1.0
l	l	1.0
lʲ	l	1.0
lʲ_i	ʎ	1.0
lʲː	l	1.0
m_b	m_b	1.0
n_e	ɲ	1.0
n_i	ɲ	1.0
n_t_ɛ̃ː	n_#>	1.0
n_t_ʊ̃ː_#>	n_#>	1.0
n_ɛ	n_d	1.0
n_ʊ̃ː_#>	#>	1.0
o	u	1.0
p_ʊ_s	s	1.0
r_#>	e	1.0
r_k	ʀ_k	1.0
r_ɛ	ˈe_#>	1.0
r_ɛ_#>	e_#>	1.0
r_ˈa	ɾ_ˈa	1.0
r_ˈaː	ɾ_ˈa	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
sː	s	1.0
t_i	ʦ	1.0
t_r	j_ɾ	1.0
t_ɛ̃	t	1.0
t_ˈaː	t_ˈa	1.0
tː	t	1.0
uː	-	1.0
w	β	1.0
w_ɛ̃ː_#>	w_#>	1.0
w_ɪ	w	1.0
w_ʊ̃ː_#>	w_#>	1.0
ŋ	n	1.0
ŋ_k_t_ʊ̃ː	n	1.0
ŋ_kʷ	ŋ_k	1.0
ŋ_n	ɲ	1.0
ŋ_ɡ	ŋ	1.0
ŋ_ɡʷ	ŋ	1.0
ɔ	u	1.0
ɔ_r	e	1.0
ɛ_#>	e_#>	1.0
ɛ_n	e_n	1.0
ɛ_r	ɾ	1.0
ɛ_ɫ	e_l	1.0
ɛ̃	-	1.0
ɪ_k	ʤ_e	1.0
ɫ_ˈoː_r	l_ˈu	1.0
ʊ_ɫ	l	1.0
ˈa	ˈa	1.0
ˈa_n	ˈa	1.0
ˈa_p	ˈa_β	1.0
ˈa_r_ɛ	ˈa	1.0
ˈau̯	ˈa_w	1.0
ˈaː_r_ɛ_#>	ˈa_#>	1.0
ˈeː	ˈe	1.0
