Bellunese	Megleno-Romanian	probability
b	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
n	n	1.0
w	-	1.0
z	ʦ	1.0
ʧ	-	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
k	-	0.081
o	ˈo	0.201
p	p	0.611
r	r	0.611
ŋ	n	0.531
ˈa	ˈa	0.591
ˈe	ˈi	0.491
r	r_i	0.212
t	p_t_i	0.122
ɡ	-	0.072
θ	ʧ	0.182
j	l	0.133
j	-	0.463
l	r_i	0.093
l	r	0.143
o	i	0.243
p	t	0.273
s	ʃ	0.123
ŋ	-	0.143
ɡ	ɡ	0.593
ˈa	ˈɔ	0.323
ˈɔ	w_ˈo	0.333
ˈɛ	ˈe	0.493
a	-	0.154
e	-	0.214
j	ʎ	0.404
r	-	0.134
t	t	0.504
ð	z	0.854
ŋ	m	0.204
v	-	0.275
ŋ	j_n_i	0.105
ˈa	i	0.065
ˈo	o̯ˈa	0.195
a	ə	0.756
e	ə	0.26
e	i	0.526
l	-	0.236
p	kʲ	0.116
t	p_t	0.16
ð	ʒ	0.146
ˈo	ˈu	0.556
l	l	0.527
s	s	0.877
t	ʦ	0.177
v	p	0.117
ˈe	ˈe	0.207
ˈe	e̯ˈa	0.27
ˈɛ	ˈa	0.507
o	ʎ_u	0.218
o	u	0.338
v	v	0.608
ɡ	k	0.288
ˈɔ	ˈo	0.158
θ	ʦ	0.818
a	ʎ_ə	0.09
k	k	0.919
ˈo	ˈo	0.249
ˈɔ	o̯ˈa	0.509
