Proto-Germanic	Yiddish	probability
b	b	0.927
b	-	0.073
d	t	0.768
d	d	0.226
e	ə	1.0
i	-	0.762
i	ə	0.141
i	ɪ	0.086
i_j	ə	1.0
i_z	k	0.271
iː	-	0.521
j	-	0.912
j	j	0.084
jː	ˈɛɪ̯	1.0
k	k	0.841
k	-	0.113
k	h	0.051
k_s	χ	0.521
kʷ	k	0.271
l	l	0.93
l_i	l	1.0
l_u	l	1.0
lː	l	1.0
m	m	0.967
m	n	0.051
m_i	m	0.521
m_ɑ	m	1.0
mː	m	0.521
n	n	0.943
nː	n	1.0
p	p	0.608
p	f	0.276
p_ɑ	f	1.0
p_ɑ̃	f	0.521
pː	p	0.521
r	ʀ	0.806
r	-	0.06
r	ʀ_ə	0.055
r_u	ʀ	1.0
r_ɑ	ə	1.0
r_ɑ̃	ʀ	1.0
s	z	0.455
s	ʃ	0.314
s	s	0.112
s	-	0.112
s_k	ʃ	0.8
s_k	ʧ	0.194
s_ɑ̃	z	1.0
t	ʦ	0.406
t	s	0.295
t	t	0.294
t_i	t	1.0
t_ɑ	s	1.0
t_ɑ̃	t	1.0
u	-	1.0
w	v	0.714
w	-	0.205
x	h	0.552
x	χ	0.23
x	k	0.067
x	-	0.065
x_l	l	1.0
xʷ	v	0.758
xʷ	-	0.193
z	-	0.897
z	ʀ	0.055
ð	t	0.577
ð	-	0.191
ð	d	0.139
ð_i	t	1.0
ð_ɑ	t	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.842
ŋ	-	0.149
ɑ	-	0.832
ɑ	ə	0.092
ɑi̯	ˈa	0.271
ɑː	-	0.521
ɑ̃	-	1.0
ɔː	-	0.529
ɔː	ə_ʀ	0.262
ɔː	ə	0.206
ɔːu̯	-	0.521
ɔːː	-	0.736
ɔːː	ɛ	0.132
ɔːː	ʀ	0.101
ɔ̃ː	-	0.836
ɔ̃ː	n	0.163
ɛː	ə	1.0
ɡ	ɡ	0.895
ɡ	k	0.101
ɡʷ	ɡ	0.271
ɣ	ɡ	0.74
ɣ	k	0.163
ɣ	-	0.088
ɣ_i	k	0.271
ɸ	f	0.973
ˈe	ˈɛ	0.59
ˈe	ˈɪ	0.243
ˈe	ˈa	0.068
ˈe	-	0.051
ˈeu̯	ˈɪ	0.814
ˈeu̯	ˈʊ	0.182
ˈi	ˈɪ	0.928
ˈi_j	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈĩː	ˈaɪ̯	1.0
ˈu	ˈɔ	0.376
ˈu	ˈʊ	0.291
ˈu	ˈɔɪ̯	0.116
ˈu	ˈɪ	0.113
ˈu	ˈi	0.053
ˈu	ˈɛ	0.052
ˈuː	ˈɔɪ̯	0.699
ˈuː	ˈʊ	0.19
ˈuː	ˈaɪ̯	0.099
ˈɑ	ˈa	0.591
ˈɑ	ˈɔ	0.249
ˈɑ	ˈɛ	0.133
ˈɑi̯	ˈɛɪ̯	0.883
ˈɑi̯	ˈɛ	0.108
ˈɑu̯	ˈɔɪ̯	0.776
ˈɑu̯	ˈɛ	0.075
ˈɑu̯	ˈɛɪ̯	0.066
ˈɑu̯	ˈɔ	0.057
ˈɑu̯	ˈʊ	0.057
ˈɔ	ˈɪ	0.521
ˈɔː	ˈʊ	0.692
ˈɔː	ˈɪ	0.307
ˈɛː	ˈɔ	1.0
β	b	0.818
β	p	0.18
β_ɑ	b	1.0
θ	d	0.74
θ	t	0.132
θ	-	0.115
