Old Frisian	English	probability
θ	θ	1.0
ˈo_r	ˈɔː	1.0
ˈiː	ˈaɪ̯	1.0
ˈi_x	ˈaɪ̯	1.0
ˈi_t	ˈɪ_t	1.0
ˈeː_d	ˈiː_d	1.0
ˈe_r	ˈɑː	1.0
ˈe_n	ˈɪ	1.0
ˈe_j	ˈeɪ̯	1.0
ˈaː_r	ˈɪ_ə	1.0
ˈa_x	ˈaɪ̯	1.0
ˈa_r	ˈɔː	1.0
ˈa_l	ˈɑː	1.0
ʦ	ʧ	1.0
ʣ	-	1.0
ɣ̥	-	1.0
ɣ	-	1.0
ɡː	ʤ	1.0
ɡ	ɡ	1.0
ə_r	ə	1.0
ə_n	n	1.0
ə_l	ɫ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
x_t	t	1.0
x	ˈaɪ̯	1.0
v	v	1.0
tː	t	1.0
t	t	1.0
s_k	ʃ	1.0
s	s	1.0
r_ˈe	ɜː	1.0
r_ə	ə	1.0
pː	p	1.0
nː	n	1.0
n	n	1.0
mː	m	1.0
m_ˈɔː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ˈi̯aː	l	1.0
kː	-	1.0
k	k	1.0
j	-	1.0
i_ɣ̥	ɪ	1.0
h_ˈɛː	h	1.0
h_w	w	1.0
h_r	ɹ	1.0
h	h	1.0
dː	d	1.0
bː	v	1.0
b	b	1.0
f	f	0.95
d	d	0.929
ə	-	0.853
w	w	0.843
p	p	0.825
ˈɛː	ˈəʊ̯	0.816
ˈɔː_r	ˈɔː	0.766
ˈu	ˈɐ	0.653
ˈi	ˈɪ	0.63
ˈuː	ˈaʊ̯	0.612
ˈo	-	0.606
ˈɔː	ˈæ	0.601
l	l	0.597
r	ɹ	0.592
ˈeː	ˈiː	0.584
k_ə	ʧ	0.5
k_ə	k	0.5
ˈi̯uː	-	0.459
ˈoː	ˈuː	0.457
ˈi̯aː	ˈiː	0.437
ˈeː	-	0.416
l	ɫ	0.403
ˈɔː	-	0.399
ˈo	ˈɒ	0.394
ˈa	ˈæ	0.354
ˈi̯aː	ˈɪ	0.326
ˈe	ˈe	0.324
ˈa	ˈeɪ̯	0.318
ˈaː	ˈe	0.314
ˈoː	ˈɐ	0.309
ˈaː	ˈiː	0.306
ˈaː	-	0.282
ˈu	-	0.278
ˈuː	ˈɐ	0.277
ˈi̯uː	ˈɪ	0.271
ˈi̯uː	ˈe	0.271
ˈi̯aː	ˈe	0.236
ˈɔː_r	ˈɜː	0.234
ˈoː	ˈʊ	0.234
ˈe	ˈɪ	0.233
ˈi	ˈaɪ̯	0.204
ˈa	ˈəʊ̯	0.193
ˈɛː	ˈiː	0.184
ˈe	-	0.181
p	pʰ	0.175
r	ə	0.166
ˈa	-	0.135
r	ˈɜː	0.128
r	ˈɔː	0.114
ˈuː	-	0.111
ˈe	ˈɛ	0.11
ˈi	-	0.109
ˈaː	ˈeɪ̯	0.098
ə	ə	0.098
w	-	0.097
ˈe	ˈæ	0.089
d	ð	0.071
ˈu	ˈʊ	0.069
ˈe	ˈɑː	0.063
w	ˈuː	0.061
ˈi	ˈiː	0.057
