American English	Northern Low Saxon	probability
#>	#>	0.87
#>	n_#>	0.077
<#	<#	1.0
b	b	0.987
d	d	0.85
d	t	0.08
d	-	0.068
f	f	0.973
h	h	1.0
i	ɪ	0.758
i	i	0.185
j	ʒ	0.683
j	ɡ	0.225
k	ɡ	0.806
k	k	0.186
k_s	s	1.0
kʰ	kʰ	0.715
kʰ	f	0.28
l	l	1.0
m	m	1.0
n	n	0.97
n_#>	#>	1.0
oʊ̯	n	0.53
oʊ̯	-	0.304
p	b	0.728
p	p	0.267
s	s	0.401
s	z	0.339
s	ʃ	0.251
t	d	0.494
t	t	0.255
t	x	0.132
t	ç	0.065
tʰ	tʰ	1.0
v	m	0.678
v	f	0.138
v	v	0.125
w	v	0.856
w	-	0.084
w	r	0.056
z	s	0.517
z	z	0.196
z	n	0.122
ð	d	0.544
ð	l	0.281
ð	n	0.162
ŋ	ŋ	1.0
ə	-	0.794
ə	ˈœː	0.165
ɚ	ɐ	0.917
ɡ	ɡ	0.609
ɡ	-	0.297
ɡ	j	0.085
ɪ	-	1.0
ɫ	l	0.877
ɫ	ɡ_l	0.069
ɫ	-	0.053
ɹ	r	0.672
ɹ	ɐ	0.247
ɹ	-	0.076
ɹ_t	d	0.5
ɾ	d	1.0
ʃ	ʃ	1.0
ʤ	ɡ	0.667
ʤ	ç	0.333
ʧ	kʰ	0.549
ʧ	ɡ	0.441
ˈaɪ̯	ˈiː	0.291
ˈaɪ̯	ˈɪ	0.233
ˈaɪ̯	ˈa	0.085
ˈaɪ̯	ˈaɪ̯	0.085
ˈaɪ̯	ˈyː	0.085
ˈaʊ̯	ˈuː	0.647
ˈaʊ̯	ˈʊ	0.139
ˈaʊ̯	ˈaʊ̯	0.067
ˈaʊ̯	ˈoː	0.066
ˈaʊ̯	ˈøː	0.058
ˈeɪ̯	ˈoː	0.358
ˈeɪ̯	ˈa	0.312
ˈeɪ̯	ˈɛ	0.144
ˈeɪ̯	ˈeɪ̯	0.095
ˈeɪ̯	ˈaʊ̯	0.077
ˈi	ˈɔʏ̯	0.206
ˈi	ˈaɪ̯	0.191
ˈi	ˈoː	0.162
ˈi	ˈaʊ̯	0.156
ˈi	ˈiː	0.12
ˈoʊ̯	ˈaɪ̯	0.27
ˈoʊ̯	ˈaʊ̯	0.217
ˈoʊ̯	ˈøː	0.148
ˈoʊ̯	ˈɪ	0.148
ˈoʊ̯	ˈʊ	0.129
ˈoʊ̯	ˈeː	0.07
ˈu	ˈaʊ̯	0.45
ˈu	ˈiː	0.163
ˈu	ˈeː	0.116
ˈu	ˈaɪ̯	0.112
ˈu	ˈoː	0.112
ˈæ	ˈa	0.796
ˈæ	ˈaː	0.131
ˈæ	ˈɛ	0.067
ˈɑ	ˈɔ	0.378
ˈɑ	ˈa	0.223
ˈɑ	ˈoː	0.217
ˈɑ	ˈɪ	0.086
ˈɑ	ˈɛɪ̯	0.078
ˈɑ_ɹ	ˈaː	0.5
ˈɔ	ˈaʊ̯	0.286
ˈɔ	ˈaɪ̯	0.16
ˈɔ	ˈeː	0.16
ˈɔ	ˈa	0.118
ˈɔ	ˈaː	0.106
ˈɔ	ˈɔ	0.106
ˈɛ	ˈɛ	0.153
ˈɛ	ˈaʊ̯	0.133
ˈɛ	ˈeː	0.113
ˈɛ	ˈaɪ̯	0.11
ˈɛ	ˈoː	0.091
ˈɛ	ˈɪ	0.074
ˈɛ	ˈɔ	0.055
ˈɝ	ɐ	0.574
ˈɝ	ˈaː	0.19
ˈɝ	ˈɔː	0.109
ˈɪ	ˈɪ	0.459
ˈɪ	ˈʏ	0.22
ˈɪ	ˈiː	0.092
ˈɪ	ˈø	0.07
ˈʊ	ˈʊ	0.457
ˈʊ	ˈaʊ̯	0.32
ˈʊ	ˈuː	0.151
ˈʌ	ˈʊ	0.409
ˈʌ	ˈaʊ̯	0.205
ˈʌ	ˈa	0.122
ˈʌ	ˈøː	0.08
ˈʌ	ˈʏ	0.068
ˈʌ	ˈoː	0.064
ˈʌ	ˈɛɪ̯	0.054
θ	d	0.805
θ	-	0.175
