American English	American English	probability
ˈɔ_ɹ	ɐ	1.0
ˈoʊ̯_n_#>	ˈaː_#>	1.0
ˈi_ɚ	ɐ	1.0
ˈi_#>	ˈaɪ̯_#>	1.0
ˈeɪ̯_k	ˈɒː	1.0
ʤ	ɡ̊_n	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɾ	z̥	1.0
ɹ_m	ɐ_m	1.0
ɪ	ɡ̊	1.0
ɚ	ɐ	1.0
ə	-	1.0
ŋ	ŋ	1.0
tʰ	ʦ	1.0
t_ɚ	d̥_ɐ	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
oʊ̯	-	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	ɡ̊	1.0
k_s	ɡ̊_s	1.0
j	j	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b	b̥	1.0
<#_ˈɑ	<#_ˈɒ	1.0
<#_n	<#_n	1.0
h	h	0.905
d	d̥	0.898
θ	d̥	0.889
ɫ	l	0.889
w	v	0.857
ɡ	ɡ̊	0.833
t	d̥	0.818
ð	ɾ	0.714
ɹ	r	0.677
ˈɛə̯	ˈɒ	0.667
ˈɔ	ˈɔ	0.667
ʧ	ɡ̊	0.667
n	n	0.667
ˈɪ	ˈɪ	0.63
ˈaʊ̯	ˈaʊ̯	0.571
v	m	0.571
#>	ɡ̊_#>	0.571
s	s	0.568
ˈʌɪ̯	ˈaɪ̯	0.556
ˈʌ	ˈʊ	0.5
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ˈɝ	ˈɔ_ɐ	0.5
ˈɝ	ɐ	0.5
z	s	0.5
z	-	0.5
p	v̥	0.5
p	f	0.5
i	ɪ	0.5
i	-	0.5
<#	<#_ˈɒ	0.5
<#	<#_ɡ̊	0.5
ˈaɪ̯	ˈaɪ̯	0.471
ˈoʊ̯	-	0.467
ˈu	-	0.444
ʔ	s	0.44
v	β	0.429
#>	x_#>	0.429
ˈoʊ̯	ˈaː	0.4
ˈɛ	ˈɛ	0.385
ˈeɪ̯	ˈɒ	0.375
ˈeɪ̯	ˈoː	0.375
ˈæ	ˈɒ	0.364
s	ʃ	0.341
ˈɛə̯	-	0.333
ˈɔ	ˈɛ	0.333
ˈɑ	ˈɒ	0.333
ˈɑ	-	0.333
ˈu	ˈuː	0.333
ʧ	ç	0.333
ˈi	ˈiː	0.312
k	x	0.308
ˈaɪ̯	ˈɪ	0.294
ˈaʊ̯	ˈuː	0.286
ð	-	0.286
ˈæ	ˈoː	0.273
ɹ	ɐ	0.258
ˈɑ	ˈɔ	0.25
ˈeɪ̯	ˈoː_ŋ	0.25
k	ŋ	0.231
ˈʌɪ̯	ˈɒ	0.222
ˈʌɪ̯	ç	0.222
ˈu	ˈoː	0.222
ˈi	ˈaː	0.188
ˈæ	ˈɛ	0.182
ˈæ	ˈɒ_l	0.182
t	-	0.182
ˈaɪ̯	ˈiː_ŋ	0.176
ˈʌ	ˈuː	0.167
ɡ	-	0.167
n	-	0.167
ʔ	z̥_n	0.16
ˈi	ˈoː	0.156
ˈɛ	ˈuː	0.154
ˈɛ	-	0.154
k	ɡ̊	0.154
k	ç	0.154
k	n	0.154
ˈaʊ̯	-	0.143
ˈoʊ̯	ˈɒ	0.133
ˈʌ	ˈaʊ̯	0.125
ˈʌ	-	0.125
ˈi	-	0.125
ʔ	ʦ	0.12
ʔ	x_d̥	0.12
ˈɛ	ˈeː	0.115
ˈɛ	ˈaː	0.115
θ	-	0.111
ˈɪ	ˈiː	0.111
ˈɪ	ˈeː	0.111
ɫ	l_n	0.111
n	n_a	0.111
h	h_ˈaː	0.095
ˈi	ˈiː_ɐ	0.094
ˈʌ	ˈoː	0.083
ˈɑ	ˈa	0.083
ʔ	ʦ_n	0.08
ʔ	d̥	0.08
ˈɛ	ˈɒ	0.077
ˈɪ	ˈɛ	0.074
ˈɪ	ˈaɪ̯	0.074
w	v_ˈɔ	0.071
w	-	0.071
ɹ	r_ˈɪ	0.065
ˈi	ˈɛː	0.062
ˈi	ˈuː	0.062
d	d̥_n	0.061
ˈaɪ̯	ə	0.059
n	ˈoː	0.056
