North Frisian	Pennsylvania German	probability
b	b	0.873
b	-	0.127
d	d	0.554
d	t	0.334
dʲ	t	0.734
dʲ	d	0.181
f	f	0.85
f	p	0.139
h	h	1.0
i	ɪ	0.824
i	-	0.174
j	-	0.309
j	j	0.136
j	ɣ	0.136
j	l	0.078
j	ə	0.078
j	ɑ	0.066
j	ɾ	0.065
j	ɡ	0.064
j	ɪ	0.064
k	ç	0.301
k	kʰ	0.26
k	k	0.223
k	x	0.146
k	ɡ	0.054
l	l	0.971
lʲ	l_t	0.715
lʲ	l	0.173
m	m	1.0
n	n	0.821
n	-	0.175
nʲ	n_t	0.631
nʲ	n	0.165
nʲ	ɣ	0.108
p	f	0.662
p	p	0.224
p	p͡f	0.094
r	ɾ	0.465
r	-	0.319
r	ɑ	0.191
r_n	n	1.0
s	s	0.552
s	ʃ	0.345
t	t	0.329
t	ʦ	0.255
t	d	0.202
t	s	0.172
tʲ	s	0.564
tʲ	d	0.276
tʲ	t	0.124
v	ʋ	0.674
v	v	0.252
v_ə	f	1.0
w	k	0.803
w	-	0.119
x	x	0.539
x	ç	0.448
z	s	0.742
z	t	0.102
z	ɾ	0.052
ŋ	ŋ	0.755
ŋ	ç	0.141
ŋ	-	0.093
ə	ə	0.513
ə	ɑ	0.257
ə	-	0.226
ə_v	f	1.0
ɡ	ɡ	1.0
ʃ	ʃ	0.801
ʃ	kʰ	0.099
ʃ	s	0.099
ˈa	ˈɪ	0.365
ˈa	ˈɛ	0.196
ˈa	ˈaː	0.134
ˈa	ˈɛː	0.134
ˈa	ˈa	0.064
ˈa	ˈʊ	0.053
ˈa	ˈaɪ̯	0.052
ˈai̯	ˈaɪ̯	0.341
ˈai̯	ˈɪ	0.294
ˈai̯	ˈeː	0.129
ˈaː	ˈɪ	0.608
ˈaː	ˈoː	0.262
ˈeː	ˈɛ	0.277
ˈeː	ˈɔː	0.169
ˈeː	ˈɪ	0.169
ˈeː	ˈa	0.111
ˈeː	ˈɛː	0.087
ˈeː	ˈaː	0.081
ˈeː	ˈoː	0.059
ˈi	ˈaɪ̯	0.587
ˈi	ˈɪ	0.271
ˈi	ˈɛ	0.076
ˈi	ˈeː	0.062
ˈiː	ˈeː	0.383
ˈiː	ˈiː	0.383
ˈiː	ˈaɪ̯	0.084
ˈiː	ˈaʊ̯	0.067
ˈiː	ˈɔː	0.059
ˈiː_n	ˈeː	1.0
ˈiː_nʲ	ˈeː	1.0
ˈuː	ˈɔː	0.445
ˈuː	ˈoː	0.258
ˈuː	ˈa	0.141
ˈuː	ʋ	0.085
ˈuː	ˈaʊ̯	0.058
ˈyː	ˈaʊ̯	0.282
ˈyː	ˈoː	0.212
ˈyː	ˈaɪ̯	0.189
ˈyː	ˈuː	0.103
ˈyː	ˈʊ	0.083
ˈyː	ˈeː	0.053
ˈøː	ˈaɪ̯	0.313
ˈøː	ˈeː	0.157
ˈøː	ˈʊ	0.157
ˈøː	ˈaʊ̯	0.111
ˈøː	ˈɔ	0.111
ˈøː	ˈɛː	0.111
ˈœ	ˈa	0.379
ˈœ	ˈuː	0.306
ˈœ	ˈaː	0.081
ˈœ	ˈɔ	0.081
ˈœ	ˈɛː	0.081
ˈœ	ˈʊ	0.066
ˈɒ	ˈa	0.534
ˈɒ	ˈɔː	0.161
ˈɒ	ˈɪ	0.122
ˈɒ	ˈaɪ̯	0.091
ˈɒ	ˈeː	0.07
ˈɒː	ˈa	0.594
ˈɒː	ˈɔː	0.284
ˈɒː	ˈeː	0.064
ˈɔ	ˈaː	0.683
ˈɔ	ˈɔ	0.315
ˈɔ_r	ˈa	1.0
ˈɔi̯	ˈɔɪ̯	1.0
ˈɔu̯	ˈuː	0.263
ˈɔu̯	ˈa	0.149
ˈɔu̯	ˈeː	0.112
ˈɔu̯	ˈɪ	0.102
ˈɔu̯	ˈoː	0.097
ˈɔu̯	ˈiː	0.066
ˈɔː	ˈɔː	0.246
ˈɔː	ˈɪ	0.21
ˈɔː	ˈa	0.159
ˈɔː	ˈɔ	0.122
ˈɔː	ˈʊ	0.105
ˈɔː	ˈɛ	0.079
ˈɛ	ˈɪ	0.322
ˈɛ	ˈiː	0.277
ˈɛ	ˈɛː	0.198
ˈɛi̯	ˈoː	0.305
ˈɛi̯	ˈiː	0.245
ˈɛi̯	ˈɔː	0.208
ˈɛi̯	ˈɛː	0.12
ˈɛi̯	ˈeː	0.09
ˈɛː	ˈɛ	0.447
ˈɛː	ˈa	0.144
ˈɛː	ˈeː	0.144
ˈɛː	ˈoː	0.144
ˈɛː	ˈɔː	0.102
ˈʊ	ˈʊ	0.309
ˈʊ	ˈɪ	0.246
ˈʊ	ˈa	0.153
ˈʊ	ʋ_ˈɔ	0.123
ˈʊ	ˈɛ	0.071
ˈʊ	ˈɔː	0.05
ˈʏ	ˈaɪ̯	0.241
ˈʏ	ˈɔ	0.241
ˈʏ	ˈɛ	0.241
