Pennsylvania German	Bokmål Norwegian	probability
b	b	0.983
d	tʰ	0.367
d	d	0.305
d	-	0.245
d	ɕ	0.063
eː	ə	1.0
f	f	0.573
f	p	0.179
f	ʋ	0.118
f	-	0.054
f	kʰ	0.053
h	h	0.959
j	ɡ	0.459
j	-	0.286
j	ˈoː	0.144
j	ˈæɪ̯	0.111
k	ɡː	0.414
k	kː	0.278
k	k	0.143
k	-	0.096
k	ɡ	0.057
kʰ	kʰ	0.87
kʰ	ɕ	0.13
l	l	0.718
l	lː	0.216
m	m	0.722
m	mː	0.143
m	-	0.122
n	nː	0.443
n	n	0.298
n	-	0.137
n	ɳ	0.079
p	ʋ	0.775
p	-	0.168
p	p	0.057
p͡f	pʰ	1.0
s	s	0.481
s	t	0.304
s	ʂ	0.064
s	-	0.055
t	-	0.403
t	d	0.26
t	t	0.23
t	tː	0.107
v	ʋ	0.573
v	-	0.427
x	k	0.455
x	tː	0.341
x	-	0.103
x	j	0.102
ç	k	0.41
ç	j	0.127
ç	ŋ	0.127
ç	-	0.124
ç	n	0.088
ç	ɡ	0.085
ŋ	ŋː	1.0
ɑ	ɾ	0.314
ɑ	ə_ɾ	0.206
ɑ	ɾ_ə	0.167
ɑ	-	0.131
ɑ	ˈæː	0.076
ɑ	ˈøː	0.051
ə	ə	0.81
ə	-	0.158
ɡ	ɡ	0.598
ɡ	j	0.341
ɡ	kʰ	0.061
ɣ	-	1.0
ɪ	-	0.361
ɪ	ə	0.333
ɪ	i	0.153
ɪ	ɪ	0.153
ɾ	ɾ	0.964
ʃ	s	0.511
ʃ	s_k	0.298
ʃ	ʃ	0.161
ʋ	ʋ	0.865
ʋ	-	0.074
ʦ	tʰ	0.612
ʦ	ʈ	0.124
ʦ	tː	0.121
ʦ	ɕ	0.071
ˈa	ˈɑ	0.612
ˈa	ˈɑː	0.095
ˈa	ˈiː	0.061
ˈa	ˈʉː	0.061
ˈaɪ̯	ˈiː	0.524
ˈaɪ̯	ˈɛ	0.194
ˈaɪ̯	ˈyː	0.104
ˈaɪ̯	ˈʏ	0.051
ˈaʊ̯	ˈʉː	0.863
ˈaʊ̯	ˈʉ	0.082
ˈaʊ̯	ˈœʏ̯	0.055
ˈaː	ˈuː	0.386
ˈaː	ˈɑ	0.222
ˈaː	ˈɔ	0.179
ˈaː	ˈʊ	0.179
ˈeː	ˈæɪ̯	0.252
ˈeː	ˈøː	0.17
ˈeː	ˈeː	0.153
ˈeː	j	0.147
ˈeː	ˈoː	0.116
ˈiː	ˈyː	0.511
ˈiː	ˈiː	0.182
ˈiː	ˈœ	0.099
ˈiː	ˈʉː	0.084
ˈiː	ˈeː	0.082
ˈoː	ˈoː	0.608
ˈoː	ˈøː	0.36
ˈuː	ˈuː	0.631
ˈuː	ˈʉː	0.205
ˈuː	ˈøː	0.163
ˈɔ	ˈʉː	0.405
ˈɔ	ˈʉ	0.228
ˈɔ	ˈœ	0.171
ˈɔ	ˈɑ	0.118
ˈɔ	ˈɔ	0.079
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈɑː	0.266
ˈɔː	ˈɑ	0.142
ˈɔː	ˈeː	0.121
ˈɔː	-	0.106
ˈɔː	ˈœ	0.104
ˈɔː	ˈøː	0.097
ˈɔː	ˈoː	0.08
ˈɔː	ˈuː	0.053
ˈɛ	ˈɛ	0.461
ˈɛ	ˈeː	0.117
ˈɛ	ˈiː	0.088
ˈɛ	ˈæː	0.079
ˈɛ	ˈʉ	0.075
ˈɛ	-	0.073
ˈɛː	j	0.497
ˈɛː	ˈɛ	0.139
ˈɛː	ˈɪ	0.139
ˈɛː	ˈɛː	0.114
ˈɛː	ˈœ	0.069
ˈɪ	ˈɪ	0.447
ˈɪ	ˈʏ	0.206
ˈɪ	ˈœ	0.084
ˈɪ	ˈɛ	0.061
ˈʊ	ˈʉ	0.615
ˈʊ	ˈɔ	0.148
ˈʊ	ˈuː	0.117
ˈʊ	ˈʊ	0.089
