Pennsylvania German	Bokmål Norwegian	probability
b	b	1.0
d	d	0.45
d	tʰ	0.339
d	-	0.16
d	t	0.045
d_ɑ	ɾ	1.0
f	f	0.639
f	ʋ	0.169
f	p	0.103
f	-	0.072
h	h	0.905
h	-	0.09
j	ɡ	0.425
j	ˈæɪ̯	0.168
j	-	0.107
j	ˈoː	0.107
k	ɡː	0.412
k	k	0.218
k	-	0.165
k	ɡ	0.165
kʰ	kʰ	0.839
kʰ	ç	0.129
l	l	0.824
l	lː	0.118
l	-	0.032
l	nː	0.03
l_t	lː	1.0
m	m	0.835
m	mː	0.117
m	n	0.043
n	n	0.425
n	nː	0.335
n	ɳ	0.103
n	-	0.092
n	ŋ	0.029
p	ʋ	0.583
p	p	0.229
p	-	0.145
p͡f	pʰ	1.0
s	s	0.536
s	t	0.3
s	ʂ	0.063
s	-	0.039
s	sː	0.034
t	-	0.515
t	t	0.268
t	d	0.212
v	ʋ	0.549
v	-	0.441
x	tː	0.384
x	j	0.234
x	k	0.148
x	-	0.14
ç	k	0.307
ç	-	0.261
ç	n	0.111
ç	ŋ	0.111
ç	ɡ	0.111
ç_t	tː	1.0
ŋ	ŋː	1.0
ŋ_k	kː	1.0
ɑ	ɾ	0.315
ɑ	ə_ɾ	0.241
ɑ	-	0.137
ɑ	ɾ_ə	0.12
ɑ	ˈæː	0.065
ə	ə	0.504
ə	-	0.46
ə	ˈiː	0.032
ɡ	ɡ	0.594
ɡ	j	0.284
ɡ	kʰ	0.111
ɣ	-	1.0
ɣ_l	l	0.232
ɪ	ə	0.454
ɪ	-	0.336
ɪ	ɪ	0.193
ɪ_ç	i	0.517
ɪ_ç	k	0.45
ɾ	ɾ	0.966
ɾ	-	0.039
ʃ	s	0.729
ʃ	s_k	0.259
ʃ	f	0.029
ʋ	ʋ	0.604
ʋ	-	0.253
ʋ	ˈuː	0.064
ʋ	ˈœ	0.064
ʋ_ˈɔ	ˈʉ	1.0
ʦ	tʰ	0.573
ʦ	d	0.107
ʦ	tː	0.107
ʦ	ʈ	0.107
ʦ	ç	0.081
ˈa	ˈɑ	0.54
ˈa	ˈɑː	0.114
ˈa	ˈuː	0.097
ˈa	ˈɛ	0.097
ˈa	ˈʉː	0.043
ˈa_s	ˈɑ	0.482
ˈaɪ̯	ˈiː	0.514
ˈaɪ̯	ˈyː	0.188
ˈaɪ̯	ˈɛ	0.139
ˈaɪ̯	ˈeː	0.059
ˈaɪ̯	ˈʏ	0.048
ˈaʊ̯	ˈʉː	0.773
ˈaʊ̯	ˈʉ	0.106
ˈaʊ̯	ˈœʏ̯	0.079
ˈaː	ˈuː	0.322
ˈaː	ˈɑ	0.297
ˈaː	ˈɛ	0.106
ˈaː	ˈʊ	0.106
ˈaː	ˈɔ	0.096
ˈeː	ˈæɪ̯	0.298
ˈeː	ˈøː	0.224
ˈeː	ˈeː	0.133
ˈeː	j	0.076
ˈeː	ˈiː	0.076
ˈiː	ˈyː	0.59
ˈiː	ˈeː	0.12
ˈiː	ˈøː	0.09
ˈiː	ˈiː	0.088
ˈiː	ˈœ	0.085
ˈoː	ˈoː	0.592
ˈoː	ˈøː	0.271
ˈoː	ˈœ	0.135
ˈoː_t	ˈøː	1.0
ˈuː	ˈuː	0.665
ˈuː	ˈʉː	0.317
ˈuː_t	ˈuː	1.0
ˈɔ	ˈʉ	0.336
ˈɔ	ˈʉː	0.254
ˈɔ	ˈɔ	0.128
ˈɔ	ˈœ	0.088
ˈɔ	ˈɑ	0.085
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈɑː	0.198
ˈɔː	ˈɑ	0.179
ˈɔː	ˈøː	0.132
ˈɔː	ˈœ	0.132
ˈɔː	-	0.115
ˈɛ	ˈɛ	0.394
ˈɛ	ˈeː	0.164
ˈɛ	-	0.129
ˈɛ	j	0.097
ˈɛ	ˈɔ	0.061
ˈɛː	j	0.345
ˈɛː	ˈɛ	0.183
ˈɛː	ˈɪ	0.121
ˈɛː	ˈæ	0.116
ˈɛː	ˈɛː	0.077
ˈɪ	ˈɪ	0.449
ˈɪ	ˈʏ	0.131
ˈɪ	ˈœ	0.08
ˈɪ	ˈɛ	0.059
ˈɪ	ˈʉː	0.053
ˈʊ	ˈuː	0.265
ˈʊ	ˈʉ	0.252
ˈʊ	ˈʊ	0.196
ˈʊ	ˈʏ	0.176
ˈʊ	-	0.067
