Icelandic	Icelandic	probability
θ	d̥	1.0
ˈʏː	-	1.0
ˈɪː_k	ɣ̊	1.0
ˈɛː_r̥	ɐ	1.0
ˈɛi̯_t͡n̥_#>	ˈaː_#>	1.0
ˈɑu̯	ˈɒ	1.0
ˈœː	-	1.0
ˈuː_a	ŋ	1.0
ˈuː	ˈaʊ̯	1.0
ˈu	ˈʊ	1.0
ˈou̯	-	1.0
ˈiː_r̥_#>	#>	1.0
ˈiː	ˈaɪ̯	1.0
ˈi	ˈɪ	1.0
ˈaːu̯	ˈoː	1.0
ˈaː_c	ˈɒː	1.0
ˈau̯	ˈɛ	1.0
ˈai̯	-	1.0
ʰt͡n̥	z̥_ɐ	1.0
ʰp	ˈɒ_f	1.0
ʰk	ɡ̊	1.0
ʰc	ɡ̊	1.0
ɲ	-	1.0
ɪ_r̥	ɐ	1.0
ɪ	-	1.0
ɣ	-	1.0
ɡ̊_a	a	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ç	h	1.0
x	ç	1.0
v_ʏ_r̥_#>	b̥_#>	1.0
v_ʏ	β	1.0
v_a	m	1.0
t͡n̥	n	1.0
t͡l̥	l	1.0
tʰ	ʦ	1.0
t_ʏ	s	1.0
t_j	t	1.0
sː	n_s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_c	ʃ	1.0
r̥_t	ɐ_ʦ	1.0
r̥_#>	#>	1.0
r_ɪ	ɐ	1.0
r_t͡n̥	ɐ_n	1.0
r_m	ɐ_m	1.0
pʰ	b̥͡v̥	1.0
p	f	1.0
n̥	n	1.0
nː	n	1.0
n_d̥	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ	ɡ̊	1.0
k_ˈa	ˈa	1.0
k_ʏ_r̥_#>	#>	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈuː	ˈiː	1.0
j_ˈoːu̯	ˈiː	1.0
j_a	n	1.0
h	h	1.0
d̥	d̥	1.0
cʰ	ɡ̊	1.0
b̥	b̥	1.0
aːu̯	eː	1.0
a_r̥	ɐ	1.0
a_#>	#>	1.0
<#_ˈʏ	<#	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_d̥	1.0
<#	<#_v	1.0
ʏ_r̥_#>	#>	0.947
f	f	0.895
ˈoːu̯	ˈuː	0.8
v	v	0.792
ˈɛːi̯	ˈaː	0.778
ŋ	ŋ	0.778
ð	d̥	0.72
ˈɑːu̯	ˈoː	0.714
ʰt	d̥	0.714
r	r	0.667
r̥	ɐ	0.643
ˈɪ	ˈɪ	0.625
s	s	0.61
ˈœ	-	0.6
ɟ̊	ɡ̊	0.6
ˈɛ	ˈɛ	0.583
ˈa	ˈɒ	0.583
j	ˈiː	0.571
a	n	0.567
ˈaː	-	0.556
ˈɔː	ˈoː	0.5
ˈɔː	-	0.5
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ˈœːy̯	ˈuː	0.5
ˈœːy̯	ˈaː	0.5
ˈaːi̯	ˈiː	0.5
ˈaːi̯	-	0.5
ɡ̊_ʏ	ɐ	0.5
ɡ̊_ʏ	i	0.5
ɡ̊	ç	0.5
ɡ̊	-	0.5
#>	n_#>	0.5
ˈɔ	ˈɔ	0.444
ˈaː	ˈoː	0.444
k	x	0.444
ˈɪː	-	0.429
ˈɛː	-	0.429
j	-	0.429
ˈʏ	ˈʊ	0.417
ˈœ	ˈoː	0.4
ʏ	ɐ	0.4
ʏ	-	0.4
ɟ̊	-	0.4
t	z̥	0.357
s	ʃ	0.341
ˈʏ	-	0.333
ˈɔ	ˈʊ	0.333
r	ɐ	0.333
k	ç	0.333
ˈɪː	ˈɪ	0.286
ˈɪː	ˈiː	0.286
ˈɛː	ˈɛ	0.286
ˈɛː	ˈeː	0.286
ˈɑːu̯	-	0.286
ʰt	-	0.286
t	s	0.286
a	a	0.267
ˈʏ	ˈɔ	0.25
ˈɛ	-	0.25
ˈa	ˈɛ	0.25
#>	x_#>	0.25
#>	d̥_#>	0.25
ˈɛːi̯	-	0.222
ˈɔ	-	0.222
ŋ	-	0.222
k	ɡ̊	0.222
t	d̥	0.214
r̥	ˈɘ	0.214
ˈoːu̯	ˈʊ	0.2
ʏ	x	0.2
ð	ɾ	0.2
ˈɛ	ˈaɪ̯	0.167
ˈa	-	0.167
t	ʦ	0.143
r̥	ç	0.143
ˈɪ	ˈɔ	0.125
ˈɪ	ˈiː	0.125
ˈɪ	-	0.125
v	-	0.125
f	f_ˈɔ	0.105
a	ŋ	0.1
v	β	0.083
ð	-	0.08
a	-	0.067
ʏ_r̥_#>	d̥_#>	0.053
