Lombard	Piedmontese	probability
#>	#>	0.905
<#	<#	1.0
a	a	0.95
ã	a	1.0
b	b	1.0
d	d	0.747
d	-	0.104
d	t	0.096
d	n	0.051
e	e	0.348
e	-	0.236
e	u	0.092
e	ˈə	0.069
e	i	0.061
e	ˈe	0.06
e	j	0.058
e	ˈɛ	0.053
ẽ	-	0.265
f	f	0.729
f	v	0.268
i	i	0.321
i	-	0.153
i	ˈi	0.153
i	e	0.133
ĩ	i	0.723
ĩ	u	0.214
j	j	0.721
j	-	0.27
k	k	0.847
k	ɡ	0.1
k_#>	#>	1.0
l	l	0.835
l	-	0.082
l	w	0.059
m	m	0.99
n	n	0.833
n	ŋ	0.164
o	u	1.0
p	p	0.982
r	r	0.978
r_#>	#>	1.0
s	s	0.969
t	t	0.844
t	d	0.069
u	u	0.721
u	ˈø	0.136
u	-	0.083
u_#>	#>	1.0
ũ	u	0.265
v	v	0.515
w	w	0.488
w	-	0.28
w	v	0.18
y	u	0.5
y	y	0.5
z	z	1.0
ɛ	i	0.574
ɛ	ə	0.296
ɡ	ɡ	0.606
ɡ	v	0.214
ɡ	-	0.163
ɲ	ɲ	0.755
ɲ	n	0.115
ɲ	ŋ	0.108
ʃ	s	0.85
ʃ	z	0.088
ʋ	v	0.949
ʤ	ʤ	0.778
ʤ	z	0.12
ʤ	-	0.088
ʦ	s	0.856
ʦ	-	0.086
ʦ	z	0.059
ʧ	j	0.361
ʧ	s	0.196
ʧ	ʧ	0.163
ʧ	z	0.093
ʧ	t	0.08
ʧ	k	0.055
ˈa	ˈa	0.66
ˈa	ˈe	0.332
ˈaː	ˈa	0.813
ˈaː	ˈe	0.152
ˈãː	ˈa_ŋ	0.658
ˈãː	ˈa_n	0.245
ˈãː	-	0.075
ˈe	ˈɛ	0.432
ˈe	ˈe	0.383
ˈe	ˈi	0.114
ˈe	ˈə	0.057
ˈeː	ˈe	0.85
ˈeː	ˈɛ	0.088
ˈẽː	ˈɛ_ŋ	0.74
ˈẽː	ˈi	0.202
ˈi	ˈi	0.737
ˈi	e	0.152
ˈi	ˈe	0.085
ˈiː	ˈi	0.265
ˈiː	j	0.07
ˈĩː	ˈi_ŋ	1.0
ˈo	ˈɔ	1.0
ˈu	ˈu	0.736
ˈu	ˈɔ	0.117
ˈu	ˈy	0.077
ˈu	ˈø	0.065
ˈuː	ˈu	0.296
ˈuː	ˈɔ	0.296
ˈũː	ˈu_ŋ	0.927
ˈũː	ˈu	0.067
ˈy	ˈy	0.901
ˈy	ˈɛ	0.096
ˈyː	ˈu	0.443
ˈyː	ˈy	0.377
ˈyː	ˈɔ	0.174
ˈỹː	ˈy	0.515
ˈø	ˈø	0.75
ˈø	u	0.117
ˈø	ˈu	0.112
ˈøː	ˈø	1.0
ˈɔ	ˈɔ	0.883
ˈɔ	ˈø	0.064
ˈɔ	ˈa	0.058
ˈɛ	ˈɛ	0.748
ˈɛ	ˈe	0.167
ˈɛ̃ː	ˈɛ_ŋ	1.0
ˈˈi	ˈe	0.515
