East Low German	Danish	probability
b	b̥	0.957
b	b̥_j	0.034
b	-	0.027
b_m	w	1.0
d	d̥	0.422
d	-	0.289
d	ʦʰ	0.247
d	ʨ	0.032
f	f	0.663
f	-	0.172
f	w	0.084
f	v	0.042
f	mˀ	0.039
h	h	1.0
j	ɡ̊	0.633
j	-	0.347
k	-	0.339
k	j	0.288
k	k	0.162
k	w	0.086
k	ɡ̊	0.086
kʰ	kʰ	1.0
l	l	0.698
l	lˀ	0.24
l	-	0.031
l	nˀ	0.031
m	m	0.784
m	mˀ	0.104
m	w	0.069
m	wˀ	0.036
m	-	0.025
n	n	0.539
n	-	0.2
n	ə	0.174
n	nˀ	0.045
n	ŋ	0.033
n_d	nˀ	1.0
p	b̥	0.757
p	p	0.175
p	-	0.047
r	ʁ	0.939
r	ˈœˀ	0.061
s	s	0.927
s	-	0.067
t	ð̞ˠ	0.597
t	t	0.266
t	-	0.077
t	nˀ	0.028
t	w	0.027
tʰ	ʦʰ	1.0
v	ʋ	0.484
v	-	0.46
v	v	0.053
w	ʋ	0.683
w	ˈo	0.209
x	j	0.433
x	-	0.409
x	t	0.113
z	s	1.0
æ	ɐ	0.586
æ	-	0.165
æ	ɐˀ	0.129
æ	ə	0.092
æ	lˀ	0.03
ç	-	0.573
ç	ɡ̊	0.16
ç	t	0.08
ç	ŋ	0.08
ç	k	0.045
ŋ	ŋˀ	0.482
ŋ	ŋ	0.239
ŋ	ə	0.117
ŋ	jˀ	0.062
ŋ	w	0.059
ŋ_k	k	0.463
ɡ	ɡ̊	0.672
ɡ	-	0.166
ɡ	jˀ	0.066
ɣ	-	1.0
ɪ	e	0.265
ɪ	i	0.265
ɪ	ə	0.265
ɪ	-	0.153
ɾ	ˈeˀ	0.178
ɾ	ˈoː	0.178
ɾ	ˈɑː	0.16
ɾ	ð̞ˠ	0.106
ɾ	ˈo	0.106
ʃ	s	0.551
ʃ	s_k	0.421
ʃ	f	0.033
ˈa	ˈa	0.248
ˈa	ˈɛ	0.211
ˈa	ˈɑ	0.162
ˈa	-	0.053
ˈa	ˈæˀ	0.053
ˈae̯	ˈeˀ	0.469
ˈae̯	ˈyˀ	0.122
ˈae̯	ˈyː	0.092
ˈae̯	ˈuː	0.07
ˈae̯	ˈoˀ	0.054
ˈaɪ̯	ˈyː	0.463
ˈaʊ̯	ˈoˀ	0.258
ˈaʊ̯	ˈœˀ	0.192
ˈaʊ̯	ˈʌ	0.145
ˈaʊ̯	ˈɔˀ	0.114
ˈaʊ̯	ˈʌˀ	0.114
ˈaː	ˈa	0.582
ˈaː	ˈɑˀ	0.407
ˈiː	ˈiˀ	0.248
ˈiː	ˈiː	0.195
ˈiː	j	0.109
ˈiː	ˈi	0.109
ˈiː	ˈyˀ	0.109
ˈoː	ˈœˀ	0.349
ˈoː	ˈɔˀ	0.265
ˈoː	ˈo	0.162
ˈoː	ˈɒˀ	0.093
ˈuː	ˈuˀ	0.406
ˈuː	ˈo	0.17
ˈuː	ˈuː	0.078
ˈuː	ˈøː	0.078
ˈuː	ˈɔ	0.078
ˈyː	ˈøː	0.297
ˈyː	ˈy	0.197
ˈyː	ˈyˀ	0.172
ˈyː	ˈi	0.105
ˈøː	ɐ	0.5
ˈøː	ˈʌ	0.5
ˈœ	ˈoː	0.333
ˈœ	ˈɛ	0.333
ˈœ	ˈʌ	0.333
ˈœː	ˈu	0.257
ˈœː	ˈoː	0.157
ˈœː	ˈyˀ	0.148
ˈœː	ˈœ	0.148
ˈœː	ˈoˀ	0.086
ˈɒː	ˈɔˀ	0.252
ˈɒː	ˈa	0.163
ˈɒː	ˈɒː	0.107
ˈɒː	ˈaː	0.079
ˈɒː	ˈɔː	0.079
ˈɔ	ˈɛ	0.293
ˈɔ	ˈu	0.255
ˈɔ	ˈœ	0.188
ˈɔ	ˈʌ	0.169
ˈɔʏ̯	ˈœˀ	0.53
ˈɔʏ̯	ˈœ	0.461
ˈɛ	ˈa	0.12
ˈɛ	ˈe	0.12
ˈɛ	ˈiː	0.12
ˈɛ	ˈuˀ	0.086
ˈɛ	ˈɛː	0.086
ˈɛː	ˈɛː	0.308
ˈɛː	ˈiˀ	0.234
ˈɛː	ˈa	0.13
ˈɛː	ˈe	0.124
ˈɛː	ˈɛˀ	0.079
ˈɪ	ˈe	0.462
ˈɪ	ˈiˀ	0.169
ˈɪ	ˈɛ	0.122
ˈɪ	-	0.049
ˈɪ	ˈyː	0.049
ˈʊ	ˈu	0.584
ˈʊ	ˈɔ	0.239
ˈʊ	-	0.082
ˈʊ	ˈʌ	0.059
ˈʏ	ˈœ	0.514
ˈʏ	ˈy	0.186
ˈʏ	ˈɑ	0.186
ˈʏ	ˈø	0.076
