Nynorsk Norwegian	Scots	probability
b	b	1.0
d	d	0.869
d	-	0.062
e	-	0.704
e	ə	0.28
f	f	1.0
h	h	1.0
j	-	0.243
j	l	0.168
j	h	0.143
j	ɡ	0.141
j	ˈeː	0.125
j	ˈɛ	0.086
jː	ˈaɪ̯	0.671
jː	ˈuː	0.329
k	k	0.75
k	-	0.113
k	ʧ	0.082
k	ç	0.055
kʰ	kʰ	0.618
kʰ	ʍ	0.203
kʰ	k	0.179
l	l	0.948
l	-	0.052
lː	l_d	0.755
lː	d	0.123
lː	f	0.123
m	m	0.865
m	v	0.092
mː	m	1.0
n	n	0.925
n	-	0.075
nː	n	0.918
nː	θ	0.061
p	p	1.0
pʰ	pʰ	1.0
s	s	0.852
s	ʃ	0.102
sː	s	1.0
t	t	1.0
tʰ	θ	0.521
tʰ	tʰ	0.455
tː	t	1.0
v	w	1.0
ŋ	n	0.747
ŋ	ŋ	0.253
ŋː	ŋ	1.0
ɑ	-	0.545
ɑ	ə	0.431
ɕ	k	0.456
ɕ	kʰ	0.205
ɕ	θ	0.126
ɕ	ʧ	0.11
ɕ	t	0.104
ɕː	t	1.0
ə	ə	0.756
ə	ˈiː	0.244
ɛ	ə	1.0
ɡ	ɡ	0.314
ɡ	-	0.303
ɡ	x	0.214
ɡ	ç	0.095
ɡː	ɡ	0.642
ɡː	ʤ	0.358
ɪ	ə	1.0
ɲ	ŋ	1.0
ɾ	r	0.955
ʃ	ʃ	0.534
ʃ	s	0.466
ʉ	-	1.0
ʋ	w	0.631
ʋ	-	0.183
ʋ	v	0.1
ʋ	f	0.085
ʰkː	ŋ_k	0.93
ʰkː	k	0.07
ʰpː	p	1.0
ʰtː	t	0.605
ʰtː	ç	0.319
ʰtː	x	0.076
ˈeː	ˈiː	0.518
ˈeː	ˈi	0.16
ˈeː	ˈəi̯	0.09
ˈeː	ˈɛ	0.09
ˈeː	ˈɑː	0.059
ˈeː	ˈɪ	0.057
ˈiː	ˈəi̯	0.571
ˈiː	ˈɪ	0.17
ˈiː	ˈʌu̯	0.073
ˈiː	-	0.055
ˈiː	ˈɛ	0.051
ˈoː	ˈeː	0.222
ˈoː	ˈi	0.183
ˈoː	ˈø	0.135
ˈoː	ˈʌ	0.126
ˈoː	j	0.105
ˈoː	ˈiː	0.088
ˈuː	ˈɪ	0.42
ˈuː	ˈø	0.263
ˈuː	w	0.138
ˈuː	ˈo	0.119
ˈyː	ˈiː	0.556
ˈyː	ˈəi̯	0.273
ˈyː	ˈɪ	0.088
ˈyː	ˈø	0.06
ˈæ	ˈʌ	1.0
ˈæɪ̯	ˈe	0.735
ˈæɪ̯	-	0.138
ˈæɪ̯	ˈeː	0.083
ˈæʉ̯	ˈi	0.374
ˈæʉ̯	ˈe	0.278
ˈæʉ̯	ˈeː	0.231
ˈæʉ̯	ˈiː	0.118
ˈæː	ˈa	0.333
ˈæː	ˈɛ	0.333
ˈæː	ˈʌ	0.333
ˈøː	ˈi	0.582
ˈøː	ˈɛ	0.123
ˈøː	ə	0.117
ˈøː	ˈɑː	0.067
ˈøː	ˈiː	0.067
ˈœ	ˈɪ	0.598
ˈœ	-	0.251
ˈœ	ˈɛ	0.152
ˈœʏ̯	ˈiː	0.899
ˈœʏ̯	ˈi	0.101
ˈɑ	ˈɑː	0.308
ˈɑ	ˈa	0.29
ˈɑ	ˈeː	0.171
ˈɑ	ˈe	0.073
ˈɑ	-	0.064
ˈɑː	ˈeː	0.5
ˈɑː	ˈe	0.199
ˈɑː	ˈɪ	0.082
ˈɑː	ˈoː	0.056
ˈɑː	ˈa	0.054
ˈɑː	ˈɑː	0.054
ˈɑː	ˈɛ	0.054
ˈɔ	ˈo	0.314
ˈɔ	ˈoː	0.161
ˈɔ	ˈø	0.156
ˈɔ	ˈɪ	0.147
ˈɔ	ˈu	0.056
ˈɛ	ˈɛ	0.264
ˈɛ	ˈa	0.169
ˈɛ	ˈaːɪ̯	0.138
ˈɛ	ˈi	0.131
ˈɛ	ˈɪ	0.116
ˈɛ	ˈe	0.1
ˈɪ	ˈɪ	0.815
ˈɪ	-	0.108
ˈʉ	ˈʌ	0.489
ˈʉ	ˈu	0.359
ˈʉ	ˈɪ	0.055
ˈʉː	ˈuː	0.311
ˈʉː	ˈu	0.264
ˈʉː	ˈi	0.186
ˈʉː	ˈiː	0.139
ˈʊ	ˈo	0.542
ˈʊ	ˈi	0.199
ˈʊ	ˈɛ	0.161
ˈʊ	ˈɪ	0.098
ˈʏ	ˈɪ	0.661
ˈʏ	ˈu	0.106
ˈʏ	-	0.098
ˈʏ	ˈi	0.078
ˈʏ	ˈo	0.057
