Danish	Swabian	probability
#>	#>	0.74
#>	d_#>	0.15
<#	<#	0.988
b̥	b	0.638
b̥	f	0.241
b̥	-	0.072
b̥_j	b	1.0
d̥	d	1.0
e	ɪ	0.491
f	f	1.0
h	h	0.942
h	ʁ	0.059
i	ɪ	0.491
j	-	0.336
j	ɡ	0.244
j	h	0.134
j	t	0.088
j	x	0.088
j	ç	0.088
jˀ	a	0.324
jˀ	ɡ	0.324
k	ŋ_ɡ	0.351
k	ɡ	0.351
k	ç	0.266
kʰ	kʰ	0.903
kʰ	ʁ	0.065
l	l	0.892
l	l_ɡ	0.054
l	ɡ_l	0.054
lˀ	l	0.942
lˀ	ʌ	0.053
m	m	0.879
m	ʕ_m	0.107
mˀ	m	0.491
n	n	0.728
n	ʕ_n	0.125
n	ɐ	0.06
n	ʕ	0.059
n_#>	#>	1.0
n_ə	n	1.0
nˀ	n	0.447
nˀ	d	0.272
nˀ	l	0.156
nˀ	ʌ	0.101
nˀ_#>	#>	1.0
p	ʕ	0.491
s	s	0.586
s	ʃ	0.347
s_k	ʃ	1.0
t	d	0.429
t	x	0.291
t	ʕ_ʦ	0.151
t	ʦ	0.071
t	-	0.055
w	b_a	0.24
w	a	0.182
w	-	0.158
w	b	0.147
w	x	0.107
w	n	0.08
wˀ	a	1.0
ð̞ˠ	s	0.617
ð̞ˠ	-	0.323
ð̞ˠ	t	0.053
ŋ	ŋ	0.733
ŋ	ɡ	0.162
ŋˀ	ŋ	1.0
ɐ	-	0.424
ɐ	d_ʌ	0.233
ɐ	ʌ	0.198
ɐ	ˈa	0.061
ɐ	a	0.06
ɐˀ	-	0.686
ɐˀ	ˈɔ	0.148
ɐˀ	ˈo	0.096
ə	a	0.686
ə	-	0.181
ə	ʌ	0.091
ə_#>	#>	1.0
ɡ̊	ɡ	0.914
ɡ̊	-	0.085
ʁ	ʁ	0.947
ʁ	-	0.056
ʋ	ʋ	0.703
ʋ	f	0.129
ʋ	-	0.112
ʦʰ	d	0.461
ʦʰ	ʦ	0.326
ʦʰ	ʦ_ʋ	0.173
ʨ	d	0.491
ˈa	ˈa	0.512
ˈa	ˈaː	0.273
ˈa	ˈɔː	0.099
ˈa	ˈɛ	0.086
ˈaː	ˈa	0.241
ˈe	ˈi	0.318
ˈe	ˈɛ	0.217
ˈe	ˈe	0.189
ˈe	ˈɪ	0.143
ˈe	ˈeː	0.09
ˈeˀ	ˈɔe̯	0.655
ˈeˀ	ˈɛ	0.144
ˈeˀ	ˈɛː	0.117
ˈeˀ	ˈeː	0.056
ˈeˀ_n	ˈɔe̯	0.491
ˈeː	ˈeː	0.324
ˈeː	ˈa	0.159
ˈi	ˈʌ	0.282
ˈi	ʌ	0.09
ˈi	ˈəi̯	0.09
ˈiˀ	ˈəi̯	0.43
ˈiˀ	ˈi	0.275
ˈiˀ	ˈae̯	0.137
ˈiˀ	ˈeə̯	0.089
ˈiː	ˈi	0.362
ˈiː	ˈaː	0.275
ˈiː	ˈəi̯	0.235
ˈo	ʋ	0.425
ˈo	ˈuə̯	0.28
ˈo	ˈɔ	0.28
ˈoˀ	ˈuə̯	0.267
ˈoˀ	ˈao̯	0.214
ˈoˀ	ˈɔe̯	0.214
ˈoˀ	ˈuː	0.145
ˈoˀ_ð̞ˠ	ˈuə̯	1.0
ˈoː	ˈao̯	0.349
ˈoː	ˈa	0.265
ˈoː	ˈu	0.172
ˈoː	ˈi	0.105
ˈu	ˈo	0.47
ˈu	ʋ_ˈo	0.258
ˈu	ˈɔ	0.119
ˈu	ˈuː	0.11
ˈuˀ	ˈao̯	0.674
ˈuˀ	ˈoː	0.145
ˈuˀ	ˈae̯	0.102
ˈuˀ	ˈeə̯	0.053
ˈuː	ˈae̯	0.491
ˈy	ˈi	0.392
ˈy	ˈu	0.392
ˈy	ˈəi̯	0.125
ˈyˀ	ˈiː	0.316
ˈyˀ	ˈiə̯	0.276
ˈyˀ	ˈəi̯	0.178
ˈyˀ	ˈi	0.123
ˈyː	ˈiə̯	0.21
ˈyː	ˈiː	0.21
ˈæ	ˈɛ	1.0
ˈæˀ	ˈaː	0.491
ˈø	ˈɪ	1.0
ˈøː	ˈao̯	0.24
ˈøː	ˈeː	0.24
ˈøː	ˈoː	0.155
ˈœ	ˈu	0.19
ˈœ	ˈe	0.125
ˈœ	ˈo	0.125
ˈœ	ˈɪ	0.125
ˈœ	-	0.093
ˈœ	ˈiə̯	0.093
ˈœ	ˈoː	0.093
ˈœ	ʋ	0.068
ˈœ	ˈae̯	0.051
ˈœˀ	ˈeə̯	0.209
ˈœˀ	ˈɛː	0.197
ˈœˀ	ˈiə̯	0.182
ˈœˀ	ˈao̯	0.111
ˈœˀ_ð̞ˠ	ˈoː	1.0
ˈœː	ˈɛ	1.0
ˈɑ	ˈa	0.401
ˈɑ	ˈi	0.252
ˈɑ	ˈae̯	0.105
ˈɑ	ˈeː	0.105
ˈɑ	ˈaː	0.098
ˈɑˀ	ˈɛː	0.415
ˈɑˀ	ˈa	0.355
ˈɑː	ˈa	0.372
ˈɑː	ˈaː	0.183
ˈɒ	ˈoː	1.0
ˈɒˀ	-	0.324
ˈɒˀ	ˈɔː	0.324
ˈɒː	ˈo	0.324
ˈɒː	ˈɔː	0.159
ˈɔ	ˈao̯	0.361
ˈɔ	ˈo	0.361
ˈɔ	j	0.204
ˈɔˀ	ˈaː	0.683
ˈɔˀ	ˈɔː	0.221
ˈɔː	ˈo	0.491
ˈɛ	ˈɛ	0.273
ˈɛ	ˈa	0.267
ˈɛ	ˈe	0.104
ˈɛ	ˈɔ	0.077
ˈɛ	ˈɔː	0.077
ˈɛ	ˈʌ	0.077
ˈɛ	ˈae̯	0.06
ˈɛˀ	ˈae̯	0.24
ˈɛˀ	ˈɔe̯	0.24
ˈɛˀ	ˈɛ	0.24
ˈɛː	ˈɛ	0.168
ˈɛː	ˈa	0.147
ˈɛː	ˈɔː	0.083
ˈʌ	ˈa	0.304
ˈʌ	ˈao̯	0.152
ˈʌ	ˈaː	0.152
ˈʌ	ˈoː	0.11
ˈʌ	ˈe	0.107
ˈʌ	ˈɔə̯	0.075
ˈʌˀ	ˈao̯	1.0
