Proto-Slavic	Ukrainian	probability
ʧ	ʧ	1.0
ʦ	ʦʲ	1.0
ʒ	ʒ	1.0
ʎ	lʲ	1.0
ɨ̌	ˈɪ	1.0
ɨˀ	ˈɪ	1.0
ɡ_ŭ_#>	ɦ_#>	1.0
ɡ	ɦ	1.0
ɛ̌	ˈi	1.0
ɛ̂ː	ˈi	1.0
ɛː	i	1.0
ɛˀ	ˈi	1.0
x	x	1.0
ŭ̌	ˈɔ	1.0
ŭ̂	-	1.0
ŭ_#>	#>	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ	tʲ	1.0
s_ŭ_#>	s_#>	1.0
ǒ_#>	ˈɔ_#>	1.0
ǒ	ˈi	1.0
õː	ʊ	1.0
ôː	ˈɔ	1.0
o_#>	ɔ_#>	1.0
o	ɔ	1.0
m_ĭ	i_m	1.0
l_ĭ_#>	lʲ_#>	1.0
k_ŭ_#>	k_#>	1.0
j	j	1.0
ǐ	ˈɪ	1.0
ĭ̌	ˈɛ	1.0
ĭ̂	ˈɔ	1.0
ĭˀ	ˈɔ	1.0
ĭ_ʦ	ʦ	1.0
ĭ_#>	#>	1.0
i_#>	e_#>	1.0
i	ˈɪ	1.0
ě	ˈɛ	1.0
ẽ̂ː	j_ˈɑ	1.0
ẽː	ɐ	1.0
ẽ	ɐ	1.0
ê	ˈɛ	1.0
d	d	1.0
b	b	1.0
a_#>	ɐ_#>	1.0
<#_t	<#_t	1.0
<#_l	<#_lʲ	1.0
k	k	0.9
t	t	0.889
m	m	0.846
p	p	0.833
ǎ	ˈɑ	0.833
z	z	0.778
r	r	0.733
s	s	0.625
n	n	0.625
l_ŭ	ɫ_e	0.6
aˀ	ˈɑ	0.6
l	ɫ	0.56
ŭ	e	0.542
e	ɛ	0.538
ô	ˈɔ	0.5
ô	ˈi	0.5
ĭ	ˈɛ	0.5
ĭ	-	0.5
v	ʋ	0.435
l_ŭ	ɫ	0.4
aˀ	ɐ	0.4
n	nʲ	0.375
e	ɔ	0.308
v	ʋʲ	0.304
s	sʲ	0.292
v	w	0.261
z	zʲ	0.222
ŭ	ˈɪ_j	0.208
ŭ	-	0.167
r	rʲ	0.167
p	pʲ	0.167
ǎ	ˈa	0.167
l	ɫ_ɔ	0.16
m	mʲ	0.154
e	e	0.154
l	lʲ	0.12
t	tʲ	0.111
r	r_ˈɔ	0.1
k	kʲ	0.1
ŭ	ɔ	0.083
s	-	0.083
l	ʍ	0.08
l	ʋ	0.08
