Afrikaans	Pennsylvania German	probability
b	b	1.0
d	d	0.924
d	-	0.066
f	f	0.797
f	p	0.174
i	eː	1.0
j	j	0.535
j	ˈiː	0.465
k	kʰ	0.358
k	k	0.195
k	ç	0.181
k	x	0.174
k	ɡ	0.056
m	m	1.0
n	n	0.805
n	-	0.169
p	f	0.627
p	p	0.216
p	ə_f	0.06
p	pʰ	0.057
r	ɑ	0.454
r	ɾ	0.444
r	-	0.054
s	s	0.55
s	ʃ	0.413
t	t	0.42
t	s	0.274
t	ʦ	0.166
t	d	0.074
t	-	0.053
v	ʋ	0.82
v	v	0.159
w	ʋ	0.948
w	-	0.052
ŋ	ŋ	0.635
ŋ	n	0.233
ŋ	ç	0.132
ə	ɑ	0.675
ə	ɪ	0.111
ə	ˈaː	0.107
ə	ə	0.085
ɦ	h	1.0
ɫ	l	0.975
ˈa	ˈa	0.651
ˈa	ˈɔː	0.145
ˈa	ˈɛ	0.079
ˈa	ˈɛː	0.065
ˈi	ˈiː	0.62
ˈi	ˈeː	0.22
ˈi	ˈaɪ̯	0.16
ˈoːi̯	ˈoː	1.0
ˈu	ˈiː	0.476
ˈu	ˈuː	0.466
ˈu	ˈʊ	0.057
ˈuː	ˈuː	1.0
ˈuːi̯	ˈuː	1.0
ˈyː	ˈaɪ̯	0.916
ˈyː	ˈaʊ̯	0.084
ˈæ	ˈɪ	1.0
ˈæː	ˈɛː	0.552
ˈæː	-	0.224
ˈæː	ˈaː	0.224
ˈœ	ˈɪ	0.566
ˈœ	ˈaː	0.209
ˈœ	ʋ	0.113
ˈœ	ˈʊ	0.113
ˈœi̯	ˈaɪ̯	1.0
ˈœu̯	ˈa_l	0.685
ˈœu̯	ˈɔ	0.168
ˈœu̯	ˈɔː	0.147
ˈœɪ̯	ˈaʊ̯	0.685
ˈœɪ̯	ˈaɪ̯	0.315
ˈɑː	ˈɔː	0.288
ˈɑː	ˈoː	0.25
ˈɑː	ˈɛː	0.177
ˈɑː	ˈa	0.118
ˈɑː	ˈɛ	0.11
ˈɑː	ˈeː	0.058
ˈɔ	ˈʊ	0.713
ˈɔ	ˈɔ	0.166
ˈɔː	ˈʊ	0.846
ˈɔː	ˈa	0.154
ˈə	ˈɪ	0.865
ˈə	ˈɛ	0.056
ˈə	ˈaɪ̯	0.053
ˈəɪ̯	ˈaɪ̯	0.565
ˈəɪ̯	ˈeː	0.206
ˈəɪ̯	ˈɪ	0.144
ˈəɪ̯	ɑ	0.084
ˈɛ	ˈɛ	0.428
ˈɛ	ˈɪ	0.331
ˈɛ	ˈɛː	0.205
ˈɛː	ˈa	0.669
ˈɛː	ˈɔː	0.331
ˈɪ	ˈɪ	0.657
ˈɪ	ˈa	0.343
ˈɪø̯	ˈʊ	0.569
ˈɪø̯	ˈoː	0.292
ˈɪø̯	ˈɔː	0.138
ˈɪə̯	ˈeː	0.342
ˈɪə̯	ˈɛ	0.258
ˈɪə̯	ˈɛ_d	0.168
ˈɪə̯	ˈɛː	0.111
ˈɪə̯	ˈɪ	0.065
ˈʊə̯	-	0.24
ˈʊə̯	ˈɔː	0.235
ˈʊə̯	ˈeː	0.212
ˈʊə̯	ˈoː	0.181
ˈʊə̯	ˈɪ	0.051
χ	ɡ	0.372
χ	k	0.314
χ	x	0.171
χ	ç	0.066
χ	j	0.065
