Afrikaans	Limburgish	probability
ˈɪə̯_#>	ˈi_#>	1.0
ˈɪø̯	-	1.0
ˈɔː	-	1.0
ˈæ_ɫ	l_ə	1.0
ˈyː	-	1.0
ɫ_v̥	v̥	1.0
ɦ	ɦ	1.0
ə_n	ə	1.0
s_k	ʃ	1.0
r_ˈʊə̯	ʀ	1.0
r_t	ʀ_t	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	j	1.0
i	-	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_r	<#_ʀ	1.0
ɫ	l	0.956
t	t	0.951
d	d	0.923
v	β	0.912
ə	ə	0.879
r	ʀ	0.851
d̥	d̥	0.806
v̥	v	0.781
ˈi	ˈeː	0.6
ŋ	ŋ	0.588
ˈɛ	-	0.571
ˈœ	ˈœ	0.571
ˈɪə̯	ˈeː	0.55
ˈœɪ̯	ˈuː	0.545
ˈəɪ̯	ˈiː	0.529
ˈœu̯	ˈɔu̯	0.5
ˈœu̯	ˈaː_j	0.5
ˈæː	ˈæː	0.5
ˈæː	ˈaː	0.5
ˈæ	ˈæː	0.5
ˈæ	ˈeː	0.5
χ	x	0.488
ˈɑː	ˈɒː	0.48
ˈə	ˈɪː	0.458
ˈɔ	ˈɔ	0.458
ˈɪə̯	ˈɛː	0.45
ˈɛ	ˈɪ	0.429
ˈœ	-	0.429
χ	ɣ	0.419
s	s	0.417
s	z	0.4
ˈu	ˈʊː	0.375
ˈu	ˈøː	0.375
ˈa	ˈɑ	0.371
ˈɔ	ˈʊː	0.333
ˈʊə̯	-	0.304
ˈa	ˈaː	0.286
ˈɑː	ˈaː	0.28
ˈœɪ̯	-	0.273
ˈʊə̯	ˈʊː	0.261
ˈʊə̯	ˈu	0.261
ˈu	ˈoː	0.25
ˈəɪ̯	ˈɛː	0.235
ŋ	-	0.235
v̥	v̥	0.219
ˈi	ˈi	0.2
ˈi	-	0.2
ˈa	ˈɑː	0.2
ˈœɪ̯	ˈɔu̯	0.182
ŋ	ŋ_k	0.176
ˈʊə̯	ˈɔː	0.174
s	z̥	0.15
ˈə	ˈɪ	0.125
ˈə	ˈɛ	0.125
ˈə	ˈeː	0.125
ˈɔ	ˈɔː	0.125
ˈəɪ̯	ˈɛ_j	0.118
ˈəɪ̯	-	0.118
d̥	j_ə	0.097
d̥	d_ə	0.097
χ	k	0.093
r	ʀ_ə	0.09
v	v	0.088
ˈa	-	0.086
ˈə	ˈi	0.083
ˈə	-	0.083
ˈɔ	-	0.083
ˈɑː	ˈʊː	0.08
ˈɑː	ˈi	0.08
ˈɑː	ˈeː	0.08
d	j	0.077
ə	ɪ	0.061
ə	-	0.061
ˈa	ˈæ	0.057
