Afrikaans	Afrikaans	probability
ˈʊə̯_r	ˈʊː_ʀ	1.0
ˈɪə̯_#>	ˈi_#>	1.0
ˈœ	ˈœ	1.0
ˈyː	-	1.0
ɫ_v̥	v̥	1.0
ɦ	ɦ	1.0
ə_n	ə	1.0
w	-	1.0
s_k	ʃ	1.0
r_ˈi	ʀ	1.0
r_t	ʀ_t	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j	j	1.0
i	i	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_r	<#_ʀ	1.0
n	n	0.967
ɫ	l	0.957
t	t	0.929
d	d	0.923
v	β	0.912
ə	ə	0.879
r	ʀ	0.871
d̥	d̥	0.806
v̥	v	0.781
ˈi	ˈeː	0.667
ŋ	ŋ	0.588
ˈɛ	-	0.571
ˈɪə̯	ˈeː	0.55
ˈœɪ̯	ˈuː	0.545
ˈəɪ̯	ˈiː	0.529
ˈɪø̯	ˈʊː	0.5
ˈɪø̯	-	0.5
ˈæː	ˈæː	0.5
ˈæː	ˈaː	0.5
ˈɑː	ˈɒː	0.48
ˈɔ	ˈɔ	0.478
ˈə	ˈɪː	0.458
ˈɪə̯	ˈɛː	0.45
s	s	0.431
χ	ɣ	0.429
ˈɛ	ˈɪ	0.429
s	z	0.414
ˈœu̯	ˈɔu̯	0.4
ˈœu̯	ˈaː_j	0.4
ˈu	ˈʊː	0.375
ˈu	ˈøː	0.375
ˈa	ˈɑ	0.371
ˈɔ	ˈʊː	0.348
ˈʊə̯	ˈu	0.333
ˈæ	ˈɛː	0.333
ˈæ	ˈæː	0.333
ˈæ	ˈeː	0.333
χ	ɣ̊	0.286
ˈa	ˈaː	0.286
ˈɑː	ˈaː	0.28
ˈœɪ̯	ˈœi̯	0.273
ˈu	ˈoː	0.25
ˈəɪ̯	ˈɛː	0.235
ŋ	-	0.235
ˈʊə̯	ˈɔː	0.222
ˈi	ˈi	0.222
v̥	v̥	0.219
ˈœu̯	w	0.2
ˈa	ˈɑː	0.2
χ	x	0.19
ˈœɪ̯	ˈɔu̯	0.182
ŋ	ŋ_k	0.176
ˈʊə̯	ˈyː	0.167
ˈʊə̯	ˈoː	0.167
s	z̥	0.155
ˈɔ	ˈɔː	0.13
r	ʀ_ə	0.129
ˈə	ˈɪ	0.125
ˈə	ˈɛ	0.125
ˈə	ˈeː	0.125
ˈəɪ̯	ˈɛːi̯	0.118
ˈəɪ̯	ˈɛ_j	0.118
ˈʊə̯	-	0.111
ˈi	-	0.111
d̥	j_ə	0.097
d̥	d_ə	0.097
χ	k	0.095
v	v	0.088
ˈa	-	0.086
ˈə	ˈi	0.083
ˈə	-	0.083
ˈɑː	ˈʊː	0.08
ˈɑː	ˈi	0.08
ˈɑː	ˈeː	0.08
d	j	0.077
t	-	0.071
ə	ɪ	0.061
ə	-	0.061
ˈa	ˈæ	0.057
