Aromanian	Latin	probability
a	-	0.416
a	a	0.364
a	ˈaː	0.122
a	i	0.058
b	b	0.638
b	-	0.254
b	h	0.073
d	d	0.936
e	ɛ̃ː	0.409
e	-	0.235
e	ɛ	0.214
e	aː	0.141
e̯a	-	0.811
e̯a	ˈɪ	0.189
e̯ˈa	ˈeː	0.519
e̯ˈa	ˈɪ	0.218
e̯ˈa	ˈɛ	0.157
f	f	0.857
f	p	0.073
i	ɛ	0.446
i	ɛ̃ː	0.248
i	-	0.097
i	ɪ	0.068
j	w	0.544
j	-	0.35
k	k	0.787
k	p	0.128
k	kː	0.05
l	ɫ	0.556
l	l	0.219
l	lʲː	0.185
m	m	0.831
n	n	0.788
n	-	0.12
n	ŋ	0.052
o̯ˈa	ˈɔ	0.359
o̯ˈa	ˈoː	0.243
o̯ˈa	ˈʊ	0.129
o̯ˈa	ˈa	0.096
o̯ˈa	w	0.084
o̯ˈa	ˈo	0.062
p	p	0.777
p	k	0.11
p	kʷ	0.056
r	r	0.848
r	ɫ	0.063
r	-	0.053
s	s	0.948
s	sː	0.052
t	t	0.79
t	-	0.089
t	k	0.071
u	ʊ̃ː	0.405
u	ɔ	0.214
u	ɫ_ʊ̃ː	0.082
u	ʊ	0.067
v	w	1.0
w	w	0.533
w	ˈu	0.202
w	lʲː	0.156
w	ãː	0.11
z	w	1.0
ç	f	1.0
ŋ	ŋ	0.495
ŋ	-	0.333
ŋ	iː	0.172
ə	ãː	0.625
ə	ɛ̃ː	0.136
ə	a	0.06
ɡ	ɡ	0.58
ɡ	-	0.183
ɡ	b	0.17
ɡ	k	0.067
ɨ	a	0.474
ɨ	ɔ	0.263
ɨ	ˈɛ	0.132
ɨ	ˈa	0.074
ɨ	ˈɔ	0.057
ɲ	m	0.519
ɲ	n	0.272
ɲ	ŋ	0.188
ʃ	s	0.838
ʃ	-	0.136
ʎ	ɫ	0.366
ʎ	ʊ	0.356
ʎ	lʲ	0.153
ʎ	l	0.07
ʎ	lʲː	0.056
ʣ	ɡ	0.558
ʣ	d	0.409
ʤ	ɡ	0.411
ʤ	d	0.253
ʤ	j	0.229
ʤ	ɡʷ	0.106
ʦ	k	0.51
ʦ	-	0.229
ʦ	kʷ	0.173
ʦ	t	0.076
ʧ	p	0.485
ʧ	k	0.384
ʧ	t	0.085
ˈa	ˈa	0.42
ˈa	ˈaː	0.35
ˈa	ˈɛ	0.111
ˈe	ˈɛ	0.537
ˈe	ˈɪ	0.254
ˈe	ˈae̯	0.087
ˈe	ˈeː	0.071
ˈi	ˈiː	0.373
ˈi	ˈɛ	0.22
ˈi	ˈeː	0.115
ˈi	-	0.105
ˈi	ˈa	0.058
ˈi	ˈɪ	0.052
ˈo	ˈɔ	0.5
ˈo	ˈoː	0.166
ˈo	ˈu	0.111
ˈo	ˈo	0.064
ˈo	ɪ	0.056
ˈu	ˈʊ	0.268
ˈu	ˈɔ	0.232
ˈu	ˈuː	0.23
ˈu	ˈoː	0.098
ˈu	ˈyː	0.057
ˈə	ˈiː	0.636
ˈə	ãː	0.239
ˈə	ˈe	0.125
ˈɨ	ˈaː	0.603
ˈɨ	ˈa	0.261
ˈɨ	ˈɔ	0.077
