Middle Chinese	Middle Chinese	probability
ʨʰ	ʧʰ	1.0
ʨ	ʦ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʥ	s	1.0
ʤ	s	1.0
ʣ	ʧʰ	1.0
ʔˠ	-	1.0
ʑ	s	1.0
ʌ_i	ɔː_j	1.0
ʉ	-	1.0
ʈˠ	ʧ_œː	1.0
ʃˠ	s	1.0
ʃ	s_ɪ	1.0
ɳ	n	1.0
ɨ_ɐ	œː	1.0
ɨ_o	ʊ	1.0
ɦˠ	-	1.0
ɡˠ	kʰ	1.0
ɛ	aː	1.0
ɖˠ	ʦʰ	1.0
ɕˠ	s	1.0
ɕ	s	1.0
ɑ_n	n	1.0
ȵ	j	1.0
ŋˠ	ŋ	1.0
ŋ_u	ŋ̍	1.0
ŋ	ŋ	1.0
w_e	yː	1.0
u_ɪ	ɵ	1.0
u_ɛ	yː	1.0
u_o	o_w	1.0
u_k̚	k̚_²	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	s	1.0
p̚	t̚_³	1.0
pˠ	p	1.0
pʰˠ	-	1.0
pʰ	pʰ	1.0
o	-	1.0
n	n	1.0
mˠ	m	1.0
m	m	1.0
lˠ	l	1.0
l	l	1.0
kˠ	k	1.0
kʰ	h	1.0
i_a	ɛː	1.0
hˠ	f	1.0
h	h	1.0
e_i	ɐ_j	1.0
bˠ	pʰ	1.0
b	pʰ	1.0
a	aː	1.0
<#_ʔ	<#	1.0
<#_ɦ	<#	1.0
<#	<#_f	1.0
s	s	0.833
e	iː	0.812
ɨ_u	ɐ	0.8
k	k	0.75
ɑ	ɔː	0.714
k̚	k̚	0.714
ə	ɐ	0.7
t̚	t̚	0.7
p	f	0.7
i	-	0.692
ɡ	k	0.667
æ	aː	0.667
˧˥	³⁵	0.656
d	t	0.6
ɦ	w	0.571
u	w	0.567
˥˩	²²	0.545
˦	²¹	0.539
ʉ_ɐ	ɔː	0.5
ʉ_ɐ	aː	0.5
ʈ	ʦ	0.5
ʈ	-	0.5
ɪ	ɐ	0.5
w	w	0.5
w	-	0.5
˦	⁵⁵	0.461
˥˩	³³	0.455
ʌ	ɥ	0.429
ɦ	h	0.429
d	tʰ	0.4
˧˥	¹³	0.344
ɪ	j	0.333
ɡ	kʷʰ	0.333
æ	ɪ	0.333
ə	-	0.3
t̚	t̚_²	0.3
p	p	0.3
ʌ	aː	0.286
ʌ	-	0.286
k̚	k̚_²	0.286
k	kʷ	0.25
ɨ	ʊ	0.231
ɨ	-	0.231
ɨ_u	u	0.2
ɨ	ɐ	0.192
ɨ	iː	0.192
ɑ	o	0.19
e	ɛː	0.188
i	j	0.179
ɪ	-	0.167
u	-	0.167
s	ʃ	0.167
ɨ	ɵ	0.154
u	ʊ	0.133
u	uː	0.133
i	e	0.128
ɑ	-	0.095
