Upper Sorbian	Upper Sorbian	probability
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʥ	ʑ	1.0
ʒ̊	ʐ̊	1.0
ʀʲ	rʲ	1.0
ɥ	vʲ	1.0
ɔ_x	ɔ_k	1.0
ɔ_m	ɨ_m	1.0
ɔ_#>	#>	1.0
z̥	z̥	1.0
z	z	1.0
xʲ	x	1.0
x_#>	ɡ̊_#>	1.0
w_#>	w_#>	1.0
s	s	1.0
pʲ	pʲ	1.0
p	p	1.0
n	n	1.0
mʲ	mʲ	1.0
l	l	1.0
kʲ	kʲ	1.0
k	k	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
<#_w_ɔ	<#_ɔ	1.0
<#_p	<#	1.0
u	u	0.9
t	t	0.9
a	a	0.896
ʀ	r	0.88
ɦ	ɡ	0.867
ɲ	ɲ	0.857
m	m	0.846
ɪ	ɨ	0.839
ʨ	ɕ	0.826
j	j	0.818
ʒ	ʐ	0.8
ɔ	ɔ	0.698
o	ɔ	0.692
i	i	0.688
x	x	0.667
ʃ	-	0.571
e	ɪ	0.56
w	w	0.442
ʃ	ɕ	0.429
ɛ	ɛ	0.423
w	v	0.419
ɛ	e	0.385
x	k	0.333
i	ɨ	0.312
o	ɛ	0.308
ɔ	ɛ	0.245
e	a	0.24
ʒ	ʒ	0.2
e	e	0.2
j	-	0.182
ʨ	ʨ	0.174
m	-	0.154
ɲ	nʲ	0.143
ɦ	-	0.133
ʀ	ʂ	0.12
w	-	0.116
ɛ	a	0.115
u	-	0.1
t	-	0.1
ɪ	-	0.097
ɛ	ɪ	0.077
ɪ	e	0.065
a	ɪ	0.062
ɔ	a	0.057
