Logudorese	Brazilian Portuguese	probability
a	ɐ	0.738
a	a	0.159
a	-	0.058
b	v	0.521
b	b	0.299
b	k	0.073
b	ʒ	0.052
bː	ɡ	0.674
bː	v	0.326
d	d	0.804
d	-	0.105
d	ʤ	0.091
e	-	0.511
e	i	0.196
e	ˈe	0.165
e	e	0.05
ĕ	j	0.758
ĕ	-	0.242
f	f	0.844
f	ʃ	0.134
i	i	0.315
i	e	0.282
i	-	0.207
j	j	0.324
j	ʒ	0.287
j	ˈu	0.224
j	ĩ	0.144
k	k	0.513
k	s	0.204
k	ʎ	0.106
k	-	0.056
l	l	0.55
l	w	0.335
l	-	0.116
lː	w	1.0
m	m	0.778
m	-	0.189
mː	m	1.0
n	-	0.484
n	n	0.214
n	j̃	0.173
n	w̃	0.079
nː	n	0.46
nː	j̃	0.317
nː	h	0.224
o	o	0.52
o	u	0.163
o	-	0.108
o	w	0.061
o	ɐ	0.057
o	ˈɔ	0.057
ŏ	u	1.0
p	p	0.793
p	ʃ	0.135
p	b	0.072
r	h	0.447
r	-	0.237
r	ɾ	0.236
r	ɦ	0.065
rː	h	0.403
rː	n	0.304
rː	z	0.294
s	s	0.59
s	ʃ	0.315
s	z	0.062
sː	l	0.449
sː	s	0.366
sː	ʃ	0.163
t	t	0.414
t	ʧ	0.288
t	-	0.139
t	d	0.09
tː	d	1.0
u	u	0.843
u	-	0.119
v	k	0.92
v	v	0.08
w	w	0.81
w	-	0.19
z	-	0.432
z	ʃ	0.287
z	j	0.137
z	s	0.059
z	ʒ	0.058
ð	d	0.621
ð	-	0.27
ð	ʤ	0.109
ŋ	-	0.567
ŋ	ẽ	0.374
ŋ	j̃	0.059
ɖ	ʤ	0.681
ɖ	d	0.319
ɖː	l	1.0
ɡ	ʒ	0.523
ɡ	ɡ	0.328
ɡ	-	0.148
ɣ	ɡ	0.404
ɣ	z	0.289
ɣ	s	0.13
ɣ	-	0.068
ɣ	ʃ	0.051
ɲː	j̃	0.856
ɲː	n	0.144
ʃː	j̃	1.0
ʣ	ʎ	0.804
ʣ	-	0.196
ʦ	s	0.843
ʦ	t	0.157
ˈa	ˈa	0.466
ˈa	ˈɐ̃	0.391
ˈe	ˈe	0.37
ˈe	ˈɛ	0.289
ˈe	ˈẽ	0.227
ˈi	ˈĩ	0.322
ˈi	ˈi	0.29
ˈi	ˈe	0.174
ˈi	ˈẽ	0.079
ˈi	e	0.051
ˈo	ˈo	0.49
ˈo	ˈõ	0.216
ˈo	ˈɔ	0.156
ˈu	ˈu	0.44
ˈu	ˈũ	0.169
ˈu	ˈo	0.166
ˈu	ˈõ	0.117
β	b	0.524
β	v	0.437
