North Frisian	Ripuarian	probability
b	b	0.938
b	-	0.062
d	d	0.541
d	t	0.216
d	k	0.078
d	s	0.063
d	p	0.063
dʲ	t	0.77
dʲ	d	0.229
f	f	1.0
h	h	0.945
h	k	0.057
i	ə_ɕ	0.306
i	ɪ	0.306
i	ˈeː	0.202
i	ə	0.136
j	-	0.485
j	ɕ	0.195
j	ɣ	0.126
j	l	0.083
j	j	0.083
k	k	0.642
k	ɕ	0.223
k	x	0.117
l	l	0.967
l_v	l	1.0
lʲ	l_t	0.692
lʲ	l	0.161
lʲ	ɐ	0.067
m	m	1.0
n	n	0.759
n	-	0.095
n	ŋ_k	0.076
n	ŋ	0.065
nʲ	n	0.71
nʲ	ŋ_k	0.278
p	f	0.693
p	p	0.29
r	ʀ	0.512
r	ɐ	0.361
r	-	0.123
r_d	t	0.116
s	z	0.329
s	s	0.299
s	ʃ	0.268
s	t	0.051
t	ʦ	0.257
t	t	0.242
t	-	0.229
t	d	0.181
t	s	0.08
tʲ	s	0.57
tʲ	d	0.272
tʲ	t	0.125
v	ʋ	0.696
v	v	0.225
v	-	0.065
w	ˈʏ	0.392
w	x	0.22
w	ˈœ	0.22
x	x	0.43
x	ɕ	0.42
x	-	0.135
z	s	0.583
z	t	0.136
z	z	0.091
z	ʀ	0.091
ŋ	ŋ	0.803
ŋ	-	0.11
ŋ	ɕ	0.081
ə	ə	0.734
ə	-	0.264
ə_r	ɐ	1.0
ə_v	f	1.0
ɡ	j	1.0
ʃ	ʃ	0.809
ʃ	k	0.107
ʃ	z	0.079
ˈa	ˈe	0.3
ˈa	ˈɪ	0.143
ˈa	ˈa	0.108
ˈa	-	0.106
ˈa	ˈeː	0.08
ˈa	ˈɛː	0.078
ˈa	ˈʏ	0.078
ˈa	ˈɛ	0.058
ˈa_r	ˈɛː	1.0
ˈai̯	ˈe	0.392
ˈai̯	ˈɔʏ̯	0.392
ˈai̯	ˈɪ	0.123
ˈaː	ˈɛ	0.574
ˈaː	ˈe	0.28
ˈeː	ˈɛ	0.248
ˈeː	ˈɛː	0.136
ˈeː	ˈa	0.109
ˈeː	ˈaː	0.103
ˈeː	ˈœ	0.103
ˈeː	ˈɪ	0.103
ˈeː	ˈeː	0.079
ˈeː	ˈoː	0.072
ˈi	ˈiː	0.26
ˈi	ˈɛ	0.213
ˈi	ˈɪ	0.167
ˈi	ˈe	0.084
ˈi	ˈʏ	0.084
ˈi	ˈɛː	0.067
ˈi	ˈa	0.066
ˈi	ˈeɪ̯	0.053
ˈiː	ˈeː	0.484
ˈiː	ˈiː	0.262
ˈiː	ˈeɪ̯	0.101
ˈiː	ˈyː	0.09
ˈiː	ˈøː	0.051
ˈuː	ˈuː	0.307
ˈuː	ˈaʊ̯	0.261
ˈuː	ˈoː	0.233
ˈuː	ˈa	0.159
ˈyː	ˈuː	0.466
ˈyː	ˈoː	0.188
ˈyː	-	0.07
ˈyː	ˈœ	0.07
ˈyː	ˈɔ	0.058
ˈyː	ˈa	0.057
ˈøː	ˈyː	0.461
ˈøː	ˈaʊ̯	0.181
ˈøː	ˈøː	0.126
ˈøː	ˈu	0.116
ˈøː	ˈɛː	0.057
ˈœ	ˈoː	0.342
ˈœ	ˈa	0.254
ˈœ	ˈe	0.087
ˈœ	ˈiː	0.087
ˈœ	ˈo	0.087
ˈœ	ˈʊ	0.069
ˈœ	ˈu	0.067
ˈɒ	ˈa	0.341
ˈɒ	ˈaː	0.322
ˈɒ	ˈeː	0.22
ˈɒ	ˈɛ	0.071
ˈɒː	ˈaː	0.61
ˈɒː	ˈa	0.291
ˈɒː	ˈeː	0.059
ˈɔ	ˈɔ	1.0
ˈɔ_r	ˈoː	1.0
ˈɔi̯	ˈeɪ̯	0.488
ˈɔu̯	ˈoː	0.263
ˈɔu̯	ˈiː	0.147
ˈɔu̯	ˈɔ	0.147
ˈɔu̯	ˈʏ	0.147
ˈɔu̯	ʋ	0.109
ˈɔː	ˈɔ	0.241
ˈɔː	ˈaː	0.227
ˈɔː	ˈɪ	0.125
ˈɔː	ˈu	0.094
ˈɔː	ˈaʊ̯	0.074
ˈɔː	ˈœ	0.074
ˈɔː	ˈɛː	0.073
ˈɔː	ˈa	0.057
ˈɛ	ˈøː	0.74
ˈɛ	ˈɛː	0.133
ˈɛi̯	ˈøː	0.367
ˈɛi̯	ˈoː	0.186
ˈɛi̯	-	0.122
ˈɛi̯	ˈiː	0.122
ˈɛi̯	ˈaː	0.088
ˈɛi̯	ˈɛː	0.088
ˈɛː	ˈɛ	0.388
ˈɛː	ˈɛː	0.287
ˈɛː	ˈoː	0.161
ˈɛː	ˈeː	0.076
ˈʊ	ˈo	0.192
ˈʊ	ˈa	0.187
ˈʊ	ʋ_ˈɔ	0.139
ˈʊ	ˈɛ	0.139
ˈʊ	ˈe	0.08
ˈʊ	ˈœ	0.065
ˈʊ	ˈɛː	0.065
ˈʊ	ˈɪ	0.063
ˈʊ	ˈɔ	0.051
ˈʏ	ˈɛ	0.315
ˈʏ	ˈœ	0.191
ˈʏ	ˈɔ	0.191
ˈʏ	ˈʏ	0.116
