Elfdalian	Elfdalian	probability
ˈʏ	ˈʏ	1.0
ˈʉ̃ːə̯	-	1.0
ˈʉːə̯_ð	ˈuː	1.0
ˈʉː_ɣ	ˈʉː	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɪː_ʉ	ˈiː	1.0
ˈɛː	ˈæɪ̯	1.0
ˈɛ_r	ɾ	1.0
ˈɔ	-	1.0
ˈɑːu̯	ˈʉː	1.0
ˈɑ	ˈɑ	1.0
ˈœː_ð	ˈøː	1.0
ˈœ	ˈɔ	1.0
ˈyœ̯	-	1.0
ʥː	ɡː	1.0
ʥ	j	1.0
ʏ	-	1.0
ʉ	ə	1.0
ɪ_n	i	1.0
ɪ	-	1.0
ɡː	ɡː	1.0
ɡ_#>	#>	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ɔ̃	-	1.0
ɔ	ə	1.0
ɑ̃	ə	1.0
ɑ_#>	#>	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋː	1.0
ð_#>	#>	1.0
w_ˈɛː	ʋ	1.0
tʰ_j	ç	1.0
tʰ	tʰ	1.0
sː	sː	1.0
s_ʨ	ʂ	1.0
s_j	ʂ	1.0
s_#>	s_#>	1.0
s	s	1.0
rː	ɾ	1.0
r_t	ʈː	1.0
r_d	ɾ	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ʉ	ˈʊ	1.0
n_d	nː	1.0
mː	ʋ	1.0
l̥	s_l	1.0
lː	lː	1.0
l_d	lː	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈʉːə̯	ˈyː	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
<#_r	<#_ɾ	1.0
<#_j	<#	1.0
r	ɾ	0.956
ɽ	l	0.923
w	ʋ	0.905
n	n	0.886
t	t	0.867
<#	<#_h	0.867
m	m	0.842
ˈœː	ˈœ	0.8
ˈɑːi̯	ˈiː	0.778
ð	-	0.778
tː	tː	0.778
ˈɪ	ˈɪ	0.75
ˈɛ	ˈɛ	0.75
ˈiːe̯	ˈæɪ̯	0.714
ˈʉ	ˈʉ	0.667
ˈyːœ̯	ˈøː	0.667
nː	nː	0.667
ˈʏː	ˈyː	0.6
v	ʋ	0.6
kː	kː	0.6
ˈʉːə̯	ˈuː	0.583
ˈɔː	ˈoː	0.583
ˈɑː	ˈɑː	0.583
ɛ_r	ə_ɾ	0.583
ˈæ	-	0.571
v_#>	#>	0.571
ˈʉː	ˈʉː	0.5
ˈʉː	-	0.5
ˈɪː	ˈiː	0.5
ˈɔ̃ː	ˈoː	0.5
ˈɔ̃ː	-	0.5
ʨ	ç	0.5
ʨ	k	0.5
ɣ_#>	ɡ_#>	0.5
ɣ_#>	#>	0.5
ɣ	ɡ	0.5
ɣ	j	0.5
ɛ_ɽ	l_ə	0.5
ɛ_ɽ	l	0.5
j	-	0.455
ˈʉə̯	ˈuː	0.444
ŋ	ŋː	0.444
ˈæː	ˈæː	0.429
ˈæ	ˈɛ	0.429
ˈoː	ˈøː	0.429
v_#>	ʋ_#>	0.429
ˈɑː	-	0.417
ˈʏː	-	0.4
v	-	0.4
kː	-	0.4
j	j	0.364
ˈʉə̯	-	0.333
ˈyːœ̯	ˈœ	0.333
ˈo	ˈɔ	0.333
ˈo	ˈɑ	0.333
ˈo	-	0.333
ŋ	ŋ	0.333
nː	ɳ	0.333
ˈɪː	-	0.3
ˈæː	ˈøː	0.286
ˈæː	-	0.286
ˈoː	ˈoː	0.286
ˈoː	h	0.286
ˈiːe̯	ˈeː	0.286
ˈʉːə̯	-	0.25
ˈɪ	-	0.25
ˈɔː	-	0.25
ɛ_r	ɾ	0.25
ˈʉə̯	ˈœ	0.222
ˈɑːi̯	ˈeː	0.222
ŋ	-	0.222
ð	d	0.222
tː	-	0.222
ˈɪː	ˈeː	0.2
ˈœː	ˈœʏ̯	0.2
j	ˈiː	0.182
ˈʉːə̯	ˈyː	0.167
ˈʉ	ˈʏ	0.167
ˈʉ	ˈɔ	0.167
ˈɔː	ˈɑ	0.167
ɛ_r	ə	0.167
m	mː	0.158
t	tː	0.133
<#	<#_ˈɑ	0.133
ˈɛ	ɾ	0.125
ˈɛ	-	0.125
n	nː	0.114
w	-	0.095
ɽ	-	0.077
