Ripuarian	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.469
d	tʰ	0.298
d	-	0.186
d	ç	0.043
d_ɐ	ɾ	1.0
f	f	0.619
f	ʋ	0.182
f	p	0.072
f	-	0.064
f	pʰ	0.044
h	h	1.0
j	ɡ	0.709
j	-	0.2
j	j	0.068
k	kʰ	0.336
k	-	0.198
k	ɡː	0.167
k	d	0.087
k	ç	0.067
k	ɡ	0.06
k	k	0.042
k	h	0.03
k	ʰkː	0.03
l	l	0.867
l	lː	0.08
l	nː	0.037
l	-	0.029
l_t	lː	1.0
l_ə	l	1.0
m	m	0.851
m	m_j	0.063
m	mː	0.048
m	-	0.042
n	n	0.584
n	-	0.218
n	nː	0.14
n	m	0.03
n	ə	0.026
p	-	0.45
p	p	0.327
s	t	0.55
s	s	0.363
s	-	0.053
s	sː	0.04
t	t	0.313
t	-	0.291
t	d	0.2
t	ɾ	0.129
t	ç	0.053
v	ʋ	0.728
v	m	0.115
v	-	0.111
x	ʰtː	0.461
x	ɡ	0.259
x	-	0.149
x	k	0.102
z	s	0.798
z	ʃ	0.183
ŋ	ŋː	0.51
ŋ	-	0.149
ŋ	n	0.127
ŋ	nː	0.098
ŋ	ɲ	0.075
ŋ_k	nː	0.673
ŋ_k	ʰkː	0.303
ɐ	ɾ	0.632
ɐ	e	0.224
ɐ	-	0.062
ɐ	ɛ	0.056
ɐ	lː	0.031
ɕ	ɡ	0.446
ɕ	k	0.232
ɕ	ʰtː	0.13
ɕ	-	0.097
ɕ	ç	0.065
ə	ɑ	0.744
ə	-	0.216
ə	e	0.041
ə_l	l	1.0
ɣ	j	0.723
ɣ	ɡ	0.199
ɪ	ŋ	0.66
ɪ	e	0.151
ʀ	ɾ	0.943
ʀ	-	0.057
ʃ	s	0.834
ʃ	ʃ	0.163
ʋ	ʋ	0.488
ʋ	-	0.404
ʋ	ˈɔ	0.058
ʋ	v	0.049
ʦ	tʰ	0.539
ʦ	t	0.168
ʦ	d	0.097
ʦ	çː	0.075
ʦ	-	0.054
ʦ	ç	0.054
ˈa	ˈɑ	0.63
ˈa	ˈɑː	0.213
ˈa	ˈɪ	0.062
ˈa	ˈɛ	0.051
ˈa	ˈʉː	0.043
ˈaʊ̯	ˈæʉ̯	0.407
ˈaʊ̯	ˈʉː	0.308
ˈaʊ̯	ˈoː	0.268
ˈaː	ˈɑː	0.448
ˈaː	ˈɑ	0.232
ˈaː	ˈɔ	0.105
ˈaː	ˈeː	0.091
ˈaː	ˈæɪ̯	0.091
ˈe	ˈɪ	0.514
ˈe	ˈiː	0.367
ˈe	ˈɛ	0.072
ˈe	ˈʊ	0.035
ˈeɪ̯	ˈeː	0.53
ˈeɪ̯	ə	0.254
ˈeɪ̯	ˈɛ	0.042
ˈeː	ˈæɪ̯	0.255
ˈeː	ˈyː	0.187
ˈeː	ˈʉː	0.121
ˈeː	ˈeː	0.089
ˈeː	ˈiː	0.068
ˈeː	ˈoː	0.068
ˈeː	ˈuː	0.068
ˈeː	ˈæːɪ̯	0.068
ˈeː	ˈɛ	0.056
ˈiː	ˈiː	0.574
ˈiː	ˈøː	0.174
ˈiː	ˈʏ	0.081
ˈiː	ˈoː	0.066
ˈiː	ˈyː	0.063
ˈo	ˈʊ	0.633
ˈo	ˈʏ	0.229
ˈo	ˈʉ	0.091
ˈoː	ˈuː	0.36
ˈoː	ˈoː	0.286
ˈoː	ˈæʉ̯	0.112
ˈoː	ˈʊ_ɾ	0.112
ˈoː	ˈʉː	0.098
ˈoː_d	ˈuː	1.0
ˈoː_t	ˈuː	1.0
ˈu	ˈʉ	0.479
ˈuː	ˈʉː	0.379
ˈuː	ˈæʉ̯	0.196
ˈuː	ˈœʏ̯	0.196
ˈuː	ˈʉ	0.196
ˈuː_t	ˈæʉ̯	1.0
ˈyː	ˈyː	0.32
ˈyː	-	0.153
ˈyː	ˈʊ	0.153
ˈyː	ˈœʏ̯	0.144
ˈyː	ˈɛ	0.06
ˈøː	ˈøː	0.403
ˈøː	ˈyː	0.214
ˈøː	ˈœʏ̯	0.214
ˈøː	ˈoː	0.127
ˈœ	ˈʏ	0.612
ˈœ	ˈɛ	0.182
ˈœ	ˈʉ	0.115
ˈɔ	ˈʉ	0.35
ˈɔ	ˈɔ	0.272
ˈɔ	ˈʊ	0.098
ˈɔ	ˈʏ	0.098
ˈɔ	ˈoː	0.086
ˈɔ	ˈʉː	0.075
ˈɔʏ̯	ˈyː	1.0
ˈɛ	ˈeː	0.23
ˈɛ	ˈɛ	0.2
ˈɛ	ˈʏ	0.112
ˈɛ	-	0.085
ˈɛ	ˈæɪ̯	0.085
ˈɛ	ˈiː	0.066
ˈɛ	j	0.065
ˈɛ	ˈɛː	0.065
ˈɛ	ˈɑ	0.051
ˈɛ	ˈʊ	0.032
ˈɛː	ˈɛ	0.251
ˈɛː	ˈɑ	0.202
ˈɛː	ˈeː	0.186
ˈɛː	ˈɛː	0.107
ˈɛː	ˈæ	0.077
ˈɛː	ˈʉː	0.077
ˈɛː	ˈœ	0.059
ˈɪ	ˈɪ	0.33
ˈɪ	ˈeː	0.185
ˈɪ	ˈʉː	0.099
ˈɪ	ˈɛ	0.096
ˈɪ	ˈʏ	0.096
ˈɪ	ˈiː	0.07
ˈɪ	ˈœ	0.05
ˈʊ	ˈɔ	1.0
ˈʏ	ˈʊ	0.263
ˈʏ	ˈʏ	0.251
ˈʏ	ˈoː	0.166
ˈʏ	ˈiː	0.091
