Bellunese	Bellunese	probability
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo_ɡ	ˈɔ_k	1.0
ˈe_r	ˈi_ɾ	1.0
ˈa	ˈa	1.0
ʧ	cː	1.0
ʤ	-	1.0
ɲ	ɲː	1.0
ɡ_o	k_ʊ	1.0
ŋ_#>	n_ʊ_#>	1.0
w_e	ʊ	1.0
w	w	1.0
u	-	1.0
t_#>	#>	1.0
r_o	ɾ_ʊ	1.0
p_j	c	1.0
p	p	1.0
l_ˈe	l_ˈi	1.0
l_#>	#>	1.0
j_ˈe	ˈɛ	1.0
f_j	ç	1.0
e_r	ɪ_ɾ	1.0
e_#>	ɽ_ɪ_#>	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
ˈɛ	ˈɛ	0.889
ˈi	ˈi	0.889
f	f	0.882
k	k	0.871
v	v	0.857
m	m	0.857
ˈe	ˈi	0.793
b	b	0.786
θ	ɕ	0.714
n	n	0.68
z	ɕ	0.667
j	-	0.667
o	ʊ	0.658
ŋ	n	0.652
t	t	0.645
ˈo	ˈu	0.6
e	ɪ	0.583
ɡ	ɡ	0.571
#>	ɪ_#>	0.566
l	l	0.513
ð	j	0.5
s	s	0.5
r	ɾ	0.473
#>	ʊ_#>	0.434
ɡ	k	0.429
e	i	0.417
l	ɖː	0.359
z	-	0.333
j	ɟː	0.333
i	ɪ	0.333
i	i	0.333
i	-	0.333
d	t	0.333
r	r	0.327
t	tː	0.323
ˈo	ˈɔ	0.3
d	ɾ	0.286
d	d	0.286
ŋ	ŋ	0.261
ð	ʤ	0.25
ð	-	0.25
n	nː	0.24
b	v	0.214
s	ʃ	0.167
o	u	0.158
θ	ʧː	0.143
θ	-	0.143
v	p	0.143
m	mː	0.143
ˈe	ˈɛ	0.138
s	ʃː	0.133
s	sː	0.133
k	kː	0.129
f	-	0.118
ˈɛ	ˈu	0.111
ˈi	-	0.111
o	ɪ	0.105
ˈo	ˈo	0.1
d	-	0.095
ŋ	m_ʊ	0.087
n	-	0.08
o	-	0.079
l	-	0.077
ˈe	ɾ	0.069
s	ʦː	0.067
r	ɪ	0.055
l	ʊ	0.051
