American English	Icelandic	probability
b	b̥	0.96
b	tʰ	0.042
d	d̥	0.52
d	ð	0.324
d	-	0.084
d	ð_a	0.043
d	n	0.028
f	f	0.826
f	v_ʏ	0.11
f	ɡ̊	0.045
f	-	0.027
h	h	0.83
h	ç	0.152
h	-	0.028
i	u	0.33
i	ɑu̯	0.177
i	ɛː	0.177
i	ʏ	0.095
j	ˈu	0.322
j	ˈɑːu̯	0.322
j	ˈʏː	0.173
j	ˈaː	0.059
k	k	0.642
k	ʰk	0.257
k	c	0.089
kʰ	kʰ	0.82
kʰ	cʰ	0.133
l	l	0.806
l	l̥	0.152
l	ˈɔː	0.041
m	m	0.612
m	m_ʏ	0.281
m	-	0.074
m	n̥	0.035
n	n	0.59
n	-	0.152
n	t_n̥	0.1
n	nː	0.074
n	n̥	0.048
oʊ̯	a	0.415
oʊ̯	-	0.194
oʊ̯	ʏ	0.194
p	p	0.419
p	ʰp	0.286
p	p_ʏ	0.14
p	v	0.071
s	s	0.942
s	sː	0.034
s	s_j	0.033
t	t	0.269
t	t_ʏ	0.251
t	ʰt	0.119
t	ʰt_ʏ	0.093
t	t_a	0.075
tʰ	tʰ	1.0
v	v	0.331
v	v_a	0.266
v	f	0.102
v	-	0.094
v	m	0.065
w	v	0.361
w	-	0.163
w	kʰ_v	0.163
w	ˈɔ	0.126
w	ç	0.05
z	s	0.561
z	v	0.425
ð	ð	0.481
ð	ð_ʏ	0.229
ð	nː	0.112
ð	θ	0.112
ŋ	ŋ	0.91
ŋ	ɲ	0.068
ŋ_k	ʰk	1.0
ə	-	0.169
ə	ˈœː	0.169
ə	ʏ	0.091
ə	ˈɛ	0.091
ə	a	0.074
ɚ	r̥	0.5
ɚ	ɪ	0.355
ɚ	a	0.051
ɚ	r	0.046
ɚ	n̥	0.034
ɡ	ɡ̊	0.711
ɡ	ɟ̊	0.149
ɡ	ɡ̊ː	0.129
ɪ	i	0.574
ɪ	ɪ	0.268
ɫ	l	0.527
ɫ	t_l̥	0.212
ɫ	l̥	0.161
ɫ	l̥_ʏ	0.085
ɹ	r	0.832
ɹ	r̥	0.089
ɹ	r_t	0.053
ɹ	-	0.029
ɾ	r	0.354
ɾ	ʰt	0.165
ʃ	s_k	0.519
ʃ	s_c	0.451
ʤ	ɟ̊ː	0.5
ʤ	ɡ̊ː	0.5
ʧ	cʰ	0.594
ʧ	c	0.297
ʧ	k	0.059
ˈaɪ̯	ˈiː	0.452
ˈaɪ̯	ˈɪ	0.086
ˈaɪ̯	j_ˈɛ	0.075
ˈaɪ̯	ˈuː	0.075
ˈaɪ̯	ˈʏː	0.075
ˈaʊ̯	ˈuː	0.481
ˈaʊ̯	ˈʏ	0.224
ˈaʊ̯	ˈʏ_ɡ̊	0.148
ˈaʊ̯	ˈiː_r̥	0.129
ˈeɪ̯	ˈaː	0.433
ˈeɪ̯	ˈɑu̯	0.114
ˈeɪ̯	ˈa	0.1
ˈeɪ̯	ˈaːu̯	0.083
ˈeɪ̯	ˈœ	0.083
ˈi	ˈɑːu̯	0.117
ˈi	j_ˈoːu̯	0.104
ˈi	ˈœːy̯	0.101
ˈi	j_ˈɛː	0.091
ˈi	ˈiː	0.089
ˈoʊ̯	ˈɛːi̯	0.152
ˈoʊ̯	ˈou̯	0.097
ˈoʊ̯	ˈɑːu̯	0.097
ˈoʊ̯	ˈɛː	0.097
ˈoʊ̯	ˈʏ	0.097
ˈu	ˈoːu̯	0.245
ˈu	ˈɑːu̯	0.141
ˈu	ˈɔu̯	0.141
ˈu	ˈaːi̯	0.097
ˈu	ˈiː	0.097
ˈæ	ˈa	0.321
ˈæ	ˈaː	0.273
ˈæ	ˈɛ	0.176
ˈæ	ˈœ	0.101
ˈæ	ˈɑu̯	0.073
ˈɑ	ˈa	0.427
ˈɑ	ˈaː	0.097
ˈɑ	ˈɑu̯	0.097
ˈɑ	ˈɔu̯	0.097
ˈɑ	ˈɪ	0.097
ˈɔ	ˈɔ	0.396
ˈɔ	ˈɛ	0.194
ˈɔ	ˈa	0.129
ˈɔ	ˈɪ	0.128
ˈɔ	ˈoːu̯	0.088
ˈɛ	ˈɛ	0.161
ˈɛ	j	0.156
ˈɛ	ˈœːy̯	0.132
ˈɛ	ˈɛː	0.122
ˈɛ	ˈœː	0.079
ˈɝ	r	0.488
ˈɝ	ˈɪ	0.322
ˈɝ	ˈœ	0.101
ˈɪ	ˈɪ	0.237
ˈɪ	ˈɪː	0.172
ˈɪ	ˈi	0.141
ˈɪ	ˈiː	0.107
ˈɪ	ˈɛ	0.069
ˈʊ	ˈoːu̯	0.484
ˈʊ	ˈʏ_t	0.138
ˈʊ	ˈu	0.13
ˈʊ	ˈʏ	0.13
ˈʌ	ˈoːu̯	0.248
ˈʌ	ˈu	0.156
ˈʌ	-	0.09
ˈʌ	ˈaː	0.09
ˈʌ	ˈɔ	0.089
θ	θ	0.593
θ	nː	0.139
θ	ð_ʏ	0.139
θ	ð	0.09
