Icelandic	Gothic	probability
a	a_n	0.528
a	oː	0.29
a	-	0.072
a	θ_a	0.044
a	aː	0.043
b̥	b	1.0
c	k	1.0
d̥	d	0.934
d̥	t	0.069
f	f	1.0
h	h	1.0
j	-	0.333
j	ˈɛ	0.206
j	ˈi	0.122
j	j	0.122
j	ˈɛː	0.122
j_ˈœ	ˈɛ	1.0
j_ˈɛː	ˈiu̯	0.509
k	k	0.686
k	ɡ	0.14
k	h	0.127
kʰ	k	0.625
kʰ	ʍ	0.266
kʰ	kʷ	0.086
l	l	0.751
l	l_a	0.118
l	l_s	0.074
l	-	0.059
l̥	l	0.544
l̥	h_l	0.231
l̥	l_s	0.201
m	m	1.0
n	n	1.0
nː	nː	0.303
nː	n	0.263
nː	n_θ	0.263
nː	n_s	0.122
n̥	n	0.495
n̥	n_s	0.175
n̥	oː	0.137
n̥	-	0.12
p	p	0.725
p	m	0.164
p	h	0.067
r	r	0.726
r	-	0.154
r	j	0.065
r	z	0.055
r_j	r	1.0
r_t	r	1.0
r̥	s	0.472
r̥	r	0.453
r̥	-	0.069
s	s	0.965
s	z	0.041
t	t	0.746
t	-	0.175
t	n	0.061
t_j	t	0.509
t_l̥	lː	0.641
t_l̥	l	0.351
tʰ	t	1.0
u	ˈɔː	0.517
u	j	0.134
u	ˈi	0.134
v	w	0.474
v	β	0.161
v	-	0.152
v	f	0.113
v	b	0.056
v_ʏ	f	1.0
x	k	1.0
ç	h	1.0
ð	θ	0.566
ð	ð	0.121
ð	-	0.116
ð	ɡ	0.08
ð	nː	0.067
ŋ	ŋ	0.703
ŋ	h	0.286
ɛ	i	1.0
ɟ̊	ɡ	0.758
ɟ̊	ɡʷ	0.188
ɡ̊	ɡ	0.711
ɡ̊	-	0.123
ɡ̊	x	0.081
ɡ̊	ɡːʷ	0.081
ɡ̊ː	d	1.0
ɣ	ɣ	0.488
ɣ	ɡ	0.216
ɣ	x	0.137
ɪ	a	0.636
ɪ	-	0.163
ɪ	oː	0.124
ɪ	e	0.07
ɲ	ŋ	0.509
ʏ	u	0.471
ʏ	-	0.191
ʏ	i	0.09
ʏ	a	0.089
ʏ	oː	0.083
ʏ_r̥	s	0.971
ʏ_r̥	r	0.042
ʰk	k	1.0
ʰp	p	1.0
ʰt	h_t	0.663
ʰt	t	0.205
ˈa	ˈa	0.887
ˈa	-	0.07
ˈa	ˈɛ	0.053
ˈai̯	j	0.509
ˈaː	ˈa	0.806
ˈaː	-	0.18
ˈaːi̯	ˈa	1.0
ˈaːu̯	a	0.509
ˈeːi̯	ˈɛː	1.0
ˈi	ˈi	0.468
ˈi	ˈiː	0.154
ˈi	ˈu	0.154
ˈi	ˈiu̯	0.108
ˈiː	ˈiː	0.534
ˈiː	ˈiu̯	0.338
ˈiː	-	0.122
ˈou̯	w	1.0
ˈoːu̯	ˈoː	0.488
ˈoːu̯	w	0.302
ˈoːu̯	ˈu	0.118
ˈoːu̯	-	0.086
ˈu	ˈu	0.574
ˈu	ˈuː	0.193
ˈu	ˈɛː	0.113
ˈuː	ˈuː	0.815
ˈuː	ˈiu̯	0.154
ˈœ	ˈa	0.784
ˈœ	ˈu	0.134
ˈœː	ˈɛː	0.45
ˈœː	ˈɔ	0.229
ˈœː	u	0.134
ˈœːy̯	ˈɔː	0.654
ˈœːy̯	ˈɔ	0.32
ˈɑu̯	ˈa	1.0
ˈɑːu̯	ˈeː	0.336
ˈɑːu̯	ˈɔː	0.304
ˈɑːu̯	ʍ	0.13
ˈɔ	ˈɔ	0.348
ˈɔ	w_ˈɔ	0.263
ˈɔ	ˈeː	0.2
ˈɔ	ˈi	0.089
ˈɔ	ˈɔː	0.065
ˈɔu̯	ˈa	0.297
ˈɔu̯	ˈoː	0.297
ˈɔu̯	ˈi	0.188
ˈɔu̯	ˈɔː	0.12
ˈɔː	ˈeː	0.226
ˈɔː	ˈu	0.115
ˈɛ	ˈa	0.288
ˈɛ	ˈɛ	0.266
ˈɛ	ˈɛː	0.245
ˈɛ	ˈi	0.186
ˈɛi̯	ˈɛː	0.509
ˈɛː	ˈi	0.372
ˈɛː	ˈeː	0.182
ˈɛː	ˈiu̯	0.182
ˈɛː	ˈa	0.132
ˈɛː	ˈiː	0.086
ˈɛːi̯	ˈɔː_s	0.392
ˈɛːi̯	ˈɛː	0.392
ˈɛːi̯	ˈɔː	0.134
ˈɪ	ˈi	1.0
ˈɪː	ˈi	1.0
ˈʏ	ˈu	1.0
ˈʏː	ˈu	0.386
ˈʏː	ˈoː	0.197
θ	θ	1.0
