North Frisian	Westphalian	probability
b	b	0.958
d	d	0.639
d	t	0.179
d	-	0.13
dʲ	d	0.815
dʲ	t	0.148
f	f	1.0
h	h	0.983
i	ɪ	0.752
i	-	0.18
j	-	0.266
j	x	0.169
j	j	0.13
j	l	0.097
j	ç	0.094
j	r	0.091
j	ɡ	0.066
j_ə	ɡ	1.0
k	k	0.854
k	-	0.09
k	x	0.052
l	l	0.96
lʲ	l_t	0.594
lʲ	l	0.392
m	m	1.0
n	n	0.925
n	-	0.052
nʲ	n	0.564
nʲ	n_d	0.428
p	p	0.859
p	b	0.14
r	r	0.401
r	-	0.339
r	ɐ	0.219
r_s	s	0.491
r_t	t	1.0
s	s	0.629
s	ʃ	0.311
t	t	0.7
t	d	0.161
t	-	0.116
tʲ	t	0.687
tʲ	d	0.307
v	w	0.587
v	v	0.242
v_ə	f	0.241
w	ɣ	1.0
x	x	0.59
x	ç	0.381
z	z	0.392
z	t	0.297
z	s	0.225
z	d	0.058
ŋ	ŋ	0.801
ŋ	ç	0.091
ŋ	n	0.056
ŋ	-	0.055
ə	n	0.363
ə	-	0.307
ə	ɐ	0.253
ə	ə	0.072
ə_v	f	1.0
ɡ	x	1.0
ʃ	ʃ_k	0.407
ʃ	ʃ	0.375
ʃ	k	0.112
ʃ	s	0.074
ˈa	ˈɪ	0.284
ˈa	ˈa	0.194
ˈa	ˈɛ	0.169
ˈa	ˈɛː	0.144
ˈa	ˈɪɛ̯	0.085
ˈa	ˈʏ	0.066
ˈai̯	ˈɪ	0.53
ˈai̯	ˈiː	0.186
ˈai̯	ˈeː	0.172
ˈaː	ˈɪ	0.45
ˈaː	ˈuːə̯	0.221
ˈaː	ˈiə̯	0.125
ˈeː	ˈɛ	0.274
ˈeː	ˈa	0.252
ˈeː	ˈiː	0.187
ˈeː	ˈɔː	0.099
ˈeː	ˈɪə̯	0.077
ˈeː	ˈiɛ̯	0.057
ˈi	ˈiː	0.568
ˈi	ˈɪ	0.368
ˈi	ˈɪɛ̯	0.063
ˈiː	ˈaɪ̯	0.437
ˈiː	ˈiː	0.203
ˈiː	ˈeː	0.167
ˈuː	ˈaʊ̯	0.577
ˈuː	w	0.15
ˈuː	ˈuː	0.099
ˈuː	ˈa	0.075
ˈuː	ˈɔː	0.075
ˈyː	ˈaʊ̯	0.25
ˈyː	ˈuː	0.225
ˈyː	ˈʊ	0.149
ˈyː	ˈɔ	0.079
ˈyː	ˈɔː	0.065
ˈyː	ˈiː	0.061
ˈyː	ˈɪə̯	0.061
ˈyː	ˈø	0.054
ˈyː	ˈoː	0.05
ˈøː	ˈuə̯	0.263
ˈøː	ˈyː	0.225
ˈøː	ˈuː	0.17
ˈøː	ˈɪɛ̯	0.148
ˈœ	ˈa	0.358
ˈœ	ˈoː	0.221
ˈœ	ˈɔ	0.087
ˈœ	ˈuə̯	0.069
ˈœ	ˈɪɛ̯	0.069
ˈœ	ˈʏ	0.069
ˈœ	ˈɪ	0.067
ˈœ	ˈuːə̯	0.058
ˈɒ	ˈa	0.474
ˈɒ	ˈeː	0.141
ˈɒ	ˈaː	0.105
ˈɒ	ˈɛ	0.099
ˈɒ	ˈɔ	0.072
ˈɒ	ˈɪ	0.069
ˈɒː	ˈa	0.4
ˈɒː	ˈaː	0.296
ˈɒː	ˈɒː	0.157
ˈɒː	ˈeː	0.11
ˈɔ	ˈœː	0.66
ˈɔ	ˈuːə̯	0.159
ˈɔi̯	ˈaɪ̯	0.491
ˈɔu̯	ˈeː	0.219
ˈɔu̯	ˈoː	0.219
ˈɔu̯	ˈyːœ̯	0.219
ˈɔu̯	ˈɔː	0.219
ˈɔu̯	ˈɛ	0.092
ˈɔː	ˈɪə̯	0.197
ˈɔː	ˈɔ	0.186
ˈɔː	ˈa	0.149
ˈɔː	ˈyə̯	0.098
ˈɔː	ˈɛː	0.098
ˈɔː	ˈɪɛ̯	0.098
ˈɔː	ˈuːə̯	0.077
ˈɔː	ˈɔː	0.075
ˈɛ	ˈøː	0.45
ˈɛ	ˈɪ	0.297
ˈɛ	ˈɪɛ̯	0.182
ˈɛi̯	ˈɔː	0.396
ˈɛi̯	ˈøː	0.23
ˈɛi̯	ˈa	0.174
ˈɛi̯	ˈɛ	0.096
ˈɛi̯	ˈaɪ̯	0.071
ˈɛː	ˈɪɛ̯	0.485
ˈɛː	ˈɔː	0.251
ˈɛː	ˈeː	0.144
ˈɛː	ˈaː	0.101
ˈʊ	ˈʊ	0.307
ˈʊ	ˈɪ	0.182
ˈʊ	ˈa	0.124
ˈʊ	ˈɛ	0.108
ˈʊ	w_ˈʊ	0.098
ˈʊ	ˈaː	0.06
ˈʊ	ˈʏ	0.056
ˈʏ	ˈyː	0.594
ˈʏ	ˈʏ	0.392
