Saterland Frisian	Pennsylvania German	probability
a	ə	0.5
a	ˈiː	0.5
b	b	0.914
b	-	0.053
d	t	0.502
d	d	0.391
d	-	0.083
f	f	0.941
f	p	0.059
f_j	f	0.494
h	h	1.0
j	j	0.34
j	ɡ	0.329
j	ˈeː	0.143
j	-	0.124
j_ə	ə	1.0
j_ˈuː	ˈaɪ̯	0.494
j_ˈʊ	ˈɪ	1.0
k	k	0.294
k	kʰ	0.258
k	ç	0.125
k	x	0.115
k	ɪ_ç	0.115
l	l	0.978
m	m	1.0
n	n	0.757
n	-	0.218
p	f	0.678
p	p	0.254
p	p͡f	0.064
r	ɾ	0.745
r	ɑ	0.136
r	d_ɑ	0.081
r_j	ɾ	1.0
r_ə	ɑ	0.494
s	s	0.502
s	ʃ	0.441
s	kʰ	0.055
s_k	ʃ	1.0
t	t	0.37
t	s	0.285
t	d	0.144
t	ʦ	0.143
v	ʋ	0.764
v	v	0.148
w	f	0.361
w	ʋ	0.361
w	v	0.205
x	ç	0.449
x	x	0.255
x	k	0.158
x	f	0.062
x	p	0.054
z	s	0.805
z	ɾ	0.156
ŋ	ŋ	1.0
ə	-	0.533
ə	ə	0.435
ə_r	ɑ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	0.491
ɣ	-	0.176
ɣ	k	0.13
ɣ	ɣ	0.099
ɣ	f	0.064
ɪ	ɪ	0.78
ɪ	-	0.219
ɫ	l	0.494
ˈa	ˈa	0.644
ˈa	ˈɛ	0.241
ˈaː	ˈa	0.538
ˈaː	ˈeː	0.208
ˈaː	ˈɛː	0.144
ˈaːi̯	ˈɔː	0.425
ˈaːi̯	ˈa	0.241
ˈaːi̯	ˈeː	0.137
ˈaːu̯	ˈɔː	0.574
ˈaːu̯	ˈiː	0.284
ˈeː	ˈeː	0.769
ˈeː	ˈɛ	0.158
ˈeː	ˈɔː	0.065
ˈeːu̯	ˈɛ	1.0
ˈi	ˈaɪ̯	0.408
ˈi	ˈɛ	0.215
ˈi	ˈɪ	0.163
ˈi	-	0.107
ˈi	ˈiː	0.08
ˈiː	ˈɪ	0.358
ˈiː	ˈɛː	0.21
ˈiː	ˈaɪ̯	0.16
ˈiː	ˈɔː	0.094
ˈiː	ˈaː	0.07
ˈiː	ˈiː	0.067
ˈiːu̯	ˈɛ	1.0
ˈoː	ˈɔː	0.27
ˈoː	ˈoː	0.264
ˈoː	ˈa	0.111
ˈoː	ə	0.075
ˈoː	ˈiː	0.073
ˈoːu̯	ˈa	0.384
ˈoːu̯	ˈuː	0.233
ˈoːu̯	ˈɔ	0.181
ˈoːu̯	ˈaː	0.077
ˈoːu̯	ˈoː	0.058
ˈoːu̯	ˈʊ	0.058
ˈu	ˈuː	0.284
ˈu	ˈʊ	0.161
ˈu	ˈaʊ̯	0.105
ˈuː	ˈʊ	0.299
ˈuː	ˈaʊ̯	0.271
ˈuː	ˈuː	0.144
ˈuː	ˈaɪ̯	0.113
ˈuː	ˈoː	0.072
ˈyː	ˈaɪ̯	1.0
ˈœː	ˈeː	1.0
ˈɔ	ˈɔ	0.279
ˈɔ	ˈa	0.18
ˈɔ	ˈaː	0.136
ˈɔ	ˈɛ	0.136
ˈɔ	ˈɪ	0.136
ˈɔ	ˈʊ	0.1
ˈɔː	ˈa	0.538
ˈɔː	ˈɔː	0.122
ˈɔː	ˈɛː	0.081
ˈɔː	ˈɛ	0.07
ˈɔː	ˈaː	0.058
ˈɔːɪ̯	ˈɔɪ̯	0.494
ˈɛ	ˈa	0.262
ˈɛ	ˈoː	0.173
ˈɛ	ˈaɪ̯	0.122
ˈɛ	ˈɛ	0.122
ˈɛ	ˈɔː	0.118
ˈɛ	ˈɛː	0.118
ˈɛɪ̯	ˈiː	0.305
ˈɛɪ̯	ˈaɪ̯	0.188
ˈɛɪ̯	ˈoː	0.188
ˈɛɪ̯	ˈeː	0.097
ˈɛɪ̯	ˈɛ	0.074
ˈɛɪ̯	ˈɛː	0.074
ˈɛɪ̯	ˈaʊ̯	0.061
ˈɛː	ˈɪ	0.32
ˈɛː	ˈaː	0.136
ˈɛː	ˈɔː	0.136
ˈɛː	ˈɛː	0.136
ˈɛː	ˈɛ	0.099
ˈɛː	-	0.096
ˈɛː	ˈʊ	0.053
ˈɪ	ˈɪ	0.721
ˈɪ	ˈa	0.201
ˈɪ	ˈaɪ̯	0.075
ˈʊ	ˈʊ	0.424
ˈʊ	ˈɔ	0.215
ˈʊ	ˈɛ	0.21
ˈʊ	ˈɪ	0.071
ˈʊ	ˈaː	0.05
