West Frisian	Luxembourgish	probability
ˈɪə̯_n	ˈɜɪ̯	1.0
ˈɛ_j	ˈɑɪ̯	1.0
ˈɔː	ˈɑ	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈə	1.0
ˈø	-	1.0
ˈyː_t	s	1.0
ˈy	-	1.0
ˈu̯o	ˈɜɪ̯	1.0
ˈoə̯_n	ˈaː_ʀ	1.0
ˈiə̯_n	ˈe_ŋ	1.0
ˈi_t	s	1.0
ˈi_l	ˈə_l	1.0
ˈai̯	ˈaː	1.0
ɪ	e	1.0
ɡ	ɡ	1.0
ə_r	ɐ	1.0
ɕ	z	1.0
v_ə	ə_f	1.0
v	w	1.0
s_ˈɪ	z	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_m	m	1.0
m	m	1.0
k_ə	χ	1.0
j_ˈɪ	ˈɜɪ̯	1.0
j_ˈuə̯	ˈɑɪ̯	1.0
h	h	1.0
b	b	1.0
ʋ	v	0.919
d	d	0.846
l	l	0.844
ŋ	ŋ	0.84
f	f	0.823
d̥	d̥	0.789
n	n	0.767
ˈɔ	ˈo	0.734
χ	ɕ	0.703
n_ə	n_ə	0.701
z	ə	0.657
j	-	0.657
ɣ	-	0.644
ˈeː	ˈi	0.634
s	ʃ	0.628
ˈoː	ˈu	0.593
ˈɛː	ˈaː	0.589
ˈuə̯	ˈu	0.54
ˈi	ˈæːɪ̯	0.53
ʦ	-	0.517
ˈu	ˈɔ	0.508
k	k	0.505
ˈɛi̯	ˈeː	0.5
ˈɛi̯	-	0.5
j_ˈɔ	ˈiː	0.5
j_ˈɔ	ˈe	0.5
ˈu	-	0.492
r	ɐ	0.49
ˈa	ˈaː	0.444
p	f	0.444
ˈoə̯	ˈəʊ̯	0.433
ə	ə	0.411
ˈoː	-	0.407
ˈiː	ˈɑ	0.397
r	ʀ	0.394
s	z	0.372
ˈeː	ˈɜɪ̯	0.366
ɣ	ʑ	0.356
p	p	0.35
z	-	0.343
t	t	0.342
t	ʦ	0.336
ˈoə̯	ˈuː	0.332
k	ɕ	0.331
ˈɪ	-	0.327
ˈɪ	ˈə	0.32
ˈiə̯	ˈɜɪ̯	0.319
ˈɪə̯	ˈaː	0.311
t	s	0.306
ˈiː	ˈæːɪ̯	0.301
ˈiː	-	0.301
ˈaː	ˈaː	0.301
n_ə	n_d̥	0.299
ˈuə̯	-	0.298
ˈiə̯	ˈeː	0.291
ə	n	0.288
ˈi	ˈɑ	0.286
ə	-	0.272
ˈuː	ˈɑɪ̯	0.271
ˈuː	ˈæːʊ̯	0.268
ˈɔ	-	0.266
ˈuː	ˈo_n	0.259
ˈɪə̯	-	0.255
ˈɛ	-	0.254
ˈiə̯	ˈoː	0.249
ˈɛ	ˈæːɪ̯	0.245
ʦ	kʰ	0.242
ʦ	d	0.242
ˈaː	ˈɑ	0.24
ˈaː	ˈoː	0.24
j	ə	0.238
ˈa	-	0.236
ˈoə̯	-	0.235
ˈaː	ˈeː	0.22
ˈɛ	ˈiː	0.216
d̥	t	0.211
ˈɛː	ˈe	0.205
ˈɛː	-	0.205
p	pʰ	0.205
ˈuː	-	0.201
ˈɛ	ˈaː	0.197
ˈa	ˈɑ	0.195
ˈɪ	ˈɑ	0.19
ˈi	-	0.184
f	v̥	0.177
k	χ	0.164
ˈuə̯	ˈəʊ̯	0.162
ŋ	-	0.16
d	-	0.154
χ	k	0.15
χ	-	0.148
n	n_d̥	0.136
ˈɪə̯	ˈɜɪ̯	0.128
ˈa	ˈuə̯	0.125
ˈɪ	ˈe	0.12
j	ˈɜɪ̯	0.105
ˈɪə̯	ˈəʊ̯_d̥	0.096
ˈɛ	ˈɛ	0.089
ˈɪə̯	ˈəʊ̯	0.087
l	ə_v̥	0.084
ʋ	v_ˈo	0.081
n	ŋ	0.072
l	ˈə_l	0.071
ˈiə̯	ˈi	0.07
ˈiə̯	-	0.07
r	ˈiː_ɐ	0.064
ˈɪə̯	ˈɑ_l	0.061
ˈɪə̯	ˈeː	0.061
r	-	0.052
