West Frisian	North Frisian	probability
χ	x	1.0
ˈɪə̯_#>	ˈyː_dʲ_#>	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈɛi̯_#>	ˈɛi̯_#>	1.0
ˈɔː_n_#>	ˈœ_nʲ_#>	1.0
ˈy	ˈœ	1.0
ˈuə̯_d̥_#>	ˈœ_dʲ_#>	1.0
ˈu_n	ˈʊ_n	1.0
ˈoː_#>	ˈyː_#>	1.0
ˈiə̯_n_#>	ˈiː_nʲ_#>	1.0
ˈi_#>	ˈeː_#>	1.0
ˈi	ˈi	1.0
ɣ_j	j	1.0
ə_#>	ə_#>	1.0
ŋ_ə	ŋ_ə	1.0
ŋ_#>	ŋ_#>	1.0
v_ə	v_ə	1.0
v	v	1.0
t_ə	t_ə	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_ˈɛ	r	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ɪ	n_i	1.0
n_#>	n_#>	1.0
m_ə	m_ə	1.0
m_#>	m_#>	1.0
l_ə_#>	l_#>	1.0
l_#>	l_#>	1.0
k_ˈi	ʃ_ˈi	1.0
k_ə	k_ə	1.0
k_j	k	1.0
k_#>	k_#>	1.0
k	ʃ	1.0
j_ˈɪ	ˈiː	1.0
d̥	lʲ	1.0
d_ə	ə	1.0
<#_ˈɪə̯	<#_ˈuː	1.0
<#_ˈyː	<#_ˈyː	1.0
<#_ˈaː	<#_ˈɒː	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
<#_ʋ	<#_v	0.905
<#_d	<#_d	0.882
r_#>	r_#>	0.846
<#_l	<#_l	0.833
d̥_#>	d_#>	0.8
<#_s	<#_s	0.795
l	l	0.778
t_#>	t_#>	0.773
ˈɔ	ˈʊ	0.667
f_#>	f_#>	0.667
<#_j	<#_j	0.667
ˈiː	ˈi	0.625
#>	ə_#>	0.625
n	n	0.619
ˈɛ	ˈeː	0.6
z	z	0.6
ˈuː	ˈyː	0.583
ˈɪ	ˈa	0.579
ˈiə̯	ˈiː	0.562
ˈɪə̯	ˈuː	0.538
ˈoə̯	ˈɔ_r	0.5
ˈeː	ˈiː_ə	0.5
ˈeː	ˈi	0.5
ˈaː	ˈɛː	0.5
ˈaː	-	0.5
ɣ	w	0.5
ɣ	-	0.5
ə	ə	0.5
ə	-	0.5
d	dʲ	0.5
d	d	0.5
<#_ʦ	<#_t	0.5
<#_ʦ	<#	0.5
t	t	0.471
j	-	0.467
χ_#>	j_#>	0.429
ˈa	ˈɒ	0.412
ˈɛ	-	0.4
z	d	0.4
ˈiː	ˈiː	0.375
#>	n_#>	0.375
ˈɔ	ˈɔː	0.333
ˈuə̯	ˈœ	0.333
j	ˈiː	0.333
f_#>	v_#>	0.333
<#_j	<#	0.333
ˈiə̯	ˈɛi̯	0.312
ˈɪə̯	ˈiː	0.308
ˈoə̯	ˈɔu̯	0.3
χ_#>	w_#>	0.286
χ_#>	i_#>	0.286
ˈɛː	ˈɒː	0.25
ˈɛː	ˈeː	0.25
ˈɛː	ˈa_r	0.25
ˈɛː	j_ˈa_r	0.25
ˈuː	ˈøː	0.25
t	d	0.235
t_#>	tʲ_#>	0.227
ˈuə̯	ˈɔu̯	0.222
ˈuə̯	ˈœi̯_f	0.222
ˈuə̯	ˈøː	0.222
ˈɪ	ˈeː	0.211
<#_s	<#	0.205
ˈoə̯	r	0.2
j	j	0.2
d̥_#>	#>	0.2
n	-	0.19
ˈa	ˈɔː	0.176
ˈa	ˈɒː	0.176
t	tʲ	0.176
ˈuː	ˈuː	0.167
<#_l	<#	0.167
ˈɪə̯	ˈyː_dʲ	0.154
r_#>	d_ə_r_#>	0.154
l	l_ə	0.148
ˈiə̯	ˈɛ	0.125
ˈa	ˈʊ	0.118
ˈa	ˈa	0.118
t	z	0.118
<#_d	<#	0.118
ˈɪ	ˈi	0.105
ˈɪ	ˈaː	0.105
n	ŋ	0.095
n	nʲ	0.095
<#_ʋ	<#	0.095
l	lʲ	0.074
