Palatine German	Palatine German	probability
β_ə	m	1.0
ˈɛ_ɐ	ˈɘ	1.0
ˈɑ̃ː	ˈoː	1.0
ˈɑ̃ɪ̯	ˈaɪ̯	1.0
ˈɑːɪ̯	ˈɛː	1.0
ˈɑː_d̥	ˈoː_d̥	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈuː	1.0
ˈoː_n	ˈoː_n	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈiː_n	1.0
ˈiː	ˈiː	1.0
ˈi	ˈiː	1.0
ˈẽː	ˈeː	1.0
ˈau̯̯	ˈaʊ̯	1.0
ˈau̯	ˈaʊ̯	1.0
ʣ̥	ʦ	1.0
ʃ_d̥	s_d̥	1.0
ə_#>	#>	1.0
ɑ	a	1.0
ɐ_d̥	ɐ_d̥	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
s_ə	z̥_n	1.0
s_ɐ	z̥_ɐ	1.0
s	s	1.0
r_ə	ɐ_n	1.0
pʰ	b̥͡v̥	1.0
n_ʃ	n_ʃ	1.0
n_ɐ	n_ɐ	1.0
m	m	1.0
l	l	1.0
kʰ	ɡ̊	1.0
h	h	1.0
eː	eː	1.0
d̥_ɐ	d̥_ɐ	1.0
d̥	d̥	1.0
<#	<#_ˈɒ	1.0
f	f	0.949
β	v	0.939
ˈaɪ̯	ˈaɪ̯	0.913
n	n	0.909
ˈɛ	ˈɛ	0.875
ˈɑ	ˈɒ	0.867
r	r	0.844
ˈɪ	ˈɪ	0.839
ˈɔ	ˈɔ	0.833
ˈu	ˈʊ	0.833
b̥	b̥	0.828
ɡ̊	ɡ̊	0.786
ɪ	-	0.75
x	x	0.714
ʃ	ʃ	0.627
ˈoː	ˈuː	0.6
j	ŋ	0.6
ˈɛː	ˈaː	0.533
ˈɑː	ˈaː	0.471
ə	n	0.44
ˈɑː	ˈoː	0.412
ˈoː	ˈoː	0.4
ə	a	0.4
j	j	0.4
ˈeː	ˈiː	0.25
ˈeː	ˈeː	0.25
ˈeː	ˈaː	0.25
ˈeː	-	0.25
ɪ	ɪ	0.25
ʃ	ç	0.235
ˈɛː	ˈɛː	0.2
ˈɔ	ˈʊ	0.167
ˈu	-	0.167
ˈɪ	ˈiː	0.161
r	ɾ	0.156
ɡ̊	ɡ̊_n	0.143
x	ɣ̊	0.143
x	-	0.143
ˈɛː	ˈɛ	0.133
ˈɛː	-	0.133
ˈɛ	ˈeː	0.125
ə	ŋ	0.12
ˈɑː	ˈɒ	0.118
b̥	b̥͡v̥	0.103
ʃ	-	0.098
n	-	0.091
ˈaɪ̯	-	0.087
ɡ̊	x	0.071
b̥	-	0.069
ˈɑ	-	0.067
β	β	0.061
f	v̥	0.051
