Gothic	Yiddish	probability
#>	#>	0.974
<#	<#	1.0
<#_h	<#	1.0
a	ə	0.546
a	-	0.398
a	ɪ	0.063
a_#>	#>	1.0
aː	-	0.521
b	b	0.92
b	-	0.079
d	t	0.784
d	d	0.204
d_s	t	1.0
e	ə	1.0
f	f	0.906
f	b	0.093
h	h	0.532
h	χ	0.24
h	-	0.103
h	ŋ	0.071
h	k	0.057
i	-	0.859
i	ə	0.109
i_f	f	1.0
iː	-	1.0
j	-	0.457
j	j	0.237
j	ʀ	0.179
j	ˈaɪ̯	0.096
k	k	0.48
k	χ	0.391
k	-	0.084
k	d	0.057
k_s	ʃ	0.521
l	l	1.0
lː	l	1.0
m	m	0.908
m	n	0.091
m_s	m	1.0
n	n	0.918
n	-	0.08
nː	n	1.0
oː	ə	0.514
oː	-	0.289
oː	ɛ	0.15
oː_#>	#>	1.0
p	p	0.574
p	f	0.299
p_a	f	1.0
p_s	f	1.0
r	ʀ	0.985
s	-	0.664
s	z	0.165
s	ʃ	0.11
s_k	ʃ	1.0
t	ʦ	0.492
t	t	0.255
t	s	0.173
t	d	0.056
t_a	s	1.0
t_s	t	1.0
u	-	1.0
w	v	0.844
w	-	0.149
x	ɡ	0.395
x	k	0.206
z	ʀ	0.236
z	ʃ	0.123
ð	t	0.356
ð	-	0.235
ŋ	ŋ	0.922
ŋ	n	0.072
ɔː	-	1.0
ɡ	ɡ	0.918
ɡ	-	0.079
ɡʷ	ɡ	0.271
ɣ	k	0.5
ɣ	ɡ	0.5
ʍ	v	0.561
ʍ	-	0.425
ˈa	ˈa	0.583
ˈa	ˈɔ	0.224
ˈa	ˈɛ	0.164
ˈeː	ˈɔ	1.0
ˈi	ˈɪ	0.763
ˈi	ˈɛ	0.143
ˈi	ɪ	0.054
ˈiu̯	ˈaɪ̯	0.579
ˈiu̯	ˈɪ	0.418
ˈiː	ˈaɪ̯	1.0
ˈoː	ˈʊ	1.0
ˈu	ˈʊ	0.396
ˈu	ˈɔ	0.301
ˈu	ˈɔɪ̯	0.133
ˈu	ˈi	0.076
ˈu	ˈɛ	0.076
ˈuː	ˈɔɪ̯	0.641
ˈuː	ˈʊ	0.351
ˈɔ	ˈɔ	0.484
ˈɔ	ˈɔɪ̯	0.432
ˈɔː	ˈɔɪ̯	0.697
ˈɔː	ˈɛ	0.135
ˈɔː	ˈɔ	0.082
ˈɔː	ˈɛɪ̯	0.082
ˈɛ	ˈɛ	0.789
ˈɛ	ˈa	0.195
ˈɛː	ˈɛɪ̯	0.678
ˈɛː	ˈa	0.182
ˈɛː	ˈɛ	0.125
β	b	1.0
β_a	b	0.521
β_i	p	1.0
θ	d	0.421
θ	t	0.363
θ	-	0.141
θ	l	0.071
θ_s	t	1.0
