German	Dutch	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈɔ	1.0
ˈɛː	ˈaː	1.0
ˈøː	ˈoː	1.0
ˈuː	ˈu	1.0
ˈoː_n	ˈaː_n	1.0
ˈoː	ˈoː	1.0
ˈiː_ɐ	ˈɛi̯	1.0
ˈiː	ˈi	1.0
ˈaɪ̯_n	ˈeː_n	1.0
ˈa_l	ˈɑu̯	1.0
ʦ	t	1.0
ʁ	ɾ	1.0
ɡ̊	χ	1.0
ɡ_ʁ	χ_ɾ	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
ç_t	χ_t	1.0
z_ə	z̥	1.0
z	z	1.0
x_t	χ_t	1.0
v	ʋ	1.0
tʰ	d	1.0
s_t	s_t	1.0
p͡f	p	1.0
n_ʃ	n_s	1.0
n_#>	#>	1.0
m_ə	m_ə	1.0
m	m	1.0
l_ˈaʊ̯	ɫ_ˈoː	1.0
kʰ	k	1.0
k_ə	χ	1.0
k_s	s	1.0
j	j	1.0
h	ɦ	1.0
d̥	d̥	1.0
b̥	v̥	1.0
<#_ʁ	<#_ɾ	1.0
<#_n	<#_n	1.0
l	ɫ	0.962
ə_#>	#>	0.929
d	d	0.917
ˈɪ	ˈɪ	0.88
n	n	0.876
ˈa	ˈɑ	0.818
b	b	0.774
ɐ	ɾ	0.76
x	k	0.714
ç	k	0.692
ˈyː	ˈu	0.667
f	v	0.667
ˈɛ	ˈɛ	0.632
ˈɔʏ̯	ˈœy̯	0.6
ˈaː	ˈaː	0.6
ɪ	ə	0.6
#>	n_#>	0.6
ɡ	χ	0.591
ˈaʊ̯	ˈœy̯	0.588
ə	ə	0.583
ˈɔ	ˈɔ	0.556
ˈaɪ̯	ˈɛi̯	0.542
ˈeː	ˈeː	0.533
ʃ	s	0.519
ʁ_ˈaɪ̯	ɾ_ˈɛi̯	0.5
ʁ_ˈaɪ̯	ɾ	0.5
t	d̥	0.5
ˈɔ	ˈoː	0.444
s	t	0.444
k	k_ə	0.444
ɡ	χ_ə	0.409
ˈɔʏ̯	ˈyː	0.4
ɪ	ɪ	0.4
#>	f_#>	0.4
ˈaɪ̯	ˈeː	0.375
ˈyː	ˈoː	0.333
k	k	0.333
ˈaː	ˈɑ	0.3
ʃ	s_χ	0.296
s	s	0.296
ˈaʊ̯	ˈoː	0.294
x	χ	0.286
t	t	0.281
s	t_ə	0.259
ə	ə_n	0.25
k	χ	0.222
t	d_ə	0.219
ˈɛ	ˈeː	0.211
ˈeː	ˈi	0.2
ɐ	ə_ɾ	0.2
ʃ	z	0.185
ˈa	ˈaː	0.182
ə	n	0.167
f	p	0.167
b	v_ə	0.161
ˈɛ	ˈɑ	0.158
ç	χ	0.154
ç	ŋ	0.154
ˈeː	ˈɛ	0.133
ˈeː	ˈaː	0.133
n	ə_n	0.124
ˈɪ	ˈɛ	0.12
ˈaʊ̯	ˈɑu̯	0.118
ˈaː	ˈɛ	0.1
ˈaɪ̯	ˈɪ	0.083
d	-	0.083
ə_#>	ə_#>	0.071
f	p_ə	0.071
b	v̥	0.065
