Emilian	Piedmontese	probability
ˈɛ_t	ˈɛ_t	1.0
ˈɛ_r	ˈe	1.0
ˈɛ_l	ˈa_w	1.0
ˈɛ_d	ˈa	1.0
ˈɛ_#>	ˈa_#>	1.0
ˈæ	ˈɛ	1.0
ˈi	ˈi	1.0
ˈe_#>	ˈi_#>	1.0
ʧ_#>	#>	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɡ_e_r	r	1.0
ŋ_ð	n_z	1.0
w	w	1.0
v_#>	#>	1.0
v	v	1.0
s	s	1.0
r_t	r_t	1.0
r_e	r	1.0
r_a	r_a	1.0
r_#>	#>	1.0
p	p	1.0
o	-	1.0
n_a	a	1.0
n_#>	ŋ_#>	1.0
m	m	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɔː	ˈi_j	1.0
j_ˈa	j_ˈa	1.0
j_l	j	1.0
f	f	1.0
e_r	e	1.0
b	b	1.0
a_r	r	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈaː	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
t	t	0.932
n	n	0.931
l	l	0.894
ˈaː	ˈa	0.882
ŋ	ŋ	0.878
j	j	0.864
z	z	0.846
r	r	0.841
ð	ʤ	0.818
ˈe	ˈi	0.812
ɡ	ɡ	0.812
ˈʌu̯	ˈu	0.8
ˈʌ	ˈu	0.778
θ	s	0.75
ɲ	ɲ	0.75
i	i	0.75
d	d	0.697
ˈɛː	ˈɛ	0.667
u	u	0.643
ˈɔ	ˈɔ	0.636
ˈuː	ˈy	0.583
e	-	0.538
ˈɔː	ˈɔ	0.526
ˈo	ˈy	0.474
ˈɛ	ˈɛ	0.464
#>	e_#>	0.444
ˈiː	ˈi	0.438
ˈɛ	ˈa	0.429
ˈa	ˈa	0.394
ˈɛː	-	0.333
#>	s_#>	0.333
ˈɔː	ˈø	0.316
ˈiː	ˈe	0.312
ˈuː	ˈø	0.25
ˈiː	-	0.25
ɲ	-	0.25
i	-	0.25
d	-	0.242
ˈʌ	-	0.222
#>	ˈø_#>	0.222
u	-	0.214
ˈa	ˈe	0.212
ˈo	ˈɔ	0.211
ˈo	ˈu	0.211
ˈʌu̯	-	0.2
ˈe	ˈe	0.188
ɡ	k	0.188
ˈɔ	ˈø_j	0.182
ˈɔ	j	0.182
ˈa	ˈɛ	0.182
ð	z	0.182
ˈuː	-	0.167
ˈɔː	ˈu	0.158
z	s	0.154
e	ə	0.154
e	r	0.154
e	e	0.154
θ	-	0.15
u	y	0.143
j	-	0.136
ŋ	n	0.122
ˈaː	-	0.118
ˈɛ	ˈe	0.107
l	-	0.106
ˈo	-	0.105
θ	ʧ	0.1
ˈa	-	0.091
r	e	0.091
n	ŋ	0.069
t	-	0.068
r	ˈe	0.068
ˈa	ˈə	0.061
ˈa	ˈe_j	0.061
d	t	0.061
