Campidanese	Romansch	probability
m	m	1.0
nː	n	1.0
p	p	1.0
rː	r	1.0
sː	-	1.0
w	-	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɡ	ɡ	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʒ	ʃ	1.0
ʣ	ʎ	1.0
ʧ	ʧ	1.0
e	e	0.081
o	u	0.191
r	-	0.071
r	r	0.861
ˈa	ˈa_w	0.11
ˈa	ˈɔ	0.141
j	ʎ	0.262
k	ʨ	0.682
t	-	0.212
ɣ	ɡ	0.102
a	ə	0.873
f	f	0.823
i	-	0.753
n	-	0.273
o	-	0.703
s	s	0.943
u	i	0.183
z	s	0.213
ɣ	ʥ	0.303
ˈe	ˈɛ	0.353
ˈi	ˈi	0.243
ˈi	ˈiː	0.313
β	-	0.63
d	-	0.234
i	ə	0.14
t	t	0.664
u	-	0.164
u	ə	0.214
u	w	0.434
ˈe	ˈeː	0.064
ˈe	ˈa_j	0.204
ˈi	ˈeː	0.114
e	ə	0.85
j	f	0.285
k	k	0.285
ð	d	0.635
ɣ	-	0.595
ˈa	ˈaː	0.345
ˈe	ˈe	0.095
ˈo	ˈuː	0.125
ˈo	ˈu	0.405
b	v	0.616
d	d	0.766
j	r	0.106
l	l_j	0.066
o	o	0.106
ˈi	ˈe	0.086
ˈo	ˈɔ	0.136
a	-	0.077
f	f_j	0.177
i	ˈiː	0.097
l	l	0.867
n	n	0.727
s	ʃ	0.057
ð	t	0.237
ˈe	ˈa	0.067
ˈu	ˈuː	0.087
ˈu	ˈi	0.187
β	v	0.37
j	-	0.348
r	l	0.068
z	ʦ	0.208
z	-	0.578
ð	-	0.128
ˈa	ˈa	0.378
ˈe	ˈɛː	0.128
ˈu	ˈu	0.498
b	-	0.159
b	b	0.209
e	ʃ_ə	0.069
t	d	0.09
ˈe	ˈiə̯	0.09
ˈi	ˈɛ	0.09
ˈi	ˈa_j	0.119
ˈo	ˈɔː	0.209
ˈu	ˈiː	0.179
