Saterland Frisian	Mecklenburgisch-Vorpommersch	probability
ˈɪ	ˈɪ	1.0
ˈɛː_r	ˈaː	1.0
ˈœː	ˈøː	1.0
ˈøː	ˈuː	1.0
ˈyː	ˈʏ	1.0
ˈuː_ɣ	ɣ	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈuː	1.0
ˈiː_w	ˈiː	1.0
ˈiː_r	ˈaː	1.0
ˈiː_n	ˈɪ_n	1.0
ˈeːu̯	ˈɛː_b	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɣ	ɡ	1.0
ə_r	æ	1.0
ŋ	ŋ	1.0
z_ə	z	1.0
v_ə	m	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_j	r	1.0
n_ə	n	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈae̯	1.0
j_ə	n	1.0
j	-	1.0
i	ae̯	1.0
h	h	1.0
d_ə	n	1.0
b	b	1.0
n	n	0.975
k	k	0.953
f	f	0.898
ˈi	ˈiː	0.856
v	v	0.821
p	p	0.801
d	d̥	0.734
ˈɛː	ˈʏ	0.72
t	t	0.71
t_ə	t_n	0.682
ˈʊ	ˈʊ	0.635
ˈa	ˈɛ	0.61
r	æ	0.606
ɪ	ɪ	0.6
ɣ_ə	ç	0.564
ˈɛ	-	0.556
ə	-	0.54
x	ç	0.534
ˈaː	ˈa	0.524
ˈɛɪ̯	ˈɔʏ̯	0.503
ˈeː	ˈae̯	0.485
ˈaː	ˈae̯	0.476
ɣ_ə	ŋ	0.436
ˈoː	ˈaʊ̯	0.423
s	z	0.423
ˈɔ	-	0.417
ˈuː	ˈuː	0.403
ˈoːu̯	ˈaʊ̯	0.403
ɪ	-	0.4
ˈɔː	-	0.399
r	r	0.394
ˈa	ˈa	0.39
ˈɔ	ˈa	0.354
t_ə	t	0.318
ˈiː	ˈiː	0.315
x	x	0.313
ˈoːu̯	ˈa	0.29
ˈɔː	ˈa	0.282
ˈoː	-	0.281
ˈɛː	ˈa	0.28
ˈiː	ˈoː	0.263
s	s	0.26
ˈiː	ˈɪ	0.255
ˈʊ	-	0.251
s	ʃ	0.229
ˈɔ	ˈɔ	0.228
ˈɛ	ˈʏ	0.222
ˈɛ	ˈɛ	0.222
ə	æ	0.217
ə	n	0.199
p	-	0.199
ˈɛɪ̯	ˈɒː	0.197
ˈeː	-	0.191
ˈɔː	ˈɒː	0.185
ˈɛɪ̯	ˈiː	0.173
ˈuː	ˈœː	0.17
ˈeː	ˈɔʏ̯	0.165
t	d	0.165
ˈoː	ˈɒː	0.156
x	-	0.153
ˈoːu̯	ˈɒː	0.145
ˈi	ˈɪ	0.144
ˈuː	ˈaʊ̯_ɾ	0.142
ˈɛɪ̯	-	0.127
t	-	0.125
d	-	0.12
v	w	0.118
ˈiː	-	0.115
ˈʊ	ˈʏ	0.113
ˈuː	ˈɔ	0.11
f	v̥	0.102
ˈuː	ˈʊ	0.088
s	kʰ	0.088
ˈuː	ˈɒː	0.087
d	ɾ	0.084
ˈoːu̯	ˈɔ	0.081
ˈoːu̯	ˈuː_æ	0.081
ˈeː	ˈɛː	0.08
ˈeː	ˈeː	0.079
ˈoː	ˈoː	0.071
ˈoː	ˈae̯	0.069
ˈɔː	ˈɛ	0.067
ˈɔː	ˈɔ	0.067
d	d	0.062
v	v̥	0.061
ˈiː	ˈɛɪ̯	0.051
