Ripuarian	Swabian	probability
b	b	0.874
b	-	0.123
d	d	1.0
f	f	0.898
f	b	0.095
h	h	0.963
j	ɡ	0.803
j	j	0.191
k	d	0.291
k	kʰ	0.287
k	ɡ	0.224
k	-	0.108
l	l	0.967
m	m	0.874
m	ʕ_m	0.122
n	n	0.669
n	-	0.243
n	m	0.057
p	b̥͡f	0.219
p	ʕ	0.219
p	b_d	0.163
p	p͡f	0.163
p	b̥	0.092
s	s	0.868
s	ʃ	0.131
t	d	0.863
t	t	0.065
v	b	0.815
v	f	0.148
x	x	0.718
x	ɡ	0.266
z	s	0.838
z	ʃ_ʋ	0.162
ŋ	ŋ	0.513
ŋ	n	0.339
ŋ	ɡ	0.081
ŋ	-	0.063
ɐ	ʌ	0.707
ɐ	-	0.242
ɐ	ˈa	0.051
ɕ	ɡ	0.422
ɕ	ç	0.404
ɕ	-	0.089
ɕ	x	0.068
ə	a	0.886
ə	ɪ	0.076
ə_f	f	1.0
ə_l	l	1.0
ɣ	ɡ	1.0
ɪ	i	0.574
ɪ	-	0.282
ʀ	ʁ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.842
ˈa	ˈaː	0.065
ˈa	ˈeː	0.056
ˈa_ŋ	ˈaː	1.0
ˈaʊ̯	ˈao̯	0.903
ˈaʊ̯	ˈɔ	0.065
ˈaː	ˈa	0.463
ˈaː	ˈaː	0.348
ˈaː	ˈɔː	0.17
ˈe	ˈi	0.578
ˈe	ˈɪ	0.204
ˈe	ˈe	0.155
ˈe	ˈɛ	0.051
ˈeɪ̯	ˈi	0.392
ˈeɪ̯	ˈɔe̯	0.392
ˈeɪ̯	ˈae̯	0.125
ˈeː	ˈɔe̯	0.324
ˈeː	ˈiə̯	0.232
ˈeː	ˈeː	0.104
ˈeː	ˈi	0.104
ˈeː	ˈeə̯	0.081
ˈeː	ˈiː	0.081
ˈeː_n	ˈɔe̯	1.0
ˈiː	ˈəi̯	0.465
ˈiː	ˈi	0.205
ˈiː	ˈeː	0.132
ˈiː	ˈʌ	0.087
ˈiː	ˈɛː	0.054
ˈiː	ˈiː	0.053
ˈo	ˈo	0.822
ˈo	ˈu	0.143
ˈoː	ˈuə̯	0.308
ˈoː	ˈɔː	0.147
ˈoː	ˈao̯	0.109
ˈoː	ˈaː	0.063
ˈoː	ˈoː	0.063
ˈoː	ˈɔə̯	0.063
ˈoː	ˈu	0.054
ˈoː	ˈɛː	0.054
ˈoː	ˈo	0.053
ˈoː	ˈuː	0.053
ˈoː_ɐ	ˈɔː	1.0
ˈu	ˈoː	0.74
ˈu	ˈu	0.135
ˈuː	ˈao̯	0.589
ˈuː	ˈoː	0.408
ˈyː	ˈeː	0.339
ˈyː	ˈəi̯	0.207
ˈyː	ˈae̯	0.151
ˈyː	ˈɔ	0.145
ˈøː	ˈiə̯	0.339
ˈøː	ˈiː	0.223
ˈøː	ˈeə̯	0.137
ˈøː	ˈae̯	0.098
ˈøː	ˈəi̯	0.088
ˈœ	ˈɛ	0.536
ˈœ	ˈae̯	0.188
ˈœ	ˈu	0.122
ˈɔ	ˈo	0.492
ˈɔ	ˈɔ	0.28
ˈɔ	ˈao̯	0.098
ˈɔ	ˈoː	0.082
ˈɔʏ̯	ˈəi̯	0.491
ˈɛ	ˈɛ	0.314
ˈɛ	ˈe	0.271
ˈɛ	ˈɛː	0.165
ˈɛ	-	0.076
ˈɛ	ˈae̯	0.076
ˈɛ	ˈəi̯	0.061
ˈɛː	ˈɛ_ʕ	0.269
ˈɛː	ˈɛː	0.199
ˈɛː	ˈɛ	0.144
ˈɛː	ˈeː	0.114
ˈɛː	ˈeə̯	0.087
ˈɛː	ˈaː	0.066
ˈɛː	ˈʌ	0.066
ˈɛː_ɐ	ˈa	1.0
ˈɪ	ˈi	0.443
ˈɪ	ˈe	0.121
ˈɪ	ˈəi̯	0.121
ˈɪ	ˈiː	0.115
ˈɪ	ˈɪ	0.087
ˈʊ	ˈo	1.0
ˈʏ	ˈae̯	0.229
ˈʏ	ˈeː	0.229
ˈʏ	ˈəi̯	0.229
ˈʏ	ˈɪ	0.229
ˈʏ	ˈi	0.062
