Ripuarian	Swabian	probability
b	b	0.924
b	-	0.076
d	d	1.0
e	eə̯	1.0
f	f	0.871
f	b	0.129
h	h	0.963
j	ɡ	0.959
k	ɡ	0.358
k	kʰ	0.32
k	d	0.203
k	-	0.095
l	l	0.944
l	ɡ_l	0.056
m	m	0.95
n	n	0.559
n	-	0.386
p	f	0.271
p	b̥͡f	0.235
p	p͡f	0.219
p	b	0.17
p	b̥	0.106
s	s	0.914
s	ʃ	0.086
t	d	0.736
t	ʕ_d	0.097
t	s	0.087
t	t	0.051
v	b	0.966
x	x	0.69
x	ɡ	0.31
z	s	0.926
z	ʃ	0.074
ŋ	ŋ	0.508
ŋ	n	0.319
ŋ	-	0.131
ɐ	ʌ	0.576
ɐ	-	0.424
ɕ	ç	0.558
ɕ	ɡ	0.334
ɕ	x	0.108
ə	a	0.855
ə	ɪ	0.09
ɣ	ɡ	1.0
ɪ	-	0.602
ɪ	i	0.398
ʀ	ʁ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.711
ˈa	ˈaː	0.143
ˈa	ˈeː	0.066
ˈa	ˈɔː	0.066
ˈaʊ̯	ˈao̯	0.966
ˈaː	ˈa	0.473
ˈaː	ˈaː	0.44
ˈaː	ˈɔː	0.086
ˈe	ˈi	0.378
ˈe	ˈɪ	0.338
ˈe	ˈe	0.226
ˈeɪ̯	ˈɔe̯	0.342
ˈeɪ̯	ˈae̯	0.329
ˈeɪ̯	ˈi	0.329
ˈeː	ˈɔe̯	0.303
ˈeː	ˈiə̯	0.178
ˈeː	ˈeə̯	0.144
ˈeː	ˈiː	0.133
ˈeː	ˈi	0.099
ˈeː	ˈeː	0.086
ˈeː	ˈəi̯	0.056
ˈiː	ˈəi̯	0.387
ˈiː	ˈi	0.167
ˈiː	ˈeː	0.162
ˈiː	ˈʌ	0.092
ˈiː	ˈɛː	0.085
ˈiː	ˈae̯	0.071
ˈo	ˈo	0.892
ˈo	ˈoː	0.09
ˈoʊ̯	ˈoː	1.0
ˈoː	ˈuə̯	0.221
ˈoː	ˈoː	0.147
ˈoː	ˈa	0.142
ˈoː	ˈao̯	0.104
ˈoː	ˈɔə̯	0.082
ˈoː	ˈɔː	0.079
ˈu	ˈoː	0.603
ˈu	ˈɔ	0.309
ˈu	ˈu	0.088
ˈuː	ˈao̯	0.576
ˈuː	ˈoː	0.424
ˈyː	ˈəi̯	0.321
ˈyː	ˈeː	0.274
ˈyː	ˈae̯	0.2
ˈyː	ˈiː	0.071
ˈyː	ˈɔ	0.068
ˈyː	ˈi	0.066
ˈøː	ˈae̯	0.286
ˈøː	ˈeə̯	0.275
ˈøː	ˈiə̯	0.235
ˈøː	ˈiː	0.081
ˈøː	ˈəi̯	0.065
ˈøː	ˈuə̯	0.057
ˈœ	ˈu	0.418
ˈœ	ˈae̯	0.313
ˈœ	ˈɛ	0.269
ˈɔ	ˈo	0.403
ˈɔ	ˈɔ	0.366
ˈɔ	ˈao̯	0.103
ˈɔ	ˈu	0.085
ˈɔʏ̯	ˈəi̯	1.0
ˈɛ	ˈɛ	0.344
ˈɛ	ˈe	0.261
ˈɛ	ˈɛː	0.212
ˈɛ	ˈəi̯	0.053
ˈɛ	ˈa	0.053
ˈɛː	ˈeː	0.228
ˈɛː	ˈɛ	0.224
ˈɛː	ˈɛː	0.185
ˈɛː	ˈeə̯	0.178
ˈɛː	ˈaː	0.082
ˈɪ	ˈe	0.322
ˈɪ	ˈɪ	0.322
ˈɪ	ˈɛ	0.19
ˈɪ	ˈiː	0.094
ˈɪ	ˈəi̯	0.061
ˈʊ	ˈo	1.0
ˈʏ	ˈae̯	0.324
ˈʏ	ˈeː	0.314
ˈʏ	ˈɪ	0.164
ˈʏ	ˈi	0.158
