Westphalian	Westphalian	probability
ˈɪ_l	ˈɛː_l	1.0
ˈɔ_l	ˈaː_j	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɒː	1.0
ˈœː	-	1.0
ˈyːœ̯	ˈøː	1.0
ˈyə̯	ˈɪ	1.0
ˈa_l	ˈaː	1.0
ʃ_ʋ	z_β	1.0
ʃ_k	s	1.0
ə	-	1.0
ɐ_#>	#>	1.0
ŋ_ə_#>	ŋ_#>	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x_t	x	1.0
x_#>	ɣ̊_#>	1.0
v̥	v̥	1.0
v_ə	v̥	1.0
v_n	v_ə	1.0
v_#>	v̥_#>	1.0
v	β	1.0
s_t	ʀ_s	1.0
s_#>	s_#>	1.0
s	z	1.0
r	ʀ	1.0
p	p	1.0
n_n	n_ə	1.0
m	m	1.0
k_n	k_ə	1.0
j	j	1.0
h	ɦ	1.0
f	v	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_n	j_ə	1.0
b	b	1.0
aɪ̯	i	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
l	l	0.975
k	k	0.92
d	d	0.897
t	t	0.884
ˈeː	ˈɛː	0.818
x	ɣ	0.8
ˈøː	ˈøː	0.75
ˈiː	ˈiː	0.733
ˈaː	ˈaː	0.667
ɪ	ə	0.667
ˈɔː	ˈɒː	0.643
ˈɪə̯	ˈeː	0.6
ˈyː	ˈyː	0.6
ˈuːə̯	ˈʊː	0.6
ˈuː	ˈuː	0.6
ˈiɛ̯	-	0.6
ˈaɪ̯	ˈeː	0.588
ɐ	ʀ	0.583
ʃ	s	0.579
ˈoː	ˈʊː	0.556
ˈɪɛ̯	ˈeː	0.545
ŋ	ŋ	0.545
n	n	0.538
ˈʏ	ˈœ	0.5
ˈʏ	-	0.5
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈuə̯	ˈʊː	0.5
ˈuə̯	-	0.5
ʋ	β	0.5
ʋ	v̥	0.5
ˈɪ	ˈɪː	0.458
ç	ɣ̊	0.444
ˈaʊ̯	ˈu	0.429
ʃ	ʃ	0.421
ˈʊ	ˈʊː	0.4
ˈɪə̯	-	0.4
ˈyː	-	0.4
ˈuːə̯	ˈœː	0.4
ˈiɛ̯	ˈæ	0.4
ˈa	ˈɑ	0.385
#>	ɣ̊_#>	0.375
#>	j_#>	0.375
ɐ	ə_ʀ	0.361
n	ə	0.354
ˈaː	-	0.333
ɪ	ɪ	0.333
ɡ	ɣ_ə	0.333
ɡ	ɡ	0.333
ɡ	-	0.333
ç	x	0.333
ˈɛ	-	0.286
ˈaʊ̯	ˈɔː	0.286
ˈɪɛ̯	-	0.273
ŋ	ŋ_k	0.273
ˈa	ˈaː	0.269
ˈʊ	ˈɔ	0.267
ˈiː	-	0.267
ˈøː	-	0.25
#>	d̥_#>	0.25
ˈoː	ˈoː	0.222
ˈoː	-	0.222
ç	-	0.222
ˈɛ	ˈɪ	0.214
ˈɛ	ˈɛ	0.214
ˈɛ	ˈeː	0.214
ˈɔː	ˈʊː	0.214
ˈuː	ˈɔu̯	0.2
ˈuː	-	0.2
x	x	0.2
ˈa	ˈɑː	0.192
ˈɪɛ̯	ˈɛː	0.182
ˈeː	ˈi	0.182
ŋ	-	0.182
ˈaɪ̯	ˈi	0.176
ˈɪ	ˈɪ	0.167
ˈɪ	ˈɛ	0.167
ˈɔː	-	0.143
ˈaʊ̯	ˈɔu̯	0.143
ˈaʊ̯	-	0.143
ˈʊ	ˈuː	0.133
ˈʊ	-	0.133
ˈɪ	-	0.125
ˈaɪ̯	ˈɛːi̯	0.118
ˈaɪ̯	-	0.118
n	n_d	0.108
d	j_ə	0.103
ˈɪ	ˈi	0.083
k	-	0.08
ˈa	ˈæː_ʀ	0.077
ˈa	-	0.077
ˈɛ	ˈʏ	0.071
t	ʀ_t	0.07
ˈʊ	ˈʊ	0.067
ɐ	ə	0.056
