Westphalian	Limburgish	probability
ˈɪ_l	ˈɛː_l	1.0
ˈɔ_l	ˈaː_j	1.0
ˈɔ	-	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈuə̯	-	1.0
ʋ	β	1.0
ʃ_ʋ	z_β	1.0
ʃ_k	s	1.0
ɪ	ə	1.0
ɣ	-	1.0
ə	-	1.0
ɐ_#>	#>	1.0
ç	x	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x_t	x	1.0
v_ə	v̥	1.0
v_n	v_ə	1.0
v_#>	v̥_#>	1.0
v	β	1.0
s_t	ʀ_s	1.0
r	ʀ	1.0
p	p	1.0
n_ʃ	n_s	1.0
m	m	1.0
l_ʋ	v̥	1.0
l	l	1.0
k_n	k_ə	1.0
j	j	1.0
h	ɦ	1.0
f	v	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_n	j_ə	1.0
b	b	1.0
<#_ˈuː	<#	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
t	t	0.953
k	k	0.92
d	d	0.867
ˈeː	ˈɛː	0.818
ˈiː	ˈiː	0.786
ˈɔː	ˈɒː	0.75
ˈøː	ˈøː	0.75
ˈuː	ˈuː	0.75
s	z	0.737
ˈaː	ˈaː	0.667
x	ɣ	0.667
ŋ	ŋ	0.615
ˈɪə̯	ˈeː	0.6
ˈyː	ˈyː	0.6
ˈuːə̯	ˈʊː	0.6
ˈaɪ̯	ˈeː	0.588
ˈoː	ˈʊː	0.556
ʃ	s	0.556
n	n	0.55
ˈɪɛ̯	ˈeː	0.545
ˈʏ	ˈœ	0.5
ˈʏ	-	0.5
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈiɛ̯	ˈæ	0.5
ˈiɛ̯	-	0.5
nː	n_ə	0.5
nː	n_d	0.5
ɐ	ʀ	0.485
ˈɪ	ˈɪː	0.458
ʃ	ʃ	0.444
ˈaʊ̯	ˈu	0.429
#>	j_#>	0.429
ˈɪə̯	-	0.4
ˈyː	-	0.4
ˈuːə̯	ˈœː_ʀ	0.4
ɐ	ə_ʀ	0.394
ˈa	ˈɑ	0.385
ˈʊ	ˈʊː	0.375
ˈɛ	-	0.357
ˈa	ˈaː	0.346
ˈaː	-	0.333
ɡ	ɣ_ə	0.333
ɡ	ɡ	0.333
ɡ	-	0.333
x	x	0.333
n	ə	0.333
ˈaʊ̯	ˈɔː	0.286
#>	x_#>	0.286
#>	v̥_#>	0.286
ˈɪɛ̯	-	0.273
s	s	0.263
ˈʊ	ˈɔ	0.25
ˈʊ	-	0.25
ˈɔː	ˈʊː	0.25
ˈøː	-	0.25
ˈuː	ˈɔu̯	0.25
ŋ	ŋ_k	0.231
ˈoː	ˈoː	0.222
ˈoː	-	0.222
ˈɛ	ˈɪ	0.214
ˈɛ	ˈɛ	0.214
ˈɛ	ˈeː	0.214
ˈiː	-	0.214
ˈa	ˈɑː	0.192
ˈɪɛ̯	ˈɛː	0.182
ˈeː	ˈi	0.182
ˈaɪ̯	ˈi	0.176
ˈɪ	ˈɪ	0.167
ˈɪ	ˈɛ	0.167
ŋ	-	0.154
ˈaʊ̯	ˈɔu̯	0.143
ˈaʊ̯	-	0.143
ˈʊ	ˈuː	0.125
ˈɪ	-	0.125
ˈaɪ̯	ˈɛːi̯	0.118
ˈaɪ̯	-	0.118
ˈɪ	ˈi	0.083
n	n_d	0.083
k	x	0.08
ˈa	ˈæː_ʀ	0.077
d	j_ə	0.067
d	-	0.067
ɐ	ˈeː_ʀ	0.061
ɐ	ə	0.061
